env_steps,return,length,train/length,train/return,FPS,op-kl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
43445,,,172,308.2038,103.5265,,,,,,,
43500,,,,,,-4.4564,-141.8878,143.5212,-4.4564,13.1232,381.6429,3.9268
43867,,,422,385.3085,101.1288,,,,,,,
43991,,,124,172.02,101.264,,,,,,,
44000,,,,,,-4.4162,-142.9996,157.4774,-4.4162,20.7372,1098.3455,5.6401
44103,,,112,127.9051,102.7496,,,,,,,
44257,,,154,348.256,103.1094,,,,,,,
44267,,,10,-4.7483,104.6708,,,,,,,
44277,,,10,-3.0644,105.1294,,,,,,,
44439,,,162,302.3285,104.8449,,,,,,,
44500,,,,,,-4.3546,-145.4446,141.6762,-4.3546,12.9148,406.0044,4.5663
44616,,,177,330.3093,104.6657,,,,,,,
44807,,,191,346.0763,101.3059,,,,,,,
44836,,,29,7.0828,101.0233,,,,,,,
45000,,,,,,-4.4872,-143.2777,150.5039,-4.4872,17.1513,872.1848,3.4861
45000,257.6921,145.2,,,,,,,,,,
45045,,,209,382.4241,85.406,,,,,,,
45059,,,14,-2.8324,100.3933,,,,,,,
45259,,,200,373.3402,100.9436,,,,,,,
45284,,,25,0.8724,100.9179,,,,,,,
45311,,,27,1.9228,101.002,,,,,,,
45436,,,125,197.053,100.8936,,,,,,,
45500,,,,,,-4.5669,-138.4993,178.8283,-4.5669,14.5113,751.1283,3.9376
45621,,,185,340.5527,100.9851,,,,,,,
45632,,,11,-4.1326,101.0209,,,,,,,
45657,,,25,0.0864,101.2643,,,,,,,
45667,,,10,-4.5319,100.7977,,,,,,,
45696,,,29,5.1111,100.9263,,,,,,,
45838,,,142,210.143,100.9762,,,,,,,
46000,,,,,,-4.5789,-137.6728,183.2035,-4.5789,12.4977,524.4841,3.615
46042,,,204,395.5881,102.1238,,,,,,,
46148,,,106,146.5911,104.4548,,,,,,,
46316,,,168,308.6753,104.5737,,,,,,,
46330,,,14,-4.9136,103.7864,,,,,,,
46500,,,,,,-4.6117,-143.2348,197.9746,-4.6117,15.0044,573.5089,3.4042
46509,,,179,345.6204,104.6159,,,,,,,
46538,,,29,6.8765,104.4183,,,,,,,
46727,,,189,341.0038,102.9052,,,,,,,
46758,,,31,7.0005,101.0593,,,,,,,
46877,,,119,206.4982,101.0334,,,,,,,
46906,,,29,6.1563,100.8627,,,,,,,
47000,,,,,,-4.9474,-140.2516,169.0337,-4.9474,28.923,1055.7502,4.3295
47063,,,157,301.4141,100.8675,,,,,,,
