env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
20257,,,34,44.7543,90.6015,,,,,,,
20281,,,24,27.0779,90.1468,,,,,,,
20302,,,21,22.0207,90.1311,,,,,,,
20462,,,160,369.6788,90.3608,,,,,,,
20482,,,20,22.9721,88.6663,,,,,,,
20500,,,,,,-204.5477,10.7004,0.0006,-0.0141,107.9714,1651.3196,7.5233
20525,,,43,63.4092,86.0801,,,,,,,
20550,,,25,31.835,90.2882,,,,,,,
20566,,,16,14.7689,90.6161,,,,,,,
20577,,,11,9.2122,84.1063,,,,,,,
20775,,,198,502.5247,84.0186,,,,,,,
20906,,,131,306.2535,84.1133,,,,,,,
21000,,,,,,-206.4048,9.65,0.0005,-0.0162,83.1912,1960.6327,5.5966
21064,,,158,433.0902,83.8853,,,,,,,
21091,,,27,31.5365,83.1112,,,,,,,
21099,,,8,5.7864,90.7836,,,,,,,
21106,,,7,4.7087,90.0424,,,,,,,
21138,,,32,41.9829,90.3329,,,,,,,
21200,,,62,104.7483,90.2571,,,,,,,
21246,,,46,68.4062,90.1865,,,,,,,
21270,,,24,25.9245,90.0686,,,,,,,
21303,,,33,44.5956,90.4795,,,,,,,
21345,,,42,60.4003,90.1592,,,,,,,
21367,,,22,25.0942,90.3388,,,,,,,
21377,,,10,7.6848,90.3524,,,,,,,
21406,,,29,34.7822,89.9461,,,,,,,
21468,,,62,101.7518,90.2268,,,,,,,
21500,,,,,,-214.0166,13.1737,0.0011,-0.0169,94.4608,1767.8087,6.1151
21513,,,45,67.0351,89.8426,,,,,,,
21546,,,33,44.4585,85.6028,,,,,,,
21561,,,15,14.727,83.3948,,,,,,,
21608,,,47,74.8747,84.9988,,,,,,,
21632,,,24,30.5657,90.2036,,,,,,,
21641,,,9,6.9099,90.2676,,,,,,,
21648,,,7,4.9609,90.0126,,,,,,,
21741,,,93,150.4194,90.1205,,,,,,,
21751,,,10,7.9753,90.0382,,,,,,,
21829,,,78,133.5995,88.9548,,,,,,,
21959,,,130,327.5408,83.8631,,,,,,,
21968,,,9,7.1214,90.4224,,,,,,,
21978,,,10,7.8633,90.2913,,,,,,,
22000,,,,,,-218.7809,9.9683,0.0005,-0.0145,132.6142,5745.5869,3.9707
22128,,,150,372.477,90.1858,,,,,,,
22271,,,143,377.7427,87.257,,,,,,,
22321,,,50,77.3904,83.5003,,,,,,,
22334,,,13,11.0019,84.2829,,,,,,,
22354,,,20,22.3427,83.8953,,,,,,,
22469,,,115,238.0879,83.2096,,,,,,,
22500,,,,,,-218.6481,14.8168,0.0007,-0.0193,73.348,2415.1533,8.7763
22653,,,184,533.4589,83.5083,,,,,,,
22818,,,165,404.8631,83.9277,,,,,,,
22966,,,148,365.795,83.568,,,,,,,
22985,,,19,20.3375,83.4558,,,,,,,
23000,,,,,,-216.7188,11.6844,0.0009,-0.0204,122.983,2391.7473,5.9509
23011,,,26,30.0412,83.8698,,,,,,,
23019,,,8,5.5445,83.5317,,,,,,,
23052,,,33,42.8269,82.8527,,,,,,,
23077,,,25,28.8134,81.1476,,,,,,,
23105,,,28,32.1341,83.964,,,,,,,
23254,,,149,377.9137,83.3005,,,,,,,
23283,,,29,35.2372,82.3198,,,,,,,
23290,,,7,4.9329,83.7377,,,,,,,
23301,,,11,8.1595,83.7931,,,,,,,
23429,,,128,305.0582,83.9333,,,,,,,
23462,,,33,43.5515,83.9445,,,,,,,
23500,,,,,,-229.7203,9.757,0.0007,-0.0169,329.9292,6518.8105,3.2107
23610,,,148,382.3107,83.9058,,,,,,,
23639,,,29,34.8607,84.0072,,,,,,,
23647,,,8,5.9734,83.7462,,,,,,,
23675,,,28,32.5765,82.3515,,,,,,,
23683,,,8,5.3841,83.1288,,,,,,,
23701,,,18,17.9393,83.4802,,,,,,,
23733,,,32,39.6587,84.3808,,,,,,,
23755,,,22,24.3557,83.8905,,,,,,,
23900,,,145,364.451,84.1796,,,,,,,
24000,,,,,,-226.2453,29.2878,0.0006,-0.0162,176.7665,3569.0886,9.8346
24041,,,141,380.4908,83.7696,,,,,,,
24058,,,17,16.2753,83.9616,,,,,,,
24197,,,139,369.1896,84.1588,,,,,,,
24204,,,7,4.6478,84.0491,,,,,,,
24214,,,10,8.2898,84.1287,,,,,,,
24235,,,21,22.3456,83.8792,,,,,,,
24244,,,9,6.8404,83.8051,,,,,,,
24279,,,35,45.6968,86.278,,,,,,,
24377,,,98,209.8835,83.967,,,,,,,
24500,,,,,,-231.5667,63.7246,0.0006,-0.0134,242.6242,6437.1138,11.6673
24518,,,141,373.3134,83.7986,,,,,,,
24528,,,10,7.482,83.4247,,,,,,,
24536,,,8,5.4995,83.7452,,,,,,,
24567,,,31,38.2348,83.2717,,,,,,,
24591,,,24,26.3952,82.7214,,,,,,,
24631,,,40,56.057,82.491,,,,,,,
24643,,,12,10.6149,83.9944,,,,,,,
24663,,,20,19.5964,83.7799,,,,,,,
24701,,,38,52.9953,84.3372,,,,,,,
24734,,,33,42.0535,83.6922,,,,,,,
24790,,,56,96.1533,84.0164,,,,,,,
24799,,,9,6.0908,83.5813,,,,,,,
24811,,,12,10.8419,80.8447,,,,,,,
24975,,,164,479.2147,83.6362,,,,,,,
24984,,,9,6.2912,83.9073,,,,,,,
25000,,,,,,-234.6352,12.4626,0.0004,-0.0135,168.1492,6196.0337,3.7642
25000,481.121,164.1,,,,,,,,,,
25034,,,50,79.4278,55.2411,,,,,,,
25064,,,30,35.8188,84.1556,,,,,,,
25110,,,46,69.4541,83.0651,,,,,,,
25122,,,12,10.6589,83.7604,,,,,,,
25150,,,28,33.1196,83.2407,,,,,,,
25292,,,142,371.6499,83.6094,,,,,,,
25309,,,17,17.0314,83.9045,,,,,,,
25321,,,12,10.2256,83.7496,,,,,,,
25346,,,25,30.8695,82.1694,,,,,,,
25380,,,34,43.9803,82.5568,,,,,,,
25404,,,24,27.2068,83.947,,,,,,,
25416,,,12,9.6831,83.6934,,,,,,,
25500,,,,,,-238.5059,8.3595,0.0004,-0.0125,126.7617,5803.6211,4.3235
25571,,,155,435.415,83.5322,,,,,,,
25579,,,8,5.6776,84.067,,,,,,,
25752,,,173,470.0257,84.031,,,,,,,
25780,,,28,34.5675,83.6215,,,,,,,
25794,,,14,12.9973,83.9292,,,,,,,
25806,,,12,11.4949,85.2473,,,,,,,
25820,,,14,12.3403,90.2225,,,,,,,
