env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
58000,,,0.5909,0.8577,0.2335,-281.9253,4.9598,0.0326,-0.4572,3.3801,206.3174,5.6262,,,
58000,,,,,,,,,,,,,1000,3482.2101,83.2174
58500,,,0.5997,0.8592,0.2248,-283.9702,3.9369,0.0318,-0.4346,4.3139,129.6202,8.0269,,,
59000,,,0.5932,0.8669,0.2069,-291.9823,4.6625,0.031,-0.4112,3.7127,196.5379,4.1675,,,
59000,,,,,,,,,,,,,1000,3597.901,80.7442
59500,,,0.5897,0.8578,0.2225,-290.0474,5.3527,0.0321,-0.4474,3.5695,203.0541,5.3417,,,
60000,,,0.5906,0.8614,0.2197,-294.4435,3.7339,0.034,-0.4418,3.9498,113.0415,5.0273,,,
60000,4638.1349,1000.0,,,,,,,,,,,,,
60000,,,,,,,,,,,,,1000,3517.2148,72.3927
60500,,,0.586,0.8594,0.2135,-297.3705,5.2692,0.0316,-0.411,3.5486,164.2163,5.8766,,,
61000,,,0.5919,0.8656,0.2069,-297.5407,4.8766,0.0306,-0.417,3.1475,216.2746,4.0806,,,
61000,,,,,,,,,,,,,1000,3554.2296,80.6081
61500,,,0.5903,0.8588,0.2185,-297.2266,5.5912,0.0317,-0.4334,3.0895,126.3753,4.9925,,,
62000,,,0.5988,0.8681,0.2214,-299.439,4.6915,0.0304,-0.4393,3.1104,132.8607,5.5424,,,
62000,,,,,,,,,,,,,1000,3806.8646,80.9512
62500,,,0.592,0.858,0.2254,-299.1293,4.8684,0.0323,-0.4473,3.161,158.6504,6.0249,,,
63000,,,0.6005,0.8712,0.2202,-303.2654,3.7701,0.0315,-0.4225,3.051,121.5472,9.9796,,,
63000,,,,,,,,,,,,,1000,3741.6824,80.8594
63500,,,0.5984,0.8716,0.2227,-303.0609,5.9255,0.0325,-0.4372,3.2521,168.1261,6.1559,,,
64000,,,0.5834,0.87,0.2114,-313.7908,4.5125,0.033,-0.4222,4.6543,315.1095,8.3679,,,
64000,,,,,,,,,,,,,1000,3805.0033,81.2326
64500,,,0.5883,0.8617,0.2221,-312.9457,4.7379,0.0334,-0.4444,3.71,184.9936,7.2781,,,
65000,,,0.5895,0.8745,0.2193,-313.39,3.6696,0.0338,-0.4376,3.7657,172.1526,7.5318,,,
65000,4866.9639,1000.0,,,,,,,,,,,,,
65000,,,,,,,,,,,,,1000,3775.1796,72.3352
65500,,,0.5906,0.88,0.2241,-314.406,4.3591,0.0342,-0.4412,3.1459,175.4145,5.9215,,,
66000,,,0.5881,0.8683,0.2224,-317.5065,4.7662,0.0324,-0.4383,3.0214,191.7742,6.7867,,,
66000,,,,,,,,,,,,,1000,3940.9136,80.8413
66500,,,0.5956,0.8688,0.2245,-317.8101,5.0072,0.0322,-0.4456,3.7327,213.5826,4.5062,,,
67000,,,0.5957,0.8743,0.218,-315.0269,4.1706,0.0331,-0.4292,3.1802,113.027,8.5477,,,
67000,,,,,,,,,,,,,1000,3882.1853,80.8281
67500,,,0.6008,0.8739,0.2311,-316.3993,5.6166,0.0332,-0.4492,2.6783,122.7153,8.9154,,,
68000,,,0.5997,0.8822,0.2265,-318.2316,4.2198,0.0328,-0.4437,3.1692,275.3291,4.2339,,,
68000,,,,,,,,,,,,,1000,4067.6088,80.896
68500,,,0.5896,0.8862,0.224,-323.0024,3.1679,0.0358,-0.4455,2.8487,111.958,3.6748,,,
69000,,,0.5897,0.8823,0.2251,-318.7945,4.5091,0.037,-0.4554,2.79,121.2289,3.6056,,,
69000,,,,,,,,,,,,,1000,4057.9012,82.9569
69500,,,0.5922,0.885,0.2247,-325.3824,4.2544,0.0362,-0.4424,3.17,180.8801,5.9001,,,
70000,,,0.584,0.8783,0.2149,-329.0806,3.7757,0.0367,-0.44,2.7312,119.044,4.1543,,,
70000,4894.9347,1000.0,,,,,,,,,,,,,
70000,,,,,,,,,,,,,1000,4063.9908,72.4423
70500,,,0.5908,0.8758,0.2147,-330.7483,4.5055,0.0335,-0.4263,2.991,89.2513,8.0198,,,
71000,,,0.5962,0.8887,0.22,-331.8449,4.1886,0.0345,-0.4371,2.8612,131.3451,4.6724,,,
71000,,,,,,,,,,,,,1000,3980.2227,82.7284
71500,,,0.5934,0.8774,0.2276,-333.6107,4.9462,0.0335,-0.4486,2.9936,168.4947,3.9482,,,
72000,,,0.5901,0.8803,0.2285,-333.3979,4.1517,0.0359,-0.4511,3.0003,117.1495,5.0085,,,
72000,,,,,,,,,,,,,1000,4213.5939,81.6432
72500,,,0.5931,0.8815,0.2185,-339.1631,4.3412,0.0345,-0.4316,3.2481,112.9922,5.9131,,,
73000,,,0.589,0.8812,0.2145,-334.4547,4.934,0.0356,-0.4339,2.7106,129.4999,6.4979,,,
73000,,,,,,,,,,,,,1000,4314.9792,83.0967
73500,,,0.5929,0.8936,0.2266,-343.2889,4.0134,0.0368,-0.4419,2.8426,127.722,5.2321,,,
74000,,,0.5878,0.8857,0.2166,-345.9308,7.0366,0.0348,-0.4272,3.0106,155.6435,9.2254,,,
74000,,,,,,,,,,,,,1000,4342.962,81.5207
74500,,,0.5894,0.8802,0.2179,-343.1152,4.0989,0.0352,-0.4322,2.9302,168.0437,5.5108,,,
75000,,,0.5889,0.8791,0.2225,-338.3074,4.1865,0.0355,-0.4476,3.1761,183.4201,6.2774,,,
75000,5029.5423,1000.0,,,,,,,,,,,,,
75000,,,,,,,,,,,,,1000,4347.3549,72.288
75500,,,0.5847,0.8758,0.2204,-345.32,4.13,0.036,-0.4398,2.738,97.0876,4.7205,,,
76000,,,0.588,0.8814,0.2196,-348.6653,5.702,0.0346,-0.4356,2.9867,222.1595,7.1231,,,
76000,,,,,,,,,,,,,1000,4396.5645,80.6544
76500,,,0.5864,0.8882,0.2172,-352.9026,4.6567,0.0371,-0.4386,2.9075,141.7171,6.9906,,,
77000,,,0.5831,0.8764,0.2225,-352.4796,4.1096,0.0361,-0.4506,2.8138,123.7038,4.3018,,,
77000,,,,,,,,,,,,,1000,4429.5889,83.7833
77500,,,0.5938,0.8823,0.2213,-351.4336,5.3899,0.035,-0.4453,2.4746,152.8614,12.2014,,,
78000,,,0.5932,0.8877,0.2177,-355.3947,4.735,0.0342,-0.4359,2.7934,122.1166,5.6683,,,
78000,,,,,,,,,,,,,1000,4396.7581,83.1973
78500,,,0.5871,0.8862,0.2107,-355.0298,3.6967,0.0356,-0.4284,2.9287,164.5207,9.2933,,,
79000,,,0.594,0.8833,0.2228,-358.1837,5.5097,0.0343,-0.4445,2.6369,71.1551,6.2801,,,
79000,,,,,,,,,,,,,1000,4568.7764,81.0426
79500,,,0.5901,0.8879,0.2133,-364.0809,3.939,0.0347,-0.4207,2.7662,92.9953,6.2256,,,
80000,,,0.5949,0.8882,0.2262,-359.4773,4.7877,0.035,-0.4483,2.7282,119.0179,6.354,,,
80000,5074.6827,1000.0,,,,,,,,,,,,,
80000,,,,,,,,,,,,,1000,4495.7619,72.1082
80500,,,0.5883,0.8895,0.2171,-363.4389,5.1598,0.0369,-0.4216,2.8772,117.84,5.822,,,
81000,,,0.5853,0.8792,0.2104,-361.675,4.4257,0.0356,-0.4147,3.2533,97.9084,3.5691,,,
81000,,,,,,,,,,,,,1000,4566.3035,80.8504
81500,,,0.5915,0.8947,0.2226,-367.7844,3.8558,0.0356,-0.4328,3.3661,147.5079,7.1821,,,
82000,,,0.5855,0.8872,0.2193,-368.285,4.0426,0.0372,-0.4343,3.1083,278.653,5.9549,,,
82000,,,,,,,,,,,,,1000,4654.5407,81.0537
82500,,,0.5815,0.8852,0.2139,-371.4043,4.252,0.037,-0.4339,2.4029,98.737,5.2936,,,
83000,,,0.5974,0.8983,0.2225,-362.1154,3.7552,0.0358,-0.4431,2.5494,151.4414,5.5919,,,
83000,,,,,,,,,,,,,1000,4713.2288,80.7346
83500,,,0.5953,0.8969,0.2325,-362.8015,3.6836,0.0361,-0.4588,2.9755,167.287,5.1701,,,
84000,,,0.5877,0.8977,0.224,-373.7625,4.0204,0.0376,-0.4438,2.5432,125.0549,6.7961,,,
84000,,,,,,,,,,,,,1000,4708.6778,80.8484
84500,,,0.5903,0.8902,0.2148,-374.5084,4.5217,0.0355,-0.4232,3.0616,188.9304,5.5644,,,
85000,,,0.5878,0.8984,0.2162,-373.7607,3.8532,0.0379,-0.434,3.1127,111.3992,6.9132,,,
85000,5195.3618,1000.0,,,,,,,,,,,,,
85000,,,,,,,,,,,,,1000,4854.439,72.1491
85500,,,0.5848,0.8989,0.2221,-378.7365,4.6592,0.0379,-0.4495,2.4161,130.446,5.484,,,
86000,,,0.5861,0.8902,0.2266,-376.6585,4.6479,0.0371,-0.4569,2.8364,106.557,6.2072,,,
86000,,,,,,,,,,,,,1000,4819.9387,80.7211
86500,,,0.5943,0.894,0.2261,-372.004,3.5412,0.0365,-0.4541,2.4609,123.4018,3.7214,,,
87000,,,0.5901,0.8903,0.224,-382.2979,4.8034,0.0369,-0.4388,2.8613,245.3563,4.4627,,,
87000,,,,,,,,,,,,,1000,4797.7011,80.8338
87500,,,0.5901,0.8927,0.2181,-375.3648,4.2944,0.0372,-0.4428,2.851,131.82,4.353,,,
88000,,,0.5895,0.9023,0.2329,-379.7567,4.8241,0.038,-0.4585,2.8846,114.0399,8.6684,,,
88000,,,,,,,,,,,,,1000,4832.3164,82.6754
88500,,,0.5857,0.8967,0.2189,-384.952,4.1908,0.039,-0.4471,2.5196,161.7525,8.7278,,,
89000,,,0.5859,0.9016,0.2173,-387.3605,4.6296,0.0391,-0.423,2.2342,80.9612,5.4127,,,
89000,,,,,,,,,,,,,1000,4812.2531,81.913
89500,,,0.5925,0.9019,0.2341,-384.9114,4.2368,0.0396,-0.4579,2.471,144.2662,5.7566,,,
