env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
28454,,,28,41.098,105.6936,,,,,,,
28482,,,28,41.516,105.9636,,,,,,,
28500,,,,,,0.0049,-172.7382,3.5918,0.0049,16.414,853.5972,1.8946
28607,,,125,284.8551,106.0242,,,,,,,
28745,,,138,340.7231,106.2916,,,,,,,
28868,,,123,280.5593,106.0827,,,,,,,
28891,,,23,30.3402,106.0796,,,,,,,
28913,,,22,30.6291,105.9665,,,,,,,
28927,,,14,15.7712,105.3518,,,,,,,
29000,,,,,,0.0051,-172.0764,7.3229,0.0051,70.7822,3285.1797,2.6717
29086,,,159,365.0491,105.7222,,,,,,,
29103,,,17,22.1189,105.9515,,,,,,,
29256,,,153,321.0671,106.0224,,,,,,,
29388,,,132,291.299,105.9627,,,,,,,
29403,,,15,19.2783,106.2538,,,,,,,
29500,,,,,,0.0049,-170.1541,6.9676,0.0049,38.9913,1501.1327,5.2496
29578,,,175,392.4428,106.1841,,,,,,,
29610,,,32,46.3449,105.7199,,,,,,,
29783,,,173,341.5858,106.3213,,,,,,,
29990,,,207,353.2486,105.7992,,,,,,,
30000,,,,,,0.0045,-172.2173,3.5962,0.0045,55.2696,1449.2841,3.6026
30000,471.9097,209.8,,,,,,,,,,
30183,,,193,394.4358,87.265,,,,,,,
30202,,,19,23.2244,105.6235,,,,,,,
30231,,,29,42.2857,105.8514,,,,,,,
30251,,,20,24.6734,105.5644,,,,,,,
30452,,,201,438.3616,105.7986,,,,,,,
30485,,,33,49.1972,106.107,,,,,,,
30500,,,,,,0.0049,-169.2769,7.1582,0.0049,59.7505,1648.8148,5.8352
30677,,,192,415.9083,107.7707,,,,,,,
30892,,,215,464.7298,106.2131,,,,,,,
30923,,,31,42.0744,106.1404,,,,,,,
31000,,,,,,0.005,-170.566,6.8179,0.005,16.4178,720.6881,6.2912
31141,,,218,462.4468,106.0915,,,,,,,
31321,,,180,396.0474,106.2236,,,,,,,
31336,,,15,16.5392,107.1692,,,,,,,
31349,,,13,13.5356,110.0621,,,,,,,
31500,,,,,,0.0048,-170.6021,4.6159,0.0048,38.5368,1068.36,2.1063
31590,,,241,461.7419,109.7945,,,,,,,
31794,,,204,419.9786,106.0972,,,,,,,
31814,,,20,27.0801,106.0562,,,,,,,
31830,,,16,19.0906,106.1743,,,,,,,
31843,,,13,12.0661,105.8557,,,,,,,
31862,,,19,24.284,105.0118,,,,,,,
32000,,,,,,0.0053,-168.8582,7.6219,0.0053,27.3397,682.9637,1.6747
32131,,,269,486.5222,106.2884,,,,,,,
32343,,,212,420.1023,105.6483,,,,,,,
32355,,,12,11.2869,105.6429,,,,,,,
32500,,,,,,0.0053,-172.6116,3.5578,0.0053,60.1529,2496.5842,2.8336
32892,,,537,752.3705,105.5066,,,,,,,
33000,,,,,,0.0051,-169.1143,7.5433,0.0051,24.1091,982.0854,6.1523
33112,,,220,414.506,105.3661,,,,,,,
33500,,,,,,0.0045,-169.0034,8.3539,0.0045,18.4022,783.9984,3.9249
34000,,,,,,0.0048,-174.999,2.9206,0.0048,21.8797,819.4787,2.4685
34112,,,1000,1136.0496,106.7366,,,,,,,
34290,,,178,366.5583,109.5432,,,,,,,
34324,,,34,50.332,109.5378,,,,,,,
34500,,,,,,0.0045,-173.2384,8.5635,0.0045,11.6462,560.6882,6.5938
34506,,,182,367.9792,107.2084,,,,,,,
34659,,,153,342.2669,106.2626,,,,,,,
34823,,,164,355.5684,106.0939,,,,,,,
34838,,,15,17.3893,106.3473,,,,,,,
34857,,,19,21.6003,103.1893,,,,,,,
35000,,,,,,0.005,-169.48,8.266,0.005,73.7471,2707.5317,4.5129
35000,345.0849,154.9,,,,,,,,,,
35011,,,154,341.4086,87.7879,,,,,,,
35034,,,23,29.04,104.408,,,,,,,
35054,,,20,25.2358,106.1734,,,,,,,
35085,,,31,42.911,105.8593,,,,,,,
35288,,,203,390.1323,105.748,,,,,,,
35321,,,33,47.2334,106.1615,,,,,,,
35492,,,171,354.7271,105.8102,,,,,,,
35500,,,,,,0.0046,-172.8863,3.0745,0.0046,37.9726,1208.0096,6.1966
35532,,,40,60.2599,105.7967,,,,,,,
35675,,,143,321.0031,105.8754,,,,,,,
35704,,,29,39.4432,105.7249,,,,,,,
35728,,,24,32.8294,106.324,,,,,,,
35753,,,25,33.9649,106.061,,,,,,,
35783,,,30,42.1735,105.6943,,,,,,,
35816,,,33,47.7742,105.8759,,,,,,,
35830,,,14,14.4364,105.9575,,,,,,,
35857,,,27,36.2664,93.9163,,,,,,,
36000,,,,,,0.0042,-172.4061,4.0752,0.0042,33.0971,1471.4698,3.0046
36033,,,176,373.1805,105.8879,,,,,,,
36050,,,17,20.6488,104.8795,,,,,,,
36226,,,176,362.6324,106.1986,,,,,,,
36396,,,170,269.2333,105.8102,,,,,,,
36430,,,34,50.3321,106.013,,,,,,,
36464,,,34,51.3681,104.2086,,,,,,,
36482,,,18,21.6317,106.2605,,,,,,,
36500,,,,,,0.0043,-173.3098,3.6509,0.0043,32.2382,979.0125,3.2692
36512,,,30,41.94,105.9579,,,,,,,
36526,,,14,15.934,106.056,,,,,,,
36549,,,23,31.7552,105.9938,,,,,,,
36764,,,215,448.2319,105.8905,,,,,,,
36800,,,36,52.9341,105.8476,,,,,,,
36819,,,19,24.3651,105.8145,,,,,,,
36846,,,27,38.6967,104.7877,,,,,,,
36868,,,22,28.2832,104.4776,,,,,,,
36906,,,38,57.0635,105.3999,,,,,,,
36944,,,38,56.355,105.7197,,,,,,,
36970,,,26,36.2299,105.9572,,,,,,,
36995,,,25,34.2649,106.1126,,,,,,,
37000,,,,,,0.0047,-174.2876,6.0623,0.0047,27.5876,1113.8605,5.7487
37015,,,20,27.1152,105.9395,,,,,,,
37035,,,20,26.5595,104.126,,,,,,,
37056,,,21,27.1707,104.6478,,,,,,,
