env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
10687,,,25,-1.2138,80.3786,,,,,,,,,,
10697,,,10,-10.3886,80.4794,,,,,,,,,,
10707,,,10,-7.5043,80.2582,,,,,,,,,,
10729,,,22,-3.7018,80.3493,,,,,,,,,,
10747,,,18,-7.0333,80.6053,,,,,,,,,,
10774,,,27,-1.2283,80.0585,,,,,,,,,,
10801,,,27,1.6686,80.9894,,,,,,,,,,
10814,,,13,-5.8311,81.0859,,,,,,,,,,
10846,,,32,10.9838,80.3271,,,,,,,,,,
10881,,,35,12.0046,80.2549,,,,,,,,,,
10917,,,36,16.64,80.5011,,,,,,,,,,
10937,,,20,-5.8318,79.7292,,,,,,,,,,
10946,,,9,-6.6298,79.9982,,,,,,,,,,
10968,,,22,-1.9607,79.8516,,,,,,,,,,
10986,,,18,-10.209,79.9539,,,,,,,,,,
11000,,,,,,0.3315,0.7563,0.117,-113.5683,15.4969,0.0542,-0.2289,63.8339,471.0307,3.6961
11006,,,20,-12.4668,80.363,,,,,,,,,,
11017,,,11,-4.4744,79.0831,,,,,,,,,,
11038,,,21,-2.7906,79.1722,,,,,,,,,,
11050,,,12,-6.9985,79.7691,,,,,,,,,,
11058,,,8,-4.7282,80.7433,,,,,,,,,,
11079,,,21,-4.5819,80.8474,,,,,,,,,,
11088,,,9,-7.2462,79.3751,,,,,,,,,,
11102,,,14,-6.6663,80.3607,,,,,,,,,,
11121,,,19,-9.1687,80.3405,,,,,,,,,,
11157,,,36,12.4086,80.2865,,,,,,,,,,
11192,,,35,15.6746,80.5159,,,,,,,,,,
11238,,,46,25.4541,80.6929,,,,,,,,,,
11256,,,18,-5.9971,80.44,,,,,,,,,,
11265,,,9,-10.3446,79.4471,,,,,,,,,,
11285,,,20,-7.1644,80.5423,,,,,,,,,,
11304,,,19,-6.4695,80.5055,,,,,,,,,,
11324,,,20,-1.9374,79.8458,,,,,,,,,,
11336,,,12,-7.1708,80.8435,,,,,,,,,,
11345,,,9,-3.0866,80.874,,,,,,,,,,
11364,,,19,-5.2539,79.929,,,,,,,,,,
11376,,,12,-6.4947,80.7136,,,,,,,,,,
11403,,,27,1.353,79.9277,,,,,,,,,,
11430,,,27,-0.1549,80.2181,,,,,,,,,,
11457,,,27,4.4514,80.1187,,,,,,,,,,
11485,,,28,0.368,80.2106,,,,,,,,,,
11492,,,7,-6.7274,80.8331,,,,,,,,,,
11500,,,,,,0.3326,0.7625,0.1123,-128.0638,25.3683,0.0568,-0.2154,61.4444,796.2809,5.3235
11501,,,9,-5.9047,80.5915,,,,,,,,,,
11519,,,18,-4.9954,79.2084,,,,,,,,,,
11561,,,42,8.9561,79.7878,,,,,,,,,,
11604,,,43,17.3502,79.815,,,,,,,,,,
11655,,,51,32.0949,80.2033,,,,,,,,,,
11672,,,17,-8.4794,79.5869,,,,,,,,,,
11692,,,20,-4.1351,79.1584,,,,,,,,,,
11716,,,24,-1.8258,78.5841,,,,,,,,,,
11757,,,41,8.7305,80.0028,,,,,,,,,,
11792,,,35,12.9623,80.2354,,,,,,,,,,
11799,,,7,-6.8054,81.3217,,,,,,,,,,
11823,,,24,-2.3414,80.4028,,,,,,,,,,
11862,,,39,12.1787,80.2296,,,,,,,,,,
11880,,,18,-7.1647,80.4277,,,,,,,,,,
11904,,,24,-3.8351,76.5161,,,,,,,,,,
11913,,,9,-4.4783,80.6776,,,,,,,,,,
11931,,,18,-5.4459,80.8361,,,,,,,,,,
11943,,,12,-4.1142,80.6997,,,,,,,,,,
11962,,,19,-8.9964,80.3201,,,,,,,,,,
11976,,,14,-4.892,81.1053,,,,,,,,,,
11985,,,9,-9.0085,80.3635,,,,,,,,,,
12000,,,,,,0.3365,0.7485,0.1115,-145.5333,12.21,0.0592,-0.226,115.3351,1043.821,5.1402
12014,,,29,1.3454,80.6972,,,,,,,,,,
12022,,,8,-5.6999,79.9764,,,,,,,,,,
12037,,,15,-6.9476,79.6538,,,,,,,,,,
12056,,,19,-3.8624,80.5491,,,,,,,,,,
12068,,,12,-8.4718,80.097,,,,,,,,,,
12089,,,21,-4.8729,80.1626,,,,,,,,,,
12117,,,28,4.3578,79.9485,,,,,,,,,,
12126,,,9,-7.8991,79.3229,,,,,,,,,,
12147,,,21,-6.6529,79.623,,,,,,,,,,
12175,,,28,7.6383,79.8596,,,,,,,,,,
12184,,,9,-5.9955,80.3749,,,,,,,,,,
12210,,,26,0.3525,80.2398,,,,,,,,,,
12232,,,22,-4.3903,80.4171,,,,,,,,,,
12240,,,8,-7.5033,79.9986,,,,,,,,,,
12301,,,61,47.4354,80.2856,,,,,,,,,,
12332,,,31,11.2595,80.5998,,,,,,,,,,
12341,,,9,-4.7425,80.6607,,,,,,,,,,
12381,,,40,16.3568,79.9766,,,,,,,,,,
12389,,,8,-2.9352,79.9334,,,,,,,,,,
12411,,,22,-1.6953,80.3332,,,,,,,,,,
12422,,,11,-5.5396,80.7451,,,,,,,,,,
12442,,,20,-2.0917,79.0007,,,,,,,,,,
12461,,,19,-8.6521,79.7959,,,,,,,,,,
12500,,,,,,0.3198,0.7463,0.1207,-163.1607,24.2149,0.0476,-0.2261,114.7827,952.6859,4.503
12506,,,45,16.0035,79.3345,,,,,,,,,,
12539,,,33,13.0237,78.5377,,,,,,,,,,
12551,,,12,-2.9582,78.4209,,,,,,,,,,
12587,,,36,4.7425,79.0017,,,,,,,,,,
12608,,,21,-3.0051,78.804,,,,,,,,,,
12646,,,38,20.3747,78.9637,,,,,,,,,,
12665,,,19,-5.7484,79.0522,,,,,,,,,,
12672,,,7,-4.5447,78.2107,,,,,,,,,,
12701,,,29,6.1901,78.3567,,,,,,,,,,
12709,,,8,-7.3603,78.8588,,,,,,,,,,
12716,,,7,-5.2561,78.8318,,,,,,,,,,
12726,,,10,-1.8071,78.3921,,,,,,,,,,
12733,,,7,-4.4937,78.3313,,,,,,,,,,
12744,,,11,-4.9062,78.658,,,,,,,,,,
12752,,,8,-4.352,78.3934,,,,,,,,,,
12784,,,32,7.5148,78.5488,,,,,,,,,,
12807,,,23,-2.3649,78.8612,,,,,,,,,,
12819,,,12,-5.1417,78.9994,,,,,,,,,,
12852,,,33,11.546,78.5543,,,,,,,,,,
12879,,,27,5.1529,78.4975,,,,,,,,,,
12923,,,44,25.0905,78.5364,,,,,,,,,,
12950,,,27,4.229,78.1015,,,,,,,,,,
12958,,,8,-2.3928,78.0025,,,,,,,,,,
12969,,,11,-4.6771,78.0387,,,,,,,,,,
12997,,,28,10.6696,77.731,,,,,,,,,,
13000,,,,,,0.3264,0.7515,0.1252,-175.6692,33.477,0.0493,-0.2229,99.1557,990.8791,7.7307
13005,,,8,-3.1379,79.0528,,,,,,,,,,
13036,,,31,7.5295,76.9019,,,,,,,,,,
13061,,,25,3.7081,75.6007,,,,,,,,,,
13072,,,11,-1.9747,75.5794,,,,,,,,,,
13089,,,17,-3.0863,76.8811,,,,,,,,,,
13125,,,36,18.1369,76.8635,,,,,,,,,,
13159,,,34,15.5705,78.1578,,,,,,,,,,
13171,,,12,-7.2334,80.714,,,,,,,,,,
13179,,,8,-5.697,80.5172,,,,,,,,,,
13201,,,22,0.0989,80.3449,,,,,,,,,,
13261,,,60,43.913,79.4648,,,,,,,,,,
13279,,,18,-4.7757,80.3247,,,,,,,,,,
13288,,,9,-3.3453,80.0014,,,,,,,,,,
13332,,,44,19.2776,80.2747,,,,,,,,,,
13367,,,35,17.1562,80.1262,,,,,,,,,,
13375,,,8,-3.1291,79.5276,,,,,,,,,,
13382,,,7,-4.3615,79.4582,,,,,,,,,,
13400,,,18,-3.9423,79.8473,,,,,,,,,,
13500,,,,,,0.3305,0.7544,0.1111,-184.454,21.6724,0.0576,-0.2127,136.5252,1440.5149,3.3212
13504,,,104,63.3548,80.2281,,,,,,,,,,
13534,,,30,7.6042,80.1557,,,,,,,,,,
13555,,,21,-3.455,78.5417,,,,,,,,,,
13581,,,26,0.2686,75.1187,,,,,,,,,,
13616,,,35,25.4274,78.8491,,,,,,,,,,
13653,,,37,12.0554,80.1162,,,,,,,,,,
13661,,,8,-2.5589,80.5281,,,,,,,,,,
13682,,,21,-3.3368,79.8496,,,,,,,,,,
13692,,,10,-5.9319,80.7634,,,,,,,,,,
13699,,,7,-6.1471,80.1499,,,,,,,,,,
13706,,,7,-4.7347,79.6339,,,,,,,,,,
13713,,,7,-4.3401,81.0306,,,,,,,,,,
13730,,,17,-4.3807,76.5292,,,,,,,,,,
13740,,,10,-4.4129,78.0968,,,,,,,,,,
13759,,,19,-6.6787,78.0905,,,,,,,,,,
13770,,,11,-3.7726,78.6044,,,,,,,,,,
13869,,,99,105.4007,78.4067,,,,,,,,,,
13881,,,12,-6.9598,77.5013,,,,,,,,,,
13890,,,9,-3.6138,77.293,,,,,,,,,,
13909,,,19,-2.7624,77.3873,,,,,,,,,,
13970,,,61,65.3225,76.4881,,,,,,,,,,
13978,,,8,-4.552,79.1421,,,,,,,,,,
13990,,,12,-1.3227,78.6801,,,,,,,,,,
14000,,,,,,0.3298,0.748,0.1468,-194.899,19.5982,0.0427,-0.2412,218.1052,2813.1758,5.175
14005,,,15,-4.0534,79.0269,,,,,,,,,,
14016,,,11,-6.5842,78.7348,,,,,,,,,,
14037,,,21,-0.9582,78.1475,,,,,,,,,,
14060,,,23,1.3867,78.7482,,,,,,,,,,
14068,,,8,-6.6933,78.8373,,,,,,,,,,
14107,,,39,28.1236,78.2533,,,,,,,,,,
14123,,,16,1.6665,78.6877,,,,,,,,,,
14131,,,8,-5.7159,78.7014,,,,,,,,,,
14162,,,31,7.0662,79.0403,,,,,,,,,,
14170,,,8,-4.6802,78.198,,,,,,,,,,
14245,,,75,108.765,78.046,,,,,,,,,,
14265,,,20,-4.2191,77.7871,,,,,,,,,,
14295,,,30,9.8875,78.672,,,,,,,,,,
14397,,,102,132.6453,78.4579,,,,,,,,,,
14405,,,8,-4.1512,79.491,,,,,,,,,,
14413,,,8,-3.197,80.1725,,,,,,,,,,
14421,,,8,-3.912,80.6109,,,,,,,,,,
14444,,,23,-0.7009,80.3389,,,,,,,,,,
14468,,,24,-1.6243,80.1114,,,,,,,,,,
14475,,,7,-3.5336,78.8005,,,,,,,,,,
14500,,,,,,0.3513,0.756,0.1113,-205.3125,40.2074,0.0657,-0.2217,419.7781,4628.9897,8.3645
14511,,,36,15.9912,79.9081,,,,,,,,,,
14521,,,10,-2.649,79.8354,,,,,,,,,,
14534,,,13,0.4291,80.4429,,,,,,,,,,
14558,,,24,-4.9251,79.6539,,,,,,,,,,
14568,,,10,-1.6288,79.8993,,,,,,,,,,
14582,,,14,-5.059,79.6457,,,,,,,,,,
14591,,,9,-3.0103,80.165,,,,,,,,,,
14617,,,26,9.1877,79.946,,,,,,,,,,
14627,,,10,-4.7281,80.7896,,,,,,,,,,
14641,,,14,-2.1954,80.403,,,,,,,,,,
14654,,,13,-3.955,79.8329,,,,,,,,,,
14662,,,8,-4.0593,80.0833,,,,,,,,,,
14692,,,30,3.3659,79.9967,,,,,,,,,,
14714,,,22,1.627,80.0768,,,,,,,,,,
14738,,,24,11.2549,78.6674,,,,,,,,,,
14763,,,25,2.5494,80.1442,,,,,,,,,,
14885,,,122,223.7478,79.3235,,,,,,,,,,
14899,,,14,-0.9451,80.6458,,,,,,,,,,
14908,,,9,-1.3048,80.659,,,,,,,,,,
14915,,,7,-4.6102,80.3614,,,,,,,,,,
14934,,,19,-1.1018,80.183,,,,,,,,,,
14965,,,31,24.9369,80.5219,,,,,,,,,,
14971,,,6,-4.5171,80.097,,,,,,,,,,
14992,,,21,1.9792,80.4507,,,,,,,,,,
15000,,,,,,0.3373,0.7672,0.1158,-209.1365,32.3939,0.059,-0.2283,209.4594,1634.8602,11.4543
15000,211.3106,89.9,,,,,,,,,,,,,
15001,,,9,-3.0804,23.1855,,,,,,,,,,
15012,,,11,-5.0228,79.9645,,,,,,,,,,
15034,,,22,8.9153,79.6864,,,,,,,,,,
15052,,,18,-5.1123,80.1992,,,,,,,,,,
15063,,,11,-4.4282,80.0355,,,,,,,,,,
15077,,,14,1.7502,79.7643,,,,,,,,,,
15097,,,20,-6.1573,79.9847,,,,,,,,,,
15104,,,7,-4.8282,79.5898,,,,,,,,,,
15113,,,9,-4.5976,79.7395,,,,,,,,,,
