env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
76500,,,-244.5836,3.3654,0.0039,-0.0465,2.6486,149.432,3.1243,,,
77000,,,-252.6733,5.1646,0.0024,-0.0379,2.4764,172.8271,4.5432,,,
77000,,,,,,,,,,1000,3664.83,87.389
77500,,,-247.2981,3.4397,0.0028,-0.0426,2.5562,137.9613,3.8103,,,
78000,,,-244.8772,3.7022,0.0028,-0.0403,2.3903,147.9553,2.3292,,,
78000,,,,,,,,,,1000,3760.078,87.4263
78500,,,-252.9002,4.2448,0.0023,-0.0375,2.4597,185.943,4.9519,,,
79000,,,-255.0288,3.9492,0.0026,-0.0394,2.3742,130.0115,3.1994,,,
79000,,,,,,,,,,1000,3775.2657,86.9515
79500,,,-252.0234,3.9959,0.0025,-0.039,2.4935,103.1794,3.1755,,,
80000,,,-252.8411,4.1486,0.003,-0.0432,2.319,138.688,3.8631,,,
80000,4472.8127,1000.0,,,,,,,,,,
80000,,,,,,,,,,1000,3797.5511,76.2357
80500,,,-254.3168,4.7237,0.0026,-0.0401,2.4347,86.7742,4.9336,,,
81000,,,-258.2914,3.4007,0.0026,-0.0398,2.2431,89.4249,4.0473,,,
81000,,,,,,,,,,1000,3957.2109,81.6336
81500,,,-265.186,4.0575,0.0027,-0.0406,2.4514,167.9431,3.2386,,,
82000,,,-259.3568,2.8599,0.0033,-0.0415,2.6383,210.9734,4.1897,,,
82000,,,,,,,,,,1000,3961.3934,82.9527
82500,,,-259.5167,3.7208,0.0024,-0.038,2.5238,104.0178,3.0734,,,
83000,,,-260.1384,4.0761,0.0027,-0.0413,2.6108,129.1253,3.2027,,,
83000,,,,,,,,,,1000,3985.9915,82.8546
83500,,,-267.0498,4.3888,0.0028,-0.0413,2.3309,116.215,4.1022,,,
84000,,,-268.5998,4.1594,0.0023,-0.0377,2.5038,131.8072,5.6236,,,
84000,,,,,,,,,,1000,4101.9486,84.8215
84500,,,-265.9161,3.6428,0.0025,-0.0386,2.8956,119.1869,3.9633,,,
85000,,,-268.6658,4.2211,0.0023,-0.0382,2.8556,251.5343,5.0746,,,
85000,4537.1641,1000.0,,,,,,,,,,
85000,,,,,,,,,,1000,4056.0646,74.7915
85500,,,-271.6445,3.9892,0.0024,-0.038,2.838,166.9294,4.17,,,
86000,,,-275.0381,3.5657,0.0029,-0.0412,2.5215,170.9091,4.0149,,,
86000,,,,,,,,,,1000,4168.0708,81.0011
86500,,,-280.3575,3.588,0.0025,-0.0381,2.4864,144.0337,4.353,,,
87000,,,-274.0934,4.3971,0.0022,-0.0367,2.3793,78.3184,5.4466,,,
87000,,,,,,,,,,1000,4211.8844,81.1746
87500,,,-282.9732,3.7314,0.0022,-0.0364,2.6624,199.5162,4.5791,,,
88000,,,-281.1883,5.1519,0.0022,-0.0372,2.2723,89.4481,4.9439,,,
88000,,,,,,,,,,1000,4225.2382,83.9289
88500,,,-278.2499,4.4363,0.0025,-0.0383,2.4433,157.6574,4.6339,,,
89000,,,-279.2028,4.6645,0.0022,-0.0354,2.4469,74.53,5.3775,,,
89000,,,,,,,,,,1000,4327.1363,83.6696
89500,,,-280.7741,3.792,0.0025,-0.04,2.2503,174.8116,4.372,,,
90000,,,-282.1874,4.4221,0.0023,-0.0373,2.388,110.8399,3.6019,,,
90000,4772.3577,1000.0,,,,,,,,,,
90000,,,,,,,,,,1000,4300.8588,71.9385
90500,,,-288.6651,4.3194,0.0025,-0.0388,2.7334,164.9117,5.8578,,,
91000,,,-284.7349,3.9865,0.0023,-0.0375,2.4645,153.9282,5.1139,,,
91000,,,,,,,,,,1000,4315.3523,81.18
91500,,,-287.087,3.2254,0.0022,-0.0356,2.5087,208.2358,2.8028,,,
92000,,,-285.0742,4.1815,0.0025,-0.0407,2.279,120.8703,4.6279,,,
92000,,,,,,,,,,1000,4461.8439,81.6939
92500,,,-288.9301,3.6665,0.0023,-0.037,2.4239,68.089,4.1171,,,
93000,,,-295.1435,4.0239,0.0024,-0.0378,2.3519,102.2016,5.8441,,,
93000,,,,,,,,,,1000,4483.686,82.9066
93500,,,-292.3667,5.8129,0.0022,-0.0363,2.3182,151.2218,5.7594,,,
94000,,,-298.5692,3.5178,0.0033,-0.0411,2.7521,209.66,3.6662,,,
94000,,,,,,,,,,1000,4533.3931,80.9794
94500,,,-299.8534,4.5281,0.0022,-0.0369,2.938,218.75,4.1423,,,
95000,,,-307.5451,4.9349,0.0021,-0.0346,2.3048,83.4399,5.7629,,,
95000,4943.9658,1000.0,,,,,,,,,,
95000,,,,,,,,,,1000,4537.026,72.5484
95500,,,-303.8337,4.2415,0.0024,-0.0392,2.5767,120.8543,4.4749,,,
96000,,,-305.6408,4.8435,0.0023,-0.0371,2.3013,133.0063,4.4703,,,
96000,,,,,,,,,,1000,4657.7632,81.2559
96500,,,-308.7818,4.1624,0.002,-0.0344,2.6716,227.2983,3.7914,,,
97000,,,-313.1503,4.1891,0.0022,-0.0363,2.4951,131.9916,5.7331,,,
97000,,,,,,,,,,1000,4750.0732,80.3851
97500,,,-309.5926,3.9831,0.0029,-0.04,3.1602,321.5015,4.7791,,,
98000,,,-312.1346,3.8523,0.0022,-0.0365,2.2381,81.697,4.8489,,,
98000,,,,,,,,,,1000,4765.7487,81.2443
98500,,,-312.5888,4.4922,0.002,-0.0344,2.6903,119.3092,3.8327,,,
99000,,,-317.06,3.734,0.0021,-0.0363,2.4241,124.9676,5.595,,,
99000,,,,,,,,,,1000,4830.6364,84.0326
99500,,,-320.2776,4.3794,0.0024,-0.0381,2.801,177.0318,4.6336,,,
100000,,,-320.1523,3.2875,0.002,-0.0349,2.2676,166.5732,5.0951,,,
100000,5002.5259,1000.0,,,,,,,,,,
