env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
40500,,,1.7553,0.7672,0.579,-100.4172,5.709,0.2759,-1.1286,2.4987,71.8354,2.1333,,,
41000,,,1.6914,0.7554,0.5691,-99.6204,6.88,0.2398,-1.1033,3.0261,27.9756,1.9555,,,
41000,,,,,,,,,,,,,1000,759.8688,84.7593
41500,,,1.6697,0.7406,0.5324,-98.7859,5.988,0.2585,-1.074,3.2619,49.2358,1.6961,,,
42000,,,1.6998,0.7648,0.5725,-103.2889,7.4502,0.2257,-1.1412,4.87,35.5346,1.7724,,,
42000,,,,,,,,,,,,,1000,596.4481,87.4162
42500,,,1.6552,0.7586,0.548,-101.4275,5.2911,0.2219,-1.1052,2.5211,27.7459,2.7364,,,
43000,,,1.6923,0.753,0.5579,-105.7167,5.9794,0.2402,-1.073,3.4453,41.5374,1.4716,,,
43000,,,,,,,,,,,,,1000,1246.5702,86.3786
43500,,,1.7093,0.7692,0.5721,-108.2475,7.5501,0.2389,-1.1291,5.3804,65.2158,2.304,,,
44000,,,1.7001,0.7675,0.5566,-108.888,6.8219,0.2349,-1.1036,3.1413,51.6987,1.5229,,,
44000,,,,,,,,,,,,,1000,1447.1529,84.9402
44500,,,1.6955,0.7526,0.5648,-110.4344,4.5321,0.2416,-1.1322,2.8956,49.8357,1.9288,,,
45000,,,1.6726,0.7585,0.5515,-111.1753,5.7931,0.2265,-1.1105,3.5643,45.0196,1.8604,,,
45000,2335.8169,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,918.4086,72.1527
45500,,,1.6786,0.7632,0.5349,-111.7611,6.6362,0.2403,-1.1217,3.6105,41.6786,1.9811,,,
46000,,,1.6886,0.7535,0.5582,-111.2963,3.986,0.2509,-1.121,4.4892,66.4406,1.7613,,,
46000,,,,,,,,,,,,,1000,1319.7284,84.4437
46500,,,1.7111,0.772,0.5816,-115.4486,5.1349,0.2279,-1.1655,2.4907,22.8822,1.9385,,,
47000,,,1.6666,0.7529,0.5607,-115.2709,5.6119,0.2114,-1.0922,2.9414,53.6158,2.0055,,,
47000,,,,,,,,,,,,,1000,813.923,85.9036
47500,,,1.6885,0.7632,0.5443,-115.0573,6.5563,0.2451,-1.1043,2.812,51.4009,2.9838,,,
48000,,,1.6851,0.7567,0.5554,-116.6885,4.8356,0.2366,-1.1082,2.916,31.0977,1.4655,,,
48000,,,,,,,,,,,,,1000,1086.3329,86.7116
48500,,,1.7051,0.773,0.5733,-117.6474,5.7321,0.2357,-1.1414,2.9481,34.2138,2.2154,,,
49000,,,1.6687,0.7688,0.5583,-118.3302,5.5801,0.213,-1.0982,3.6383,32.8668,1.4439,,,
49000,,,,,,,,,,,,,1000,1091.1699,87.4841
49500,,,1.6755,0.76,0.5337,-115.9531,6.1988,0.2585,-1.0558,3.9463,33.924,2.3813,,,
50000,,,1.6762,0.7719,0.5489,-119.1123,5.4552,0.2256,-1.0715,6.5151,74.9209,1.952,,,
50000,2267.6274,1000.0,,,,,,,,,,,,,
50000,,,,,,,,,,,,,1000,773.2597,72.6859
50500,,,1.7197,0.7676,0.5653,-120.7591,4.5574,0.2591,-1.127,4.5687,44.688,1.9429,,,
51000,,,1.7023,0.7715,0.5508,-122.0519,5.7725,0.2507,-1.1169,4.4001,44.4582,2.9973,,,
51000,,,,,,,,,,,,,1000,1238.8786,85.3981
51500,,,1.684,0.7607,0.5542,-119.8195,6.8934,0.2417,-1.0885,3.0791,34.1173,2.0973,,,
52000,,,1.704,0.7685,0.5616,-127.5171,4.7764,0.2359,-1.1087,3.8576,43.9333,2.0244,,,
52000,,,,,,,,,,,,,1000,920.8663,84.8222
52500,,,1.7484,0.7682,0.5699,-122.3415,5.3029,0.278,-1.1222,3.6251,56.025,1.9733,,,
