env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
58954,,,68,-47.0947,102.6782,,,,,,,
58994,,,40,-31.1106,102.5035,,,,,,,
59000,,,,,,4.3628,-1876.7234,186.5616,4.3628,8747.9932,205433.5781,68.7508
59089,,,95,-163.0028,102.3259,,,,,,,
59500,,,,,,4.0674,-1750.3901,186.609,4.0674,8866.3438,221032.0156,68.9196
60000,,,,,,4.0211,-1829.7301,153.7429,4.0211,7992.6323,201697.8906,76.7883
60000,-463.1069,391.7,,,,,,,,,,
60089,,,1000,-1374.3831,92.9022,,,,,,,
60500,,,,,,4.42,-1954.1671,166.9072,4.42,12538.4473,191642.4531,84.8825
61000,,,,,,4.2393,-1857.5588,166.528,4.2393,7078.6567,187571.4375,84.953
61089,,,1000,-1386.171,105.911,,,,,,,
61102,,,13,-7.6861,101.7473,,,,,,,
61172,,,70,-57.018,102.1513,,,,,,,
61500,,,,,,3.9913,-1829.2958,134.511,3.9913,9651.8926,249933.7969,59.1395
62000,,,,,,4.0074,-1777.7089,144.9598,4.0074,6319.3257,169953.25,99.1379
62172,,,1000,-1194.4323,102.0997,,,,,,,
62224,,,52,-0.0201,102.1184,,,,,,,
62342,,,118,-42.7093,101.7038,,,,,,,
62373,,,31,-12.9551,102.2353,,,,,,,
62500,,,,,,4.249,-1906.4915,143.7218,4.249,9586.9854,200132.2031,57.9168
62570,,,197,-173.584,102.1513,,,,,,,
63000,,,,,,4.0199,-1820.3263,148.3408,4.0199,6706.0669,156542.1875,94.273
63500,,,,,,4.286,-1959.861,144.648,4.286,5380.5,158441.7188,96.4658
63570,,,1000,-1320.2959,102.6764,,,,,,,
63583,,,13,-18.4116,102.0376,,,,,,,
64000,,,,,,4.2528,-1775.6244,187.6628,4.2528,10851.3086,230443.2188,69.1252
64146,,,563,-749.9391,102.2347,,,,,,,
64172,,,26,-26.3624,102.1228,,,,,,,
64222,,,50,-32.3818,102.0042,,,,,,,
64319,,,97,-181.463,102.1611,,,,,,,
64334,,,15,-10.7907,101.9123,,,,,,,
64347,,,13,-8.8368,102.0436,,,,,,,
64500,,,,,,3.9981,-1863.5444,156.7271,3.9981,10429.8457,244120.1406,80.793
64572,,,225,-353.0309,101.8993,,,,,,,
64627,,,55,-77.0892,101.6624,,,,,,,
64672,,,45,-41.2266,102.1684,,,,,,,
65000,,,,,,4.0098,-1700.8568,146.4749,4.0098,8533.1143,247101.2188,90.7539
65000,-404.2868,280.0,,,,,,,,,,
65500,,,,,,4.0839,-1880.368,138.5613,4.0839,7145.1782,156542.6875,82.6322
65672,,,1000,-1330.575,95.1269,,,,,,,
66000,,,,,,4.1425,-1754.4358,156.8217,4.1425,7938.1509,159097.2188,75.4006
66500,,,,,,4.1051,-1784.5758,167.4838,4.1051,7867.8564,210977.4375,69.1327
66672,,,1000,-1146.1681,102.3285,,,,,,,
66858,,,186,-123.3204,106.0225,,,,,,,
66934,,,76,-46.0173,105.9765,,,,,,,
66974,,,40,-42.5828,105.9479,,,,,,,
67000,,,,,,4.1061,-1813.4364,129.7819,4.1061,14995.6035,244334.2188,83.5748
67153,,,179,-48.8648,106.1802,,,,,,,
67172,,,19,-25.9449,105.618,,,,,,,
67189,,,17,-24.518,106.5444,,,,,,,
67243,,,54,-51.696,106.1491,,,,,,,
67500,,,,,,4.1126,-1850.3447,180.6392,4.1126,10402.1445,181415.75,74.3994
68000,,,,,,4.123,-1674.144,155.7702,4.123,13414.8535,210884.1875,91.4348
68243,,,1000,-1234.9899,105.064,,,,,,,
68500,,,,,,4.1627,-1776.3497,163.6199,4.1627,7759.0278,187861.0938,81.7905
69000,,,,,,4.4145,-1784.4382,169.8023,4.4145,6288.2588,162778.5469,66.1892
69243,,,1000,-1427.2264,101.9053,,,,,,,
69500,,,,,,3.9654,-1811.7029,136.3696,3.9654,8256.6309,255990.75,95.3956
70000,,,,,,4.3338,-2005.3428,153.11,4.3338,6239.0,148327.875,79.4382
70000,-111.5383,233.0,,,,,,,,,,
70243,,,1000,-283.2044,95.5304,,,,,,,
70268,,,25,-47.2672,102.5664,,,,,,,
70377,,,109,-101.138,101.9338,,,,,,,
70430,,,53,-35.6256,101.9199,,,,,,,
70477,,,47,-57.4274,101.7292,,,,,,,
70500,,,,,,4.2952,-1992.1227,130.3924,4.2952,10079.0059,167715.6406,91.9
70981,,,504,-0.873,102.0165,,,,,,,
71000,,,,,,3.9333,-1829.835,145.2934,3.9333,9083.5,184528.3125,107.2303
71002,,,21,-44.3197,102.2049,,,,,,,
71067,,,65,-69.0977,102.0464,,,,,,,
71080,,,13,-17.0588,102.1789,,,,,,,
