env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
20981,,,69,-67.7317,31.2571,,,,,,,,,,
21000,,,,,,4.5223,0.9642,1.3308,-149.4608,15.3799,6.0819,-1.3565,102.5979,802.4046,11.4868
21045,,,64,-81.8892,29.8455,,,,,,,,,,
21190,,,145,-56.0993,27.8514,,,,,,,,,,
21204,,,14,-6.5232,26.7825,,,,,,,,,,
21269,,,65,-29.2735,26.7848,,,,,,,,,,
21372,,,103,-55.0053,26.718,,,,,,,,,,
21476,,,104,-45.6147,26.7203,,,,,,,,,,
21500,,,,,,4.609,1.0229,1.355,-163.6318,15.8428,6.147,-1.3544,125.2274,684.6882,10.5463
21515,,,39,-62.334,30.9315,,,,,,,,,,
22000,,,,,,4.5183,0.9814,1.2983,-165.0438,14.6899,6.109,-1.2984,154.8356,949.9149,11.1453
22500,,,,,,4.5611,1.0072,1.3072,-166.394,16.7245,6.2594,-1.3064,151.7365,1057.7859,14.5687
22515,,,1000,-873.3328,27.1318,,,,,,,,,,
22581,,,66,-30.7471,29.6804,,,,,,,,,,
22667,,,86,-70.9914,31.228,,,,,,,,,,
22680,,,13,-11.4551,28.5457,,,,,,,,,,
22761,,,81,-122.2918,26.2141,,,,,,,,,,
22969,,,208,-180.4512,26.5532,,,,,,,,,,
23000,,,,,,4.5349,1.0009,1.3026,-182.4518,18.6737,6.1503,-1.2942,174.1207,843.1104,14.1636
23112,,,143,-167.4337,26.7135,,,,,,,,,,
23141,,,29,-22.8552,26.6882,,,,,,,,,,
23152,,,11,-4.5575,26.7333,,,,,,,,,,
23210,,,58,-36.586,26.5699,,,,,,,,,,
23374,,,164,-173.6789,26.2886,,,,,,,,,,
23406,,,32,-16.0185,26.6253,,,,,,,,,,
23436,,,30,-31.7688,26.6185,,,,,,,,,,
23500,,,,,,4.5756,1.0265,1.3268,-181.4925,23.8925,6.1316,-1.33,190.319,1286.7051,13.7778
23537,,,101,-90.2852,26.3505,,,,,,,,,,
24000,,,,,,4.5758,0.9865,1.302,-197.9893,19.351,6.4988,-1.2883,253.5935,1453.3715,12.1062
24500,,,,,,4.5591,0.9761,1.2903,-194.7083,18.2631,6.3187,-1.271,255.8041,1530.3739,13.5854
24537,,,1000,-908.9778,26.3205,,,,,,,,,,
24621,,,84,-57.5492,26.4566,,,,,,,,,,
24805,,,184,-136.6403,27.1674,,,,,,,,,,
24824,,,19,-28.2679,31.0726,,,,,,,,,,
24880,,,56,-19.9472,29.6732,,,,,,,,,,
24974,,,94,-89.7899,27.995,,,,,,,,,,
25000,,,,,,4.6057,0.9671,1.3157,-216.9494,18.8432,6.5343,-1.3183,251.6673,1836.0778,14.4225
25000,20.1516,902.6,,,,,,,,,,,,,
25011,,,37,-50.9325,7.2313,,,,,,,,,,
25044,,,33,-43.2387,26.6307,,,,,,,,,,
25108,,,64,-56.6625,26.5572,,,,,,,,,,
25500,,,,,,4.643,0.9694,1.3393,-222.4468,22.2041,6.6851,-1.3156,249.5417,1450.2207,14.3566
26000,,,,,,4.5538,0.9254,1.3176,-226.0125,18.1785,6.4489,-1.2628,259.3475,1335.6105,15.1521
26108,,,1000,-917.3349,26.3311,,,,,,,,,,
26133,,,25,-41.346,26.3175,,,,,,,,,,
26161,,,28,-42.3899,26.6532,,,,,,,,,,
26500,,,,,,4.6125,0.9558,1.3065,-234.2779,23.8604,6.7458,-1.3019,296.5723,1672.6907,17.9568
27000,,,,,,4.5778,0.9456,1.2856,-243.5857,21.2796,6.7469,-1.2943,477.6401,2179.9185,14.3974
27161,,,1000,-856.463,28.7649,,,,,,,,,,
27276,,,115,-106.4512,26.705,,,,,,,,,,
27324,,,48,-32.1957,26.5843,,,,,,,,,,
27343,,,19,-23.3621,26.5711,,,,,,,,,,
27361,,,18,-16.8883,26.3191,,,,,,,,,,
27424,,,63,-110.189,26.3119,,,,,,,,,,
27500,,,,,,4.5258,0.9242,1.2549,-240.7704,21.5819,6.6653,-1.2622,393.0985,2399.926,12.5758
27997,,,573,-625.1599,26.5199,,,,,,,,,,
28000,,,,,,4.6256,0.9611,1.278,-265.7263,23.1372,6.9174,-1.2598,605.9308,4594.335,12.1418
28500,,,,,,4.6357,0.9206,1.307,-269.8045,22.8425,7.008,-1.2954,427.8289,3205.0732,12.5478
28997,,,1000,-878.396,26.509,,,,,,,,,,
29000,,,,,,4.6386,0.9582,1.2965,-279.7592,20.2073,6.9544,-1.2769,456.1085,2493.3625,23.2953
29028,,,31,-30.8272,26.5008,,,,,,,,,,
29116,,,88,-69.5419,26.4315,,,,,,,,,,
29129,,,13,-27.3136,25.271,,,,,,,,,,
29174,,,45,-6.1251,25.9706,,,,,,,,,,
29213,,,39,-49.055,25.98,,,,,,,,,,
29259,,,46,-65.9153,24.9731,,,,,,,,,,
29397,,,138,-196.9203,26.3421,,,,,,,,,,
29500,,,,,,4.6621,0.994,1.3281,-310.4377,27.6162,6.7342,-1.2891,541.2119,3133.7141,15.7864
30000,,,,,,4.6075,0.9787,1.2645,-306.4426,24.1314,6.7662,-1.3176,418.5021,1797.2175,11.5164
30000,230.6137,609.6,,,,,,,,,,,,,
30397,,,1000,-887.6357,24.759,,,,,,,,,,
30421,,,24,-23.5259,26.5847,,,,,,,,,,
30494,,,73,-26.7506,26.2931,,,,,,,,,,
30500,,,,,,4.6244,1.0014,1.2898,-307.7936,25.3456,6.6804,-1.2826,1209.3494,3948.7024,19.4094
30625,,,131,-166.8756,26.4934,,,,,,,,,,
30683,,,58,-18.3621,26.1024,,,,,,,,,,
30726,,,43,-40.7315,26.3227,,,,,,,,,,
30770,,,44,-70.7623,26.6076,,,,,,,,,,
30810,,,40,-48.9798,26.6405,,,,,,,,,,
30964,,,154,-179.999,29.0927,,,,,,,,,,
31000,,,,,,4.6814,0.9403,1.3263,-333.7,25.9697,6.9969,-1.3209,481.9918,2514.9277,15.271
31030,,,66,-54.6103,30.1122,,,,,,,,,,
31062,,,32,-0.5779,31.0429,,,,,,,,,,
31114,,,52,-85.629,31.0072,,,,,,,,,,
31271,,,157,-160.2615,27.1901,,,,,,,,,,
31383,,,112,-126.0372,26.719,,,,,,,,,,
31405,,,22,-16.6645,26.7245,,,,,,,,,,
31438,,,33,-83.073,29.3991,,,,,,,,,,
31500,,,,,,4.6985,1.0144,1.3307,-367.8959,31.1069,6.8323,-1.3446,522.0287,3174.6658,18.172
32000,,,,,,4.7531,0.996,1.3253,-367.5801,29.3056,7.1565,-1.3451,667.7473,5725.5908,16.2732
32438,,,1000,-845.3819,28.8469,,,,,,,,,,
32462,,,24,-20.0261,26.5582,,,,,,,,,,
32500,,,,,,4.6933,0.9653,1.324,-364.617,30.7023,7.0209,-1.3066,449.9126,2896.3892,19.2806
32533,,,71,-117.6802,26.6662,,,,,,,,,,
32544,,,11,-17.7815,26.5857,,,,,,,,,,
32581,,,37,-62.7256,26.5971,,,,,,,,,,
32593,,,12,-13.0,26.5356,,,,,,,,,,
32695,,,102,-69.5083,25.9364,,,,,,,,,,
32763,,,68,-90.1336,26.3572,,,,,,,,,,
32775,,,12,-4.0929,26.1798,,,,,,,,,,
32899,,,124,-173.2168,25.8035,,,,,,,,,,
33000,,,,,,4.6497,0.9311,1.2851,-374.6465,25.4156,7.1195,-1.3056,840.734,5820.2803,23.4878
33002,,,103,-127.5356,26.438,,,,,,,,,,
33198,,,196,-158.2052,28.634,,,,,,,,,,
33415,,,217,-239.8999,27.3506,,,,,,,,,,
33471,,,56,-48.4135,26.0981,,,,,,,,,,
33500,,,,,,4.7097,0.9905,1.3286,-404.1721,33.5282,6.9927,-1.3314,560.3301,4716.8467,21.4293
33564,,,93,-137.7684,26.2214,,,,,,,,,,
33608,,,44,-76.8041,25.8023,,,,,,,,,,
33726,,,118,-95.3054,26.4413,,,,,,,,,,
33758,,,32,-28.2213,29.5879,,,,,,,,,,
33793,,,35,-74.2803,31.1386,,,,,,,,,,
33859,,,66,-73.2332,30.7034,,,,,,,,,,
34000,,,,,,4.5531,0.9786,1.2668,-406.5793,29.4983,6.3602,-1.2861,562.197,4768.7944,20.7551
34500,,,,,,4.5428,0.9733,1.2173,-425.3353,32.2172,6.6455,-1.2453,800.2592,5373.7266,21.8974
34859,,,1000,-888.2206,27.8681,,,,,,,,,,
34902,,,43,-42.344,26.2701,,,,,,,,,,
35000,,,,,,4.5589,0.9576,1.2532,-427.1372,30.5035,6.5503,-1.2271,860.667,5937.0044,20.7968
35000,-40.7579,659.0,,,,,,,,,,,,,
35036,,,134,-123.2053,17.2407,,,,,,,,,,
35500,,,,,,4.5565,0.9631,1.2133,-417.095,27.7076,6.7513,-1.2403,771.1943,5395.813,16.5242
