env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
48000,,,,,,50,23,4,166.0767,42.788,152.5027,27.0623,-19.7939,1.5052,19.795,0.632
48500,,,,,,50,25,4,170.1244,71.1198,1079.0133,54.3283,-57.6023,0.9289,14.8762,0.5556
49000,,,,,,50,25,3,166.6501,38.1498,12.1796,21.8725,-0.86,1.4675,19.3473,0.7066
49486,,,1600,-84.4302,15.207,,,,,,,,,,,
49500,,,,,,50,50,9,67.1535,15.8535,7.4313,1.0773,-0.4137,2.0108,14.8024,0.5111
50000,,,,,,50,41,5,116.9021,34.3942,10.8826,19.6937,-2.7839,2.7503,51.6265,0.8932
50000,-77.8184,1600.0,,,,,,,,,,,,,,
50500,,,,,,50,26,4,159.1602,61.1173,18.9971,47.6568,-0.4758,5.2612,51.9513,0.4508
51000,,,,,,50,50,9,59.2197,13.9979,3.2208,0.2423,1.8216,2.1217,34.6067,0.3045
51086,,,1600,-76.4795,14.4155,,,,,,,,,,,
51500,,,,,,50,32,4,136.1035,18.7208,11.4532,3.6689,-0.6795,1.2447,31.6776,0.7956
52000,,,,,,50,26,4,157.937,18.7141,9.3267,4.1976,-0.8389,1.5342,14.0085,0.2733
52500,,,,,,50,50,6,99.9214,14.6019,15.4725,1.4561,-0.7459,1.9017,44.6105,0.4512
52686,,,1600,-98.7637,15.4187,,,,,,,,,,,
52800,,,114,-129.3031,15.2761,,,,,,,,,,,
53000,,,,,,50,21,3,209.465,21.2253,10.8708,7.6078,-2.6568,1.5515,11.805,0.3959
53500,,,,,,50,23,4,180.3467,62.5357,27.1006,49.8807,-3.2028,1.3463,19.7626,0.8435
54000,,,,,,50,50,10,52.6406,12.2707,1.9547,0.1895,1.74,0.9576,12.2804,0.4187
54400,,,1600,-89.0471,15.2704,,,,,,,,,,,
54500,,,,,,50,30,4,145.5735,39.8659,9.8693,25.961,-0.389,2.6486,24.01,0.4003
55000,,,,,,50,29,4,150.9295,36.5203,17.1066,24.6047,0.7024,2.3977,25.1654,0.4143
55000,-125.6999,832.8,,,,,,,,,,,,,,
55405,,,1005,-155.4204,14.5843,,,,,,,,,,,
55500,,,,,,50,20,4,245.4084,46.4752,13.0138,33.4847,-3.2859,1.6163,63.833,0.4985
56000,,,,,,50,50,6,93.1323,37.2465,23.7384,25.2173,-0.5105,1.7876,19.6114,0.5577
56472,,,1067,-184.9917,15.9357,,,,,,,,,,,
56500,,,,,,50,38,4,126.1135,34.9317,37.2019,22.7591,-1.2031,3.0681,29.0121,0.4282
56551,,,79,-112.7271,15.2744,,,,,,,,,,,
56629,,,78,-125.7918,15.5489,,,,,,,,,,,
57000,,,,,,50,50,8,76.1368,12.5324,11.0291,1.1532,1.3759,0.9297,11.3946,0.2147
57464,,,835,-148.6743,15.6078,,,,,,,,,,,
57500,,,,,,50,22,4,201.9618,18.1537,12.231,7.0318,-1.402,3.7284,66.3857,0.4608
57749,,,285,-123.6647,15.18,,,,,,,,,,,
57821,,,72,-110.9386,15.9178,,,,,,,,,,,
58000,,,,,,50,50,9,64.6374,12.7608,7.0558,1.0274,-0.261,1.1775,24.7042,0.4492
58036,,,215,-124.071,15.4215,,,,,,,,,,,
58137,,,101,-120.7878,15.2907,,,,,,,,,,,
58333,,,196,-103.4237,15.7972,,,,,,,,,,,
58500,,,,,,50,23,4,204.844,56.1602,19.6501,43.2357,-1.0883,1.8624,17.1743,0.4679
58567,,,234,-141.0339,15.2213,,,,,,,,,,,
59000,,,,,,50,25,5,188.4048,39.9661,17.8769,27.9621,-1.1456,1.698,21.338,0.475
59500,,,,,,50,46,7,110.0608,11.8034,13.1013,2.0873,-0.8479,4.976,55.4361,0.4382
59937,,,1370,-198.8676,15.3933,,,,,,,,,,,
60000,,,,,,50,21,4,245.6059,103.636,30.8354,93.0115,-1.4236,2.2585,16.0057,0.7699
60000,-127.3799,137.3,,,,,,,,,,,,,,
60055,,,118,-127.3984,14.5967,,,,,,,,,,,
60198,,,143,-126.4406,15.9567,,,,,,,,,,,
60261,,,63,-116.5479,16.2273,,,,,,,,,,,
60414,,,153,-114.7313,15.912,,,,,,,,,,,
60500,,,,,,50,21,4,246.1267,92.6527,29.8907,80.3431,-0.6844,5.6523,35.6735,0.7448
60523,,,109,-98.319,15.9097,,,,,,,,,,,
60614,,,91,-97.7473,15.2733,,,,,,,,,,,
60672,,,58,-106.8054,15.1435,,,,,,,,,,,
