env_steps,return,length,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
55000,,,,,,,,,,,,,,,1000,4022.8433,15.8479
55500,,,50,47,18,119.5433,488.0589,-44.1823,-44.1823,153.8428,20446.377,3.7925,401.0415,6.2378,,,
56000,,,50,47,17,114.7384,496.4615,-44.1823,-44.1823,160.7281,28327.0625,3.7371,246.6123,4.0868,,,
56000,,,,,,,,,,,,,,,1000,3975.9977,21.2162
56500,,,50,48,18,107.2462,435.683,-44.1823,-44.1823,96.8145,17273.1074,3.368,141.0843,7.2119,,,
57000,,,50,47,18,121.3047,498.5455,-44.1823,-44.1823,155.4661,24695.8691,3.3755,383.0582,4.4741,,,
57000,,,,,,,,,,,,,,,1000,4323.5551,20.8637
57500,,,50,49,18,108.934,470.7697,-44.1823,-44.1823,132.1988,13017.8047,3.641,132.6337,5.7073,,,
58000,,,50,48,18,105.9411,460.7852,-44.1823,-44.1823,114.3937,17728.8418,3.4555,177.5938,5.0757,,,
58000,,,,,,,,,,,,,,,1000,4495.189,21.2293
58500,,,50,47,17,116.9805,497.2799,-44.1823,-44.1823,145.0621,20993.0879,3.4791,175.0298,4.2321,,,
59000,,,50,47,18,113.9725,470.5641,-44.1823,-44.1823,119.7915,16395.0566,3.8953,205.3083,4.1379,,,
59000,,,,,,,,,,,,,,,1000,4557.8768,20.7036
59500,,,50,48,18,111.8738,459.9254,-44.1823,-44.1823,106.5368,16284.4004,3.3476,127.9391,5.9044,,,
60000,,,50,47,17,120.8146,521.1725,-44.1823,-44.1823,162.2712,21769.8438,8.2836,184.7307,4.8576,,,
60000,6119.0778,1000.0,,,,,,,,,,,,,,,
60000,,,,,,,,,,,,,,,1000,4554.9969,16.025
60500,,,50,47,18,113.8414,439.1793,-44.1823,-44.1823,81.8617,11275.1973,3.0965,88.2,5.0892,,,
61000,,,50,47,18,115.9982,488.9546,-44.1823,-44.1823,129.0618,24933.8008,3.4927,209.2502,3.8281,,,
61000,,,,,,,,,,,,,,,1000,4688.0989,21.8883
61500,,,50,48,18,116.3484,467.6606,-44.1823,-44.1823,105.5112,15406.8916,3.5583,209.9063,9.6102,,,
62000,,,50,47,17,116.8252,542.079,-44.1823,-44.1823,177.4364,36471.7188,4.1819,169.0795,4.1543,,,
62000,,,,,,,,,,,,,,,1000,4763.3586,20.9744
62500,,,50,45,17,115.5407,509.855,-44.1823,-44.1823,135.218,21734.7949,3.1666,154.4443,3.3926,,,
63000,,,50,47,17,116.7638,420.1394,-44.1823,-44.1823,45.8545,24896.8281,4.1047,415.1071,5.7993,,,
63000,,,,,,,,,,,,,,,1000,4709.0025,21.217
63500,,,50,46,17,115.1768,478.5027,-44.1823,-44.1823,104.6864,21638.2441,3.6799,178.215,7.6553,,,
64000,,,50,46,18,118.6782,515.5417,-44.1823,-44.1823,142.2563,15964.4922,5.1924,162.349,7.128,,,
64000,,,,,,,,,,,,,,,1000,4667.2819,20.8041
64500,,,50,48,18,109.9143,479.7471,-44.1823,-44.1823,103.8173,21842.8965,3.6227,390.5257,3.6748,,,
65000,,,50,47,18,117.6504,482.05,-44.1823,-44.1823,101.6651,27973.8809,4.2666,362.5904,5.078,,,
65000,6279.8748,1000.0,,,,,,,,,,,,,,,
65000,,,,,,,,,,,,,,,1000,4768.0374,15.9175
65500,,,50,47,17,119.4843,454.1826,-44.1823,-44.1823,69.041,13366.832,3.7369,257.8169,9.502,,,
66000,,,50,46,16,124.418,514.3979,-44.1823,-44.1823,126.1697,29582.2598,3.5372,238.5101,4.653,,,
66000,,,,,,,,,,,,,,,1000,5106.3722,21.2695
66500,,,50,47,18,117.1363,477.754,-44.1823,-44.1823,91.82,17526.3242,4.2553,285.6254,4.2439,,,
67000,,,50,47,17,112.8488,576.2034,-44.1823,-44.1823,184.5621,18528.9316,3.9578,188.627,4.7292,,,
67000,,,,,,,,,,,,,,,1000,4830.6053,20.63
67500,,,50,48,18,117.9695,437.3746,-44.1823,-44.1823,45.3613,14076.8418,3.6899,289.3883,4.3544,,,
68000,,,50,48,17,116.9415,481.338,-44.1823,-44.1823,89.4879,16191.3008,3.9907,126.5233,6.9088,,,
68000,,,,,,,,,,,,,,,1000,4963.136,21.0896
68500,,,50,47,17,112.6006,477.9688,-44.1823,-44.1823,81.2952,29325.793,3.7958,249.9429,4.2575,,,
69000,,,50,48,17,114.7371,527.3226,-44.1823,-44.1823,129.959,31614.1836,4.0788,368.0435,6.615,,,
69000,,,,,,,,,,,,,,,1000,5055.1835,20.9887
69500,,,50,48,17,117.5973,408.0022,-44.1823,-44.1823,6.0004,8805.9248,4.5719,299.5454,3.4776,,,
70000,,,50,46,17,114.8792,477.9691,-44.1823,-44.1823,79.1131,22892.9531,3.758,171.42,5.3951,,,
70000,6034.5974,1000.0,,,,,,,,,,,,,,,
70000,,,,,,,,,,,,,,,1000,5400.1525,15.6285
70500,,,50,47,17,118.4352,484.4957,-44.1823,-44.1823,78.0867,14077.3564,4.7503,185.4508,5.0596,,,
71000,,,50,47,18,115.5957,474.0139,-44.1823,-44.1823,67.0787,21739.8184,3.519,278.243,4.844,,,
71000,,,,,,,,,,,,,,,1000,5101.0289,22.42
71500,,,50,47,18,114.8572,511.574,-44.1823,-44.1823,100.0196,21600.8223,4.592,366.188,6.5463,,,
72000,,,50,48,18,113.0728,466.6768,-44.1823,-44.1823,55.6203,21856.0586,3.9433,151.9293,4.4025,,,
72000,,,,,,,,,,,,,,,1000,5096.1063,20.3409
72500,,,50,47,18,107.4108,461.49,-44.1823,-44.1823,49.6216,16603.7695,4.773,170.7308,7.4921,,,
73000,,,50,47,18,107.5697,460.0013,-44.1823,-44.1823,46.1508,14702.5039,4.0294,150.3667,5.718,,,
73000,,,,,,,,,,,,,,,1000,5383.8255,21.2447
73500,,,50,47,17,119.5379,512.4548,-44.1823,-44.1823,88.8901,13476.3535,5.7227,348.2179,5.3006,,,
74000,,,50,48,18,113.6695,433.6481,-44.1823,-44.1823,9.7198,9598.2676,3.7995,270.8411,11.1053,,,
74000,,,,,,,,,,,,,,,1000,5538.1238,20.4375
74500,,,50,46,16,117.9783,443.1298,-44.1823,-44.1823,15.1618,16431.0469,3.6624,284.2763,4.74,,,
75000,,,50,48,18,115.5853,459.9471,-44.1823,-44.1823,31.3438,23846.9727,4.7712,353.1662,4.3999,,,
75000,6537.8858,1000.0,,,,,,,,,,,,,,,
75000,,,,,,,,,,,,,,,1000,5599.4493,15.8007
75500,,,50,48,18,111.9175,458.1906,-44.1823,-44.1823,35.3487,20583.7988,4.1279,183.1049,5.1827,,,
76000,,,50,48,18,106.1089,564.618,-44.1823,-44.1823,131.1334,39788.0859,5.9665,131.7601,5.6052,,,
76000,,,,,,,,,,,,,,,1000,5475.3725,21.6287
76500,,,50,46,17,128.6256,426.984,-44.1823,-44.1823,-9.6424,11404.2324,4.8388,366.0027,5.9836,,,
77000,,,50,48,18,122.9227,512.1615,-44.1823,-44.1823,80.0748,26917.1016,5.9221,473.4143,6.0356,,,
77000,,,,,,,,,,,,,,,1000,5664.3892,21.4742
77500,,,50,47,17,123.874,481.9155,-44.1823,-44.1823,43.1965,24962.6992,3.9408,334.9919,6.7169,,,
78000,,,50,49,18,110.8006,454.5441,-44.1823,-44.1823,18.4993,20720.084,4.087,155.5947,5.6403,,,
78000,,,,,,,,,,,,,,,1000,5691.923,22.6242
78500,,,50,49,18,106.0245,563.0132,-44.1823,-44.1823,120.9691,27642.4648,4.2612,311.0478,3.9969,,,
79000,,,50,49,18,116.0925,453.5558,-44.1823,-44.1823,11.657,26706.5566,5.0927,469.5604,3.7754,,,
79000,,,,,,,,,,,,,,,1000,6062.2393,21.9386
79500,,,50,48,17,113.0904,531.1819,-44.1823,-44.1823,80.9037,30569.9277,4.2232,284.6575,7.4536,,,
80000,,,50,49,18,111.3087,416.115,-44.1823,-44.1823,-36.0644,10317.7422,4.9135,239.8015,6.9601,,,
80000,6889.7003,1000.0,,,,,,,,,,,,,,,
80000,,,,,,,,,,,,,,,1000,5976.9623,16.3378
80500,,,50,48,18,112.841,459.151,-44.1823,-44.1823,6.0737,17941.5156,4.7056,207.1604,3.9755,,,
81000,,,50,48,17,119.5886,496.7516,-44.1823,-44.1823,39.4541,24376.543,4.9602,359.8209,3.588,,,
81000,,,,,,,,,,,,,,,1000,5895.2993,21.3695
81500,,,50,49,18,117.238,484.6451,-44.1823,-44.1823,26.1303,21646.25,6.2491,133.2617,6.7587,,,
82000,,,50,48,18,109.4126,505.8373,-44.1823,-44.1823,46.1732,21718.6484,4.5314,202.7321,4.772,,,
82000,,,,,,,,,,,,,,,1000,6252.8608,20.9991
82500,,,50,47,17,123.3298,441.4277,-44.1823,-44.1823,-26.5664,26030.8457,4.9315,352.5392,5.6191,,,
83000,,,50,48,17,112.4783,498.8309,-44.1823,-44.1823,43.1451,24957.4824,5.1739,196.8809,4.5053,,,
83000,,,,,,,,,,,,,,,1000,6305.3409,21.5776
83500,,,50,49,17,127.7073,455.4328,-44.1823,-44.1823,-10.8201,15502.6924,5.0352,263.4909,5.6245,,,
84000,,,50,49,17,108.2304,548.1476,-44.1823,-44.1823,82.4422,14411.8438,5.4591,442.0099,5.578,,,
84000,,,,,,,,,,,,,,,1000,6398.918,20.9942
84500,,,50,49,17,109.3417,422.3811,-44.1823,-44.1823,-45.7057,18636.4863,4.6954,328.4987,7.1209,,,
85000,,,50,49,18,103.1589,478.4011,-44.1823,-44.1823,11.8698,18162.4453,4.5674,254.4609,7.4572,,,
85000,7467.7056,1000.0,,,,,,,,,,,,,,,
85000,,,,,,,,,,,,,,,1000,6450.3774,16.528
85500,,,50,48,17,104.6641,495.5145,-44.1823,-44.1823,21.4609,17399.2695,4.3856,159.9137,5.0213,,,
