env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
28257,,,12,-7.5391,72.8855,,,,,,,,,,,,
28326,,,69,-50.4003,74.3116,,,,,,,,,,,,
28344,,,18,-8.2635,73.1573,,,,,,,,,,,,
28500,,,,,,50,50,45,10.9233,0.5025,30.5859,30.6721,-51.1723,8.1283,1.5927,14.0957,0.3658
29000,,,,,,50,50,45,11.2969,0.5314,29.7713,29.4222,-51.8697,7.1281,6.0941,8.4525,0.2681
29344,,,1000,-662.7154,71.6734,,,,,,,,,,,,
29361,,,17,-11.2385,70.7975,,,,,,,,,,,,
29500,,,,,,50,50,44,11.6017,0.8777,29.5872,30.059,-51.3889,14.2022,3.213,7.9517,0.4141
29548,,,187,-135.4533,74.1203,,,,,,,,,,,,
29762,,,214,-184.8298,71.3099,,,,,,,,,,,,
29787,,,25,-7.8713,69.4172,,,,,,,,,,,,
29890,,,103,-32.454,71.1349,,,,,,,,,,,,
30000,,,,,,50,50,47,10.685,0.727,31.9594,31.3669,-52.1753,12.4113,3.9878,4.8333,0.2375
30000,975.8728,1000.0,,,,,,,,,,,,,,,
30011,,,121,-78.9997,16.9303,,,,,,,,,,,,
30056,,,45,-32.7169,69.529,,,,,,,,,,,,
30157,,,101,-80.9699,71.3895,,,,,,,,,,,,
30441,,,284,-239.6058,74.6153,,,,,,,,,,,,
30500,,,,,,50,50,45,10.8798,0.6046,30.9747,31.5403,-52.4968,7.8832,2.4999,14.1656,0.388
30586,,,145,-45.6388,73.5678,,,,,,,,,,,,
31000,,,,,,50,50,41,11.9487,0.4704,30.9478,30.8004,-52.4338,9.1253,9.4027,6.61,0.2357
31500,,,,,,50,50,42,11.6427,0.5773,31.2562,30.9927,-52.5829,10.1952,12.617,11.0338,0.3124
31586,,,1000,-520.6015,71.2402,,,,,,,,,,,,
31675,,,89,-34.9849,74.6165,,,,,,,,,,,,
31802,,,127,8.6162,74.3965,,,,,,,,,,,,
31888,,,86,-9.662,73.9643,,,,,,,,,,,,
32000,,,,,,50,50,37,12.4245,0.6518,30.6194,30.9592,-52.6567,9.14,11.248,19.6451,0.2076
32500,,,,,,50,50,42,11.6992,0.6931,31.703,32.1147,-52.4922,9.7582,8.3218,9.3136,0.2226
32888,,,1000,-531.2061,72.0087,,,,,,,,,,,,
32918,,,30,8.545,70.6796,,,,,,,,,,,,
32942,,,24,-12.7927,70.4904,,,,,,,,,,,,
32968,,,26,-20.9898,70.7474,,,,,,,,,,,,
33000,,,,,,50,50,41,13.4288,0.4832,31.5081,31.5674,-53.2885,8.1421,5.3035,24.1355,0.263
33178,,,210,-98.2815,71.5207,,,,,,,,,,,,
33208,,,30,-31.4199,69.8609,,,,,,,,,,,,
33286,,,78,-44.8603,69.958,,,,,,,,,,,,
33438,,,152,-54.8127,71.2834,,,,,,,,,,,,
33500,,,,,,50,50,39,12.453,0.5928,30.8999,30.5548,-52.9807,12.2001,1.7668,7.2646,0.3205
33545,,,107,-88.6985,70.8859,,,,,,,,,,,,
33779,,,234,-108.1536,71.0135,,,,,,,,,,,,
33807,,,28,-21.662,70.0988,,,,,,,,,,,,
33840,,,33,-11.2332,68.9174,,,,,,,,,,,,
33855,,,15,-9.3021,58.2988,,,,,,,,,,,,
33865,,,10,-0.7065,68.0159,,,,,,,,,,,,
33892,,,27,-14.7799,70.1685,,,,,,,,,,,,
33927,,,35,-16.8194,70.6142,,,,,,,,,,,,
34000,,,,,,50,50,32,13.3824,0.6479,32.3939,32.2672,-52.9426,14.055,6.0867,11.4035,0.4384
34500,,,,,,50,50,37,12.5485,0.675,31.5808,31.9608,-53.3962,7.8671,11.1417,14.6786,0.2835
34927,,,1000,-433.9605,71.0028,,,,,,,,,,,,
34953,,,26,-11.4263,72.6619,,,,,,,,,,,,
35000,,,,,,50,50,36,12.6681,0.512,31.6207,31.608,-53.2772,9.7921,9.4086,7.7714,0.3191
35000,981.6619,1000.0,,,,,,,,,,,,,,,
35005,,,52,-32.7501,8.3299,,,,,,,,,,,,
35022,,,17,-7.7991,66.4111,,,,,,,,,,,,
35064,,,42,10.4127,69.7871,,,,,,,,,,,,
35089,,,25,-19.5365,67.8287,,,,,,,,,,,,
35111,,,22,3.613,71.3457,,,,,,,,,,,,
35224,,,113,-82.9414,71.1063,,,,,,,,,,,,
35294,,,70,-23.4444,70.3184,,,,,,,,,,,,
35430,,,136,-15.7238,70.3169,,,,,,,,,,,,
35500,,,,,,50,50,39,12.4017,0.6132,32.3114,32.3064,-53.2035,10.6212,2.1803,15.7487,0.2882
35517,,,87,-50.3449,69.5192,,,,,,,,,,,,
35771,,,254,-70.0334,70.5943,,,,,,,,,,,,
