env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
34500,,,,,,0.1104,-4846.4663,203.7914,0.1104,39465.8672,530964.6875,182.5388
35000,,,,,,0.1094,-4916.4351,184.6227,0.1094,59457.5625,974984.5625,215.0864
35000,41.9691,1000.0,,,,,,,,,,
35150,,,1000,-658.7809,72.0571,,,,,,,
35176,,,26,-40.208,93.6,,,,,,,
35217,,,41,-67.7941,93.9873,,,,,,,
35500,,,,,,0.1027,-4788.9873,196.8712,0.1027,45687.4688,728207.0,184.826
36000,,,,,,0.0993,-4918.7124,257.3368,0.0993,52568.5078,553722.0625,102.8105
36217,,,1000,-712.6938,94.1693,,,,,,,
36232,,,15,-20.2463,93.9112,,,,,,,
36461,,,229,-316.2754,93.8869,,,,,,,
36500,,,,,,0.1057,-4973.0435,206.9429,0.1057,81099.8672,862409.0,238.5286
37000,,,,,,0.098,-5171.7515,184.4196,0.098,54281.8047,765435.0,249.0386
37461,,,1000,-723.1028,96.8917,,,,,,,
37500,,,,,,0.1009,-5239.083,142.2327,0.1009,53083.9062,745047.5,214.1496
37533,,,72,-68.2449,99.7909,,,,,,,
37586,,,53,-36.4669,96.022,,,,,,,
37625,,,39,1.9507,93.973,,,,,,,
37706,,,81,-102.775,93.6471,,,,,,,
37722,,,16,-25.0411,94.1183,,,,,,,
37767,,,45,-16.8505,94.0322,,,,,,,
38000,,,,,,0.0967,-5071.9375,173.9325,0.0967,49243.1719,601583.3125,230.6236
38500,,,,,,0.1072,-5569.4014,213.8163,0.1072,79120.4297,1519079.75,211.5272
38767,,,1000,-823.0347,94.1625,,,,,,,
38811,,,44,-26.975,93.7486,,,,,,,
38861,,,50,-59.9794,93.7746,,,,,,,
39000,,,,,,0.1009,-5300.2056,196.2616,0.1009,45437.2695,704043.75,207.7851
39500,,,,,,0.0976,-5198.3936,208.7834,0.0976,90181.7891,887052.5,163.7547
39861,,,1000,-741.1966,93.681,,,,,,,
39929,,,68,-82.4373,93.688,,,,,,,
39960,,,31,-38.7204,93.7649,,,,,,,
40000,,,,,,0.1005,-5428.7803,207.4592,0.1005,36782.3438,526579.5625,178.6823
40000,129.4313,901.5,,,,,,,,,,
40500,,,,,,0.1035,-5173.627,267.2083,0.1035,47216.5664,624785.6875,224.0123
40960,,,1000,-707.2577,74.3074,,,,,,,
41000,,,,,,0.0998,-5410.4238,173.055,0.0998,68453.6719,1026429.3125,166.2697
41084,,,124,-159.5392,93.8779,,,,,,,
41154,,,70,-82.816,94.3367,,,,,,,
41173,,,19,-7.5844,94.2113,,,,,,,
41238,,,65,-34.1832,94.0352,,,,,,,
41500,,,,,,0.1067,-5434.9531,190.1081,0.1067,90393.4688,833803.5625,161.1943
42000,,,,,,0.0978,-5303.6621,232.9008,0.0978,49344.7656,655148.5625,203.9967
42238,,,1000,-638.8738,93.6327,,,,,,,
42500,,,,,,0.1032,-5436.1108,182.5581,0.1032,49283.418,740635.375,117.5013
43000,,,,,,0.1004,-5468.6104,187.5826,0.1004,33199.3984,594837.125,148.3279
43238,,,1000,-782.4271,93.2863,,,,,,,
43500,,,,,,0.1018,-5406.9355,190.9775,0.1018,28128.0664,439817.4688,177.4871
44000,,,,,,0.0993,-5193.019,207.3674,0.0993,33936.875,563759.75,141.1482
44238,,,1000,-750.9844,93.6547,,,,,,,
44303,,,65,-64.2723,93.8712,,,,,,,
44500,,,,,,0.1048,-5293.999,199.2169,0.1048,42527.875,648750.6875,167.7002
45000,,,,,,0.1079,-5399.3901,194.4254,0.1079,39024.6484,761155.5625,163.3075
45000,-39.97,531.7,,,,,,,,,,
45303,,,1000,-710.8704,80.6215,,,,,,,
45500,,,,,,0.1069,-5236.0347,176.6472,0.1069,28169.2148,819018.125,146.9748
46000,,,,,,0.1021,-5123.8389,151.7249,0.1021,35304.3594,732313.6875,166.06
46121,,,818,-752.7343,93.6303,,,,,,,
46180,,,59,-38.2904,93.6737,,,,,,,
46305,,,125,-76.9508,93.6846,,,,,,,
46367,,,62,-82.4787,93.8562,,,,,,,
46494,,,127,-93.1761,93.6882,,,,,,,
46500,,,,,,0.1108,-5270.3208,209.0111,0.1108,61131.3438,1136943.25,121.3744
46699,,,205,-92.5594,98.6553,,,,,,,
46774,,,75,-7.8246,95.1723,,,,,,,
46929,,,155,-140.6062,97.5134,,,,,,,
46992,,,63,-116.549,94.6307,,,,,,,
47000,,,,,,0.1185,-5667.9609,151.2252,0.1185,36788.7188,445671.875,113.8263
47055,,,63,-25.5423,93.8828,,,,,,,
47500,,,,,,0.1184,-5644.2725,166.2819,0.1184,43652.0312,662117.125,143.8048
48000,,,,,,0.1148,-5474.4028,156.4809,0.1148,42325.8438,596143.875,131.0661
48055,,,1000,-672.0437,94.5384,,,,,,,
48097,,,42,-63.9789,92.8925,,,,,,,
48500,,,,,,0.1158,-5479.5474,148.2984,0.1158,47035.1641,426093.2812,95.3229
49000,,,,,,0.1131,-5443.6025,185.6202,0.1131,38863.6328,496699.9688,183.5702
49097,,,1000,-792.3396,93.5251,,,,,,,
49120,,,23,-1.5846,94.181,,,,,,,
49500,,,,,,0.1103,-5494.4951,176.8144,0.1103,42140.1406,544295.1875,106.6068
50000,,,,,,0.107,-5444.3765,178.452,0.107,27247.418,484684.1875,119.114
50000,-175.9106,564.1,,,,,,,,,,
50120,,,1000,-961.6962,80.4645,,,,,,,
50218,,,98,-63.8817,93.6004,,,,,,,
50329,,,111,-72.3282,93.5022,,,,,,,
50475,,,146,-136.1301,93.5555,,,,,,,
50500,,,,,,0.1028,-5163.3804,147.4646,0.1028,136694.6719,1752621.5,140.7782
50512,,,37,-40.0393,93.307,,,,,,,
50686,,,174,-137.5313,93.8645,,,,,,,
50806,,,120,-142.2902,94.0165,,,,,,,
51000,,,,,,0.1166,-5473.5913,139.36,0.1166,24292.1348,372480.4062,95.9556
51500,,,,,,0.1073,-5197.3271,145.1038,0.1073,19455.2617,341519.4688,94.1855
51806,,,1000,-881.4816,93.6177,,,,,,,
51998,,,192,-149.4181,94.499,,,,,,,
52000,,,,,,0.1102,-5356.0371,183.8078,0.1102,29584.3281,501370.8125,150.3985
52500,,,,,,0.112,-5502.396,141.6161,0.112,18125.3418,420006.8125,107.7288
52998,,,1000,-695.5203,94.8053,,,,,,,
53000,,,,,,0.1189,-5296.0605,156.2449,0.1189,31316.2148,618949.3125,101.5583
53377,,,379,-260.8835,93.6223,,,,,,,
53500,,,,,,0.1101,-5217.5449,174.9702,0.1101,18173.8906,483876.9062,97.5857
53610,,,233,-181.3507,93.8304,,,,,,,
53766,,,156,-174.0947,93.5842,,,,,,,
54000,,,,,,0.1079,-5181.0293,172.2152,0.1079,32571.0352,567407.5625,98.0775
54234,,,468,-244.4532,93.8394,,,,,,,
54295,,,61,-62.7113,93.7705,,,,,,,
54472,,,177,-131.9059,93.8273,,,,,,,
54500,,,,,,0.1051,-5114.9087,114.5662,0.1051,36465.625,517010.3438,84.4744
