env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
35500,,,1.154,6.0681,0.4433,359.6025,14.9801,74.3844,-0.4307,232.5084,2913.7664,2.552,,,
35500,,,,,,,,,,,,,500,-2835.6305,37.9953
36000,,,1.1643,5.898,0.4459,362.3827,19.2486,73.5272,-0.4568,157.0632,4108.5791,4.5573,,,
36000,,,,,,,,,,,,,500,-1461.8535,40.0248
36500,,,1.1583,6.1095,0.4451,360.6436,10.5526,83.5749,-0.4264,72.0649,4367.7661,1.7069,,,
36500,,,,,,,,,,,,,500,-4419.9677,38.5828
37000,,,1.1448,6.0531,0.4359,367.8996,17.1417,81.3579,-0.4505,70.315,5076.8223,2.8839,,,
37000,,,,,,,,,,,,,500,-2844.2525,37.0211
37500,,,1.1522,5.7045,0.4335,360.8646,13.5536,70.521,-0.4295,91.3234,4141.5063,5.4457,,,
37500,,,,,,,,,,,,,500,-2208.7408,36.957
38000,,,1.1485,5.7527,0.4405,358.5815,16.7505,67.8071,-0.4426,56.3314,3935.5857,3.0818,,,
38000,,,,,,,,,,,,,500,-1236.9728,39.1188
38500,,,1.1265,5.5083,0.4219,357.1532,19.9011,64.3479,-0.4426,181.0449,6803.8989,4.2136,,,
38500,,,,,,,,,,,,,500,-2427.3185,37.7281
39000,,,1.168,5.8477,0.4559,361.1781,19.0387,72.2484,-0.4283,127.3444,4155.3687,4.2654,,,
39000,,,,,,,,,,,,,500,-2574.1987,37.5953
39500,,,1.118,5.2133,0.4258,358.1432,17.1099,59.6806,-0.4317,54.8554,4445.9028,4.5961,,,
39500,,,,,,,,,,,,,500,-970.7713,38.653
40000,,,1.1816,5.6417,0.454,356.3965,16.8296,66.4381,-0.4376,57.3929,4341.4741,5.7628,,,
40000,-5427.219,500.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,500,-2238.8144,33.0185
40500,,,1.1609,5.6549,0.4354,354.0876,34.4262,72.2885,-0.4229,161.8707,3099.9841,4.4441,,,
40500,,,,,,,,,,,,,500,-3142.4368,38.5514
41000,,,1.1227,5.3349,0.4217,346.7487,31.6747,66.8264,-0.4224,107.3692,4412.1255,3.5566,,,
41000,,,,,,,,,,,,,500,-3068.7103,38.1338
41500,,,1.1232,5.3216,0.4257,345.9858,12.0816,61.2923,-0.4308,66.2818,3328.1565,3.2308,,,
41500,,,,,,,,,,,,,500,-1302.306,36.9628
42000,,,1.1335,5.3825,0.4221,355.2956,21.2274,61.0424,-0.4248,114.4623,6204.3857,5.1135,,,
42000,,,,,,,,,,,,,500,-3445.6101,37.168
42500,,,1.134,5.5927,0.4354,352.3836,14.327,68.0641,-0.4434,164.45,3070.9912,4.3351,,,
42500,,,,,,,,,,,,,500,-3233.0422,38.6236
43000,,,1.1326,5.2931,0.422,345.9667,15.0179,57.5296,-0.4164,93.3191,6089.9243,2.4037,,,
43000,,,,,,,,,,,,,500,-2070.9278,37.4311
43500,,,1.1426,5.4491,0.4318,357.0095,14.6585,65.6773,-0.4181,43.4442,2377.5667,4.1492,,,
43500,,,,,,,,,,,,,500,-4511.3074,37.1225
44000,,,1.1274,5.3486,0.4206,344.632,19.3487,62.9396,-0.4358,50.7174,4795.7563,4.9433,,,
44000,,,,,,,,,,,,,500,-2056.9799,37.7534
44500,,,1.1418,5.4985,0.43,349.3301,14.9988,65.064,-0.4295,61.0081,7339.6108,3.2861,,,
44500,,,,,,,,,,,,,500,-4078.0789,37.002
45000,,,1.1838,5.7471,0.4415,353.4301,18.1396,71.0047,-0.4443,76.169,3985.1218,4.4265,,,
45000,-3953.0858,500.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,500,-5812.1007,33.8269
45500,,,1.14,5.4422,0.4199,342.9949,18.3921,64.1063,-0.42,72.9254,5385.189,2.2279,,,
45500,,,,,,,,,,,,,500,-8507.5289,36.6309
46000,,,1.1622,5.7177,0.4391,350.9885,14.9334,69.4749,-0.4437,100.5955,6122.0874,4.6394,,,
46000,,,,,,,,,,,,,500,-5401.6109,36.7158
