env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
68500,,,0.3403,0.8545,0.1211,-224.7438,3.7756,0.052,-0.2408,3.0842,108.9236,3.5491,,,
69000,,,0.3386,0.8486,0.1127,-221.8443,4.6794,0.0553,-0.2278,3.6278,403.2529,5.2569,,,
69000,,,,,,,,,,,,,1000,3416.6572,79.9748
69500,,,0.3486,0.8571,0.1188,-222.2432,4.3846,0.0568,-0.2435,3.1855,120.969,2.1278,,,
70000,,,0.3414,0.8552,0.1145,-228.4574,5.1617,0.0552,-0.2236,7.0305,267.4182,4.4119,,,
70000,4467.056,1000.0,,,,,,,,,,,,,
70000,,,,,,,,,,,,,1000,3315.8104,65.9783
70500,,,0.3448,0.8539,0.1168,-224.4028,4.5056,0.0562,-0.2282,3.022,154.6123,4.4148,,,
71000,,,0.3364,0.8544,0.112,-231.3376,3.7242,0.0546,-0.2288,4.3705,326.1601,2.7972,,,
71000,,,,,,,,,,,,,1000,3541.6305,77.9501
71500,,,0.3425,0.8536,0.1164,-233.2175,4.2354,0.0548,-0.2345,3.6462,259.1206,4.6907,,,
72000,,,0.3421,0.861,0.1221,-231.9667,4.7321,0.0522,-0.2455,3.5855,244.2945,2.8832,,,
72000,,,,,,,,,,,,,1000,3664.4475,78.3354
72500,,,0.3383,0.8617,0.1126,-234.9559,4.568,0.0548,-0.2285,3.5913,195.8409,3.0493,,,
73000,,,0.3361,0.8725,0.1158,-237.6808,5.261,0.0518,-0.2307,4.3479,237.4068,3.7432,,,
73000,,,,,,,,,,,,,1000,3728.8557,80.5858
73500,,,0.3414,0.8672,0.1176,-242.1097,4.4395,0.054,-0.2382,3.7949,250.6465,3.3342,,,
74000,,,0.3368,0.8685,0.1151,-242.5357,3.9106,0.0532,-0.2356,6.7068,126.1531,3.5311,,,
74000,,,,,,,,,,,,,1000,3833.2086,78.3067
74500,,,0.3361,0.8662,0.1101,-243.8134,4.65,0.0551,-0.2266,3.716,299.6359,2.8963,,,
75000,,,0.3372,0.867,0.1148,-245.8911,4.5681,0.0533,-0.2364,3.3763,319.4523,5.1489,,,
75000,4990.024,1000.0,,,,,,,,,,,,,
75000,,,,,,,,,,,,,1000,3728.5987,65.3189
75500,,,0.3413,0.8665,0.1173,-249.0185,3.7287,0.0545,-0.236,3.6241,151.08,3.5351,,,
76000,,,0.3428,0.8656,0.117,-248.6177,5.2136,0.0551,-0.2301,3.6062,225.6554,5.4497,,,
76000,,,,,,,,,,,,,1000,4005.1637,76.2199
76500,,,0.3351,0.8637,0.113,-252.8449,4.8619,0.0534,-0.2331,3.6115,92.6487,4.6554,,,
77000,,,0.3403,0.8605,0.1114,-257.0669,4.4094,0.0564,-0.2296,5.1133,347.5049,3.3722,,,
77000,,,,,,,,,,,,,1000,4315.4576,78.4951
77500,,,0.3548,0.8687,0.1209,-254.6627,4.8704,0.0581,-0.2329,3.0139,144.8892,4.3711,,,
78000,,,0.35,0.8724,0.1177,-257.0186,4.1772,0.0582,-0.2438,3.9103,121.7561,4.081,,,
78000,,,,,,,,,,,,,1000,4399.8034,77.6455
78500,,,0.351,0.8729,0.1186,-256.6687,4.6694,0.0583,-0.2388,4.7698,329.7157,3.9628,,,
79000,,,0.3461,0.88,0.1186,-263.227,4.8217,0.0556,-0.235,3.8814,175.4592,4.2094,,,
79000,,,,,,,,,,,,,1000,4520.7427,77.4238
79500,,,0.349,0.8862,0.1182,-268.2609,4.9046,0.057,-0.234,3.9766,346.0514,2.422,,,
80000,,,0.3463,0.8823,0.1199,-267.4447,6.4243,0.055,-0.2293,4.1568,240.8745,7.4647,,,
80000,5652.2212,1000.0,,,,,,,,,,,,,
80000,,,,,,,,,,,,,1000,4734.245,65.3999
80500,,,0.3581,0.8805,0.1172,-269.577,4.6393,0.0622,-0.224,3.7727,292.0369,2.1147,,,
81000,,,0.3446,0.8691,0.1142,-275.3979,5.7854,0.0568,-0.2274,4.1299,127.8286,4.9724,,,
81000,,,,,,,,,,,,,1000,4369.0657,76.3378
81500,,,0.3431,0.8842,0.1156,-275.3643,4.3658,0.0558,-0.2323,4.2392,302.9817,5.3681,,,
82000,,,0.3519,0.893,0.1167,-281.5672,5.1302,0.0593,-0.2352,5.0838,389.3106,4.3772,,,
82000,,,,,,,,,,,,,1000,4812.5024,78.2904
