env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
36000,,,50,50,13,39.3631,-101.0053,2.1667,0.7409,-4.0752,3.4348,50.294,1.3416,,,
36000,,,,,,,,,,,,,,1000,567.8436,32.2195
36500,,,50,50,13,36.8389,-102.2533,2.9315,0.7258,-4.7039,3.3759,44.929,2.448,,,
37000,,,50,50,12,39.1261,-109.6822,2.8074,0.7391,-3.9282,5.4883,177.3974,1.908,,,
37000,,,,,,,,,,,,,,1000,1032.4311,30.7915
37500,,,50,50,12,39.1183,-111.9945,2.2271,0.6684,-4.2751,2.5009,35.1522,2.9221,,,
38000,,,50,50,14,36.9815,-108.5183,2.4551,0.6898,-4.0193,2.1512,53.464,1.8215,,,
38000,,,,,,,,,,,,,,1000,592.3619,31.1738
38500,,,50,50,11,39.243,-109.45,3.3659,0.6988,-4.2948,3.4806,72.0706,2.138,,,
39000,,,50,50,12,40.423,-107.4088,2.6987,0.6967,-4.4182,2.5148,47.7961,1.767,,,
39000,,,,,,,,,,,,,,1000,1085.6433,31.3707
39500,,,50,50,13,37.8014,-117.457,3.7032,0.7187,-4.3254,1.9079,54.1148,1.9436,,,
40000,,,50,50,12,40.0687,-115.2103,2.7906,0.7266,-4.3289,3.3809,103.5342,2.0937,,,
40000,2188.4151,1000.0,,,,,,,,,,,,,,
40000,,,,,,,,,,,,,,1000,1006.1995,28.3652
40500,,,50,50,12,39.4816,-113.0379,3.1693,0.7168,-4.2502,4.6623,65.5437,2.6332,,,
41000,,,50,50,14,39.0306,-117.1929,3.2714,0.6885,-3.9167,2.975,102.5058,1.9641,,,
41000,,,,,,,,,,,,,,1000,568.6972,31.441
41500,,,50,50,12,42.4683,-117.9066,3.3575,0.6695,-4.2415,5.6232,91.9077,1.8879,,,
42000,,,50,50,12,38.8114,-116.8124,2.466,0.7571,-5.1489,3.0565,104.2611,1.6861,,,
42000,,,,,,,,,,,,,,1000,1115.5214,31.2061
42500,,,50,50,13,39.8992,-125.1854,3.0446,0.6755,-4.0588,2.7167,92.8781,1.4637,,,
43000,,,50,50,12,39.9625,-120.8209,2.2924,0.7835,-4.4839,3.0071,44.0026,1.2465,,,
43000,,,,,,,,,,,,,,1000,1243.1202,31.4119
43500,,,50,50,13,40.5485,-126.6558,3.0437,0.7806,-4.3052,2.8239,37.3521,2.3584,,,
44000,,,50,50,11,42.524,-122.6232,4.1402,0.7174,-4.5572,3.3714,91.993,1.6344,,,
44000,,,,,,,,,,,,,,1000,1353.2195,31.2743
44500,,,50,50,13,42.3868,-130.7115,3.1086,0.7396,-4.4892,3.0959,91.4506,2.1918,,,
45000,,,50,50,11,43.6314,-134.7631,3.08,0.6903,-4.6582,2.4667,39.0027,2.4805,,,
45000,2495.4867,1000.0,,,,,,,,,,,,,,
45000,,,,,,,,,,,,,,1000,1354.9261,28.1248
45500,,,50,50,11,43.5193,-130.8032,2.4327,0.7457,-4.9568,2.826,58.3745,3.3199,,,
46000,,,50,50,11,45.1506,-134.8692,2.9903,0.7246,-4.6587,3.6667,76.0411,2.4453,,,
46000,,,,,,,,,,,,,,1000,1309.6145,31.25
46500,,,50,50,10,47.7871,-136.5575,3.9786,0.6684,-4.5778,4.669,74.9,2.8313,,,
47000,,,50,50,11,44.6975,-137.2881,3.3672,0.7589,-4.8199,2.7319,44.4056,3.2763,,,
47000,,,,,,,,,,,,,,1000,721.0053,31.1186
47500,,,50,50,10,45.9974,-131.0989,2.8546,0.7854,-4.8277,3.8737,54.0241,3.9128,,,
48000,,,50,50,12,43.3924,-132.3891,3.5109,0.7075,-4.4258,2.8081,80.1159,2.6209,,,
48000,,,,,,,,,,,,,,1000,1126.0168,31.2107
48500,,,50,50,11,42.971,-134.0078,3.2658,0.742,-4.5443,4.2198,51.2201,2.4478,,,
49000,,,50,50,10,44.4075,-140.4386,3.3495,0.7234,-4.7754,2.6083,49.4479,1.717,,,
49000,,,,,,,,,,,,,,1000,985.3165,30.926
49500,,,50,50,11,44.907,-140.7601,3.8904,0.7049,-4.3674,4.9503,137.9765,2.4351,,,
50000,,,50,50,11,45.2754,-138.797,3.1553,0.7376,-4.812,2.8844,55.706,1.7664,,,
50000,2972.989,1000.0,,,,,,,,,,,,,,
50000,,,,,,,,,,,,,,1000,1458.5333,28.2488
50500,,,50,50,10,45.2245,-136.225,3.935,0.7174,-4.8838,2.4346,44.9624,4.4635,,,
51000,,,50,50,10,46.1453,-139.4524,4.0224,0.8375,-4.8338,2.5811,45.7991,2.5175,,,
51000,,,,,,,,,,,,,,1000,1336.2053,31.5095
51500,,,50,50,10,45.9739,-144.1622,3.4095,0.756,-4.8958,4.4903,49.3689,3.1483,,,
52000,,,50,50,10,45.7947,-138.6226,2.9902,0.7127,-4.7313,2.6151,62.3368,1.9036,,,
52000,,,,,,,,,,,,,,1000,952.868,31.2079
52500,,,50,50,10,44.7874,-142.3217,4.1147,0.7058,-4.5153,2.0993,45.7845,1.7115,,,
53000,,,50,50,11,49.0372,-147.3647,2.8041,0.7567,-4.8845,3.0667,132.7077,1.9292,,,
53000,,,,,,,,,,,,,,1000,1555.4972,31.9376
53500,,,50,50,9,49.2654,-145.2909,2.8105,0.7365,-5.0937,4.2,46.9282,3.0427,,,
54000,,,50,50,9,49.2825,-147.9289,6.0643,0.823,-5.0157,4.5051,51.9508,5.0809,,,
54000,,,,,,,,,,,,,,1000,1906.8576,31.0597
54500,,,50,50,9,47.2974,-145.1884,3.2602,0.7279,-4.7485,2.5719,30.9686,1.5558,,,
55000,,,50,50,10,46.3312,-148.1451,4.1373,0.776,-4.9543,2.8509,126.8224,2.7763,,,
55000,2472.0719,1000.0,,,,,,,,,,,,,,
55000,,,,,,,,,,,,,,1000,1003.0228,28.6573
55500,,,50,50,9,49.2955,-148.016,3.6695,0.7604,-5.1831,3.149,58.3051,2.2967,,,
