env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
84000,,,1.0721,0.8354,0.1059,-175.6227,10.7671,0.4363,5.6688,42.9459,1.7666,,,
84000,,,,,,,,,,,,1000,2948.523,93.0324
84500,,,1.0988,0.8275,0.1089,-178.3778,10.6807,0.4773,6.2162,78.0373,2.4257,,,
85000,,,1.0724,0.8281,0.1054,-176.436,9.2113,0.4344,5.5889,34.907,1.8339,,,
85000,3442.4377,1000.0,,,,,,,,,,,,
85000,,,,,,,,,,,,1000,3004.1647,77.8663
85500,,,1.1125,0.8376,0.1098,-181.469,11.8499,0.4829,4.1305,36.849,1.7871,,,
86000,,,1.0864,0.8426,0.1074,-179.7627,10.514,0.4433,4.2749,21.1584,2.3681,,,
86000,,,,,,,,,,,,1000,3175.4773,92.62
86500,,,1.0767,0.8294,0.1062,-180.7075,9.4916,0.4418,4.8905,64.5302,1.8986,,,
87000,,,1.0892,0.8368,0.1069,-185.1483,9.6498,0.4654,5.5087,36.2923,2.0536,,,
87000,,,,,,,,,,,,1000,2345.5207,94.6552
87500,,,1.1097,0.838,0.1095,-183.5009,10.8329,0.474,5.8183,61.4559,2.584,,,
88000,,,1.0939,0.8421,0.1077,-187.7605,10.2183,0.4475,5.6816,49.2305,2.6771,,,
88000,,,,,,,,,,,,1000,3156.3314,92.7851
88500,,,1.0902,0.8533,0.1078,-188.58,10.6575,0.4483,6.2007,67.5223,1.9942,,,
89000,,,1.0963,0.84,0.1075,-195.4915,11.1694,0.4573,7.2634,56.684,2.2027,,,
89000,,,,,,,,,,,,1000,3295.7166,92.8241
89500,,,1.0654,0.8419,0.104,-190.3064,10.3463,0.4256,6.322,84.8035,2.8436,,,
90000,,,1.0728,0.8474,0.1055,-190.7957,10.5939,0.4264,5.598,29.9411,1.8793,,,
90000,3634.1346,1000.0,,,,,,,,,,,,
90000,,,,,,,,,,,,1000,3256.3722,77.5014
90500,,,1.0923,0.8394,0.1078,-190.8679,15.827,0.4598,5.7424,45.8787,3.0753,,,
91000,,,1.0876,0.833,0.1059,-197.1662,11.2331,0.4464,5.078,139.1865,1.7976,,,
91000,,,,,,,,,,,,1000,3305.2279,92.6963
91500,,,1.1,0.8424,0.1094,-201.2112,15.6961,0.458,5.8322,71.6856,2.4316,,,
92000,,,1.0828,0.8492,0.1068,-193.2262,8.9229,0.4404,5.7674,30.3664,1.6052,,,
92000,,,,,,,,,,,,1000,3563.5639,92.5822
92500,,,1.1185,0.8398,0.1091,-204.914,13.4624,0.4907,8.4535,64.4037,2.9256,,,
93000,,,1.1276,0.8538,0.1127,-201.7176,12.9452,0.4862,5.5923,45.3549,4.0942,,,
93000,,,,,,,,,,,,1000,3509.5108,95.9241
93500,,,1.1127,0.8442,0.1099,-204.1265,11.545,0.485,5.6317,39.9805,2.5275,,,
94000,,,1.081,0.85,0.1058,-207.1267,9.848,0.4446,7.7593,45.0997,2.8288,,,
94000,,,,,,,,,,,,1000,3530.6647,93.2276
