env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
57500,,,-157.0723,3.5731,0.0031,-0.0463,2.7524,94.7583,2.0053,,,
58000,,,-154.0172,3.0324,0.0037,-0.0509,2.2275,91.0259,3.1268,,,
58000,,,,,,,,,,1000,2423.8051,12.3033
58500,,,-155.6082,3.1728,0.003,-0.0451,2.4804,116.4649,4.2242,,,
59000,,,-158.2629,3.2072,0.0047,-0.0578,2.6887,102.9482,3.0059,,,
59000,,,,,,,,,,1000,2421.8128,11.6477
59500,,,-162.1212,2.9199,0.0041,-0.0543,2.4562,87.2447,2.8019,,,
60000,,,-160.1378,3.6186,0.0033,-0.048,2.8087,86.4275,4.9713,,,
60000,3330.5789,1000.0,,,,,,,,,,
60000,,,,,,,,,,1000,1856.4806,11.0238
60500,,,-160.309,3.3393,0.0032,-0.0461,2.4033,107.8681,3.4505,,,
61000,,,-163.8893,2.6468,0.0035,-0.0489,2.4796,62.3763,2.5678,,,
61000,,,,,,,,,,1000,2488.7783,12.2957
61500,,,-161.7889,3.2174,0.0029,-0.0428,2.4796,86.4945,5.1323,,,
62000,,,-166.0393,3.1141,0.0027,-0.0438,2.6916,87.2867,4.0905,,,
62000,,,,,,,,,,1000,2433.4506,11.7184
62500,,,-164.1053,2.9468,0.0032,-0.0486,2.77,67.6081,2.3916,,,
63000,,,-168.5462,3.0275,0.0036,-0.0484,2.9612,82.1296,4.7246,,,
63000,,,,,,,,,,1000,2425.3505,11.9815
63500,,,-170.2028,2.9878,0.0035,-0.0494,3.3943,112.6249,3.9474,,,
64000,,,-173.4852,3.5799,0.0033,-0.0465,2.4242,85.9788,3.5947,,,
64000,,,,,,,,,,1000,2550.0966,12.0558
64500,,,-179.1726,3.3853,0.0048,-0.0649,2.6586,114.9493,3.8636,,,
65000,,,-177.6347,3.0801,0.0031,-0.0451,3.1355,95.4029,4.2285,,,
65000,3521.6331,1000.0,,,,,,,,,,
65000,,,,,,,,,,1000,2658.3087,11.5291
65500,,,-182.5132,3.206,0.003,-0.0439,2.993,101.6879,5.8136,,,
66000,,,-180.7504,2.9646,0.003,-0.0462,3.0397,132.903,4.7867,,,
66000,,,,,,,,,,1000,2739.0015,12.01
66500,,,-178.5949,3.4645,0.0032,-0.0448,2.6954,78.711,4.5224,,,
67000,,,-182.0002,3.106,0.003,-0.0437,2.9959,60.0989,3.696,,,
67000,,,,,,,,,,1000,2657.4898,11.8329
67500,,,-181.3537,4.5244,0.0038,-0.0514,2.8759,98.3555,6.0356,,,
