env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
94500,,,50,50,5,67.5772,-252.0688,9.6129,4.719,278.6195,3.6111,,,
95000,,,50,50,4,72.153,-265.3581,6.4217,8.1282,146.4539,3.4031,,,
95000,4320.3441,1000.0,,,,,,,,,,,,
95000,,,,,,,,,,,,1000,3913.5453,15.7171
95500,,,50,50,5,65.3961,-256.872,4.2715,9.3047,304.5125,4.2854,,,
96000,,,50,50,5,66.5313,-261.4935,4.8554,8.3383,226.3896,3.2835,,,
96000,,,,,,,,,,,,1000,4153.9321,22.573
96500,,,50,50,5,69.4918,-259.8518,6.3918,7.1529,189.8429,3.1745,,,
97000,,,50,50,5,67.2493,-259.8502,4.9987,5.9391,261.8688,4.75,,,
97000,,,,,,,,,,,,1000,4021.7156,20.9822
97500,,,50,50,5,68.8983,-271.1279,4.9747,7.0476,136.0931,5.7493,,,
98000,,,50,50,5,65.6465,-264.4268,5.6979,3.6965,255.0291,2.6359,,,
98000,,,,,,,,,,,,1000,4215.1518,20.9915
98500,,,50,50,5,67.8911,-267.9115,3.7943,3.7068,70.4086,2.6198,,,
99000,,,50,50,5,68.9638,-275.9833,5.0419,5.6081,240.2964,2.6621,,,
99000,,,,,,,,,,,,1000,3830.9871,20.6396
99500,,,50,50,3,76.5499,-273.7078,5.065,3.9639,169.0536,3.4778,,,
100000,,,50,50,4,71.6773,-278.6007,7.8852,10.6932,296.5967,3.1165,,,
100000,4429.8837,1000.0,,,,,,,,,,,,
100000,,,,,,,,,,,,1000,4196.7723,16.3373
100500,,,50,50,4,74.3788,-277.2372,4.208,4.1023,86.6335,3.3349,,,
101000,,,50,50,4,70.768,-267.1919,7.934,4.5725,148.4701,3.0307,,,
101000,,,,,,,,,,,,1000,4196.5693,22.2977
101500,,,50,50,3,76.3313,-276.8257,4.4249,3.7552,132.1658,5.2018,,,
102000,,,50,50,3,78.8886,-283.1606,7.7033,4.2885,110.2193,3.3914,,,
102000,,,,,,,,,,,,1000,4347.9337,21.6612
102500,,,50,50,3,77.2095,-284.9461,4.4876,4.6561,124.1312,3.0804,,,
103000,,,50,50,3,75.6538,-283.4161,8.4904,5.7543,440.0385,3.4087,,,
103000,,,,,,,,,,,,1000,4334.105,18.9905
103500,,,50,50,3,83.838,-294.5633,5.184,5.679,173.3006,2.9958,,,
104000,,,50,50,3,82.1696,-288.4042,11.1553,6.6295,254.8606,3.8432,,,
104000,,,,,,,,,,,,1000,4492.7473,21.0736
104500,,,50,50,3,79.5419,-294.2246,6.1954,5.3149,285.5891,6.6388,,,
105000,,,50,50,3,77.868,-295.3631,7.152,4.3264,161.3397,3.7381,,,
105000,4232.1915,1000.0,,,,,,,,,,,,
105000,,,,,,,,,,,,1000,4480.7413,16.0092
105500,,,50,50,3,85.4097,-303.7664,5.8487,4.8908,122.2803,2.8632,,,
106000,,,50,50,3,84.3366,-298.6506,6.394,5.3445,252.7059,5.4503,,,
106000,,,,,,,,,,,,1000,4198.1805,20.8418
106500,,,50,50,3,77.9598,-296.505,4.4258,9.9519,565.085,3.0358,,,
107000,,,50,50,3,84.0693,-312.9399,6.5341,3.8402,107.4956,4.4369,,,
107000,,,,,,,,,,,,1000,4401.7246,20.9504
107500,,,50,50,4,74.3988,-302.2593,5.2894,6.2325,233.3992,3.5319,,,
