env_steps,return,length,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
34000,,,50,50,12,62.1295,0.8273,0.5493,1.2142,0.6707,-91.5931,4.0631,0.2641,4.1433,124.8876,2.9666,,,
34000,,,,,,,,,,,,,,,,,1000,658.1101,36.8809
34500,,,50,50,13,66.9292,0.8653,0.5646,1.2191,0.6865,-96.8309,3.7106,0.3494,4.8365,80.96,2.3009,,,
35000,,,50,50,13,52.9577,0.837,0.5592,1.2004,0.6792,-101.7602,2.1628,0.2831,2.3767,74.4035,1.6805,,,
35000,923.9452,1000.0,,,,,,,,,,,,,,,,,
35000,,,,,,,,,,,,,,,,,1000,699.837,29.0708
35500,,,50,50,13,63.7922,0.8521,0.6383,1.2476,0.7631,-95.5943,2.5772,0.3268,4.2323,54.0437,2.7542,,,
36000,,,50,50,12,63.9541,0.892,0.6161,1.2855,0.7447,-95.737,2.6567,0.3478,4.9026,54.7582,2.7932,,,
36000,,,,,,,,,,,,,,,,,1000,669.7397,37.5238
36500,,,50,50,12,60.3788,0.8354,0.5366,1.2538,0.662,-100.2203,2.8858,0.3178,3.9298,82.0193,2.4287,,,
37000,,,50,50,13,61.3776,0.8478,0.6629,1.238,0.7867,-104.0231,2.2342,0.3453,3.5466,64.9742,2.1257,,,
37000,,,,,,,,,,,,,,,,,1000,538.7916,41.276
37500,,,50,50,12,64.4031,0.8661,0.6357,1.2518,0.7609,-102.2906,2.7077,0.3055,3.7202,82.3032,2.0654,,,
38000,,,50,50,11,65.2966,0.8243,0.5818,1.1664,0.6984,-101.8835,2.6596,0.2841,3.7411,70.3945,2.4558,,,
38000,,,,,,,,,,,,,,,,,1000,802.4357,39.263
38500,,,50,50,12,62.0693,0.8538,0.5907,1.2596,0.7166,-102.5677,2.2618,0.3431,3.3409,74.5563,1.5702,,,
39000,,,50,50,12,62.9961,0.8085,0.4424,1.2062,0.563,-105.9853,4.2037,0.3102,2.9886,57.655,2.5381,,,
39000,,,,,,,,,,,,,,,,,1000,458.4839,37.4617
39500,,,50,50,12,67.4721,0.8405,0.6457,1.2938,0.7751,-99.4063,3.1657,0.3675,3.2807,67.959,2.2463,,,
40000,,,50,50,13,62.2187,0.8468,0.5998,1.2864,0.7285,-110.2256,2.5613,0.3152,3.0215,65.1405,2.282,,,
40000,1535.5391,1000.0,,,,,,,,,,,,,,,,,
40000,,,,,,,,,,,,,,,,,1000,894.5506,28.9456
40500,,,50,50,13,59.3862,0.8864,0.6306,1.2569,0.7563,-108.4265,2.5148,0.3351,3.5175,63.3771,2.0296,,,
41000,,,50,50,12,63.4021,0.7869,0.4999,1.1492,0.6148,-104.901,3.2392,0.2529,6.3262,140.7979,1.6745,,,
41000,,,,,,,,,,,,,,,,,1000,823.0108,37.9855
41500,,,50,50,11,59.5194,0.8358,0.6361,1.2267,0.7588,-109.2517,2.4525,0.3174,2.5154,68.9707,1.6553,,,
42000,,,50,50,12,64.9378,0.8529,0.5966,1.2312,0.7197,-111.6425,4.1257,0.3339,3.0489,135.2334,2.1795,,,
42000,,,,,,,,,,,,,,,,,1000,818.8951,38.4238
42500,,,50,50,12,60.5634,0.8692,0.5836,1.1943,0.703,-113.8838,3.3923,0.2841,2.9839,47.7191,2.1836,,,
43000,,,50,50,12,61.3396,0.8619,0.6105,1.2778,0.7383,-114.7025,2.924,0.2844,4.0344,72.187,1.9943,,,
43000,,,,,,,,,,,,,,,,,1000,1338.4949,38.2923
43500,,,50,50,12,60.9007,0.8405,0.6537,1.2222,0.7759,-118.52,2.2991,0.3264,4.0327,83.7949,2.5243,,,
