env_steps,return,length,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
83500,,,0.044,-406.2643,6.8272,0.044,5.49,224.2127,5.6337,,,
84000,,,0.0416,-415.7211,6.7975,0.0416,6.3424,306.0216,6.593,,,
84000,,,,,,,,,,1000,5905.8155,105.2889
84500,,,0.0435,-412.7395,7.4282,0.0435,6.1422,353.0435,5.0456,,,
85000,,,0.0419,-418.2086,6.7425,0.0419,6.6394,277.1837,6.1671,,,
85000,6976.5053,1000.0,,,,,,,,,,
85000,,,,,,,,,,1000,5911.048,90.6421
85500,,,0.0428,-422.2734,7.5484,0.0428,6.3302,184.0119,10.2998,,,
86000,,,0.0397,-424.8083,7.7452,0.0397,5.5985,229.5859,6.8616,,,
86000,,,,,,,,,,1000,6201.2776,103.54
86500,,,0.0427,-424.0791,7.2004,0.0427,5.8225,376.8249,4.7472,,,
87000,,,0.0415,-430.5506,7.1063,0.0415,6.4265,299.858,6.1861,,,
87000,,,,,,,,,,1000,6154.1296,105.1493
87500,,,0.0424,-433.6028,8.2943,0.0424,9.4202,368.6,7.2241,,,
88000,,,0.0416,-438.2088,5.843,0.0416,6.5195,397.4242,7.3157,,,
88000,,,,,,,,,,1000,6317.9206,103.7239
88500,,,0.0409,-441.5475,9.1732,0.0409,6.5139,229.124,8.4843,,,
89000,,,0.0395,-443.8508,5.9268,0.0395,8.0645,328.995,6.5948,,,
89000,,,,,,,,,,1000,6490.0549,104.823
89500,,,0.0418,-445.878,8.6226,0.0418,7.061,467.222,6.1774,,,
90000,,,0.0404,-452.2114,7.7131,0.0404,5.6966,342.1322,6.1458,,,
90000,7395.0098,1000.0,,,,,,,,,,
90000,,,,,,,,,,1000,6434.6779,89.2113
90500,,,0.0418,-448.3178,6.2678,0.0418,6.3735,366.5201,11.637,,,
91000,,,0.0408,-455.3138,4.9981,0.0408,6.8131,446.7063,5.9631,,,
91000,,,,,,,,,,1000,6685.6683,102.4294
91500,,,0.0394,-458.7408,7.7996,0.0394,6.2533,391.2382,11.6834,,,
92000,,,0.0391,-463.0169,7.6045,0.0391,6.262,217.1736,5.7393,,,
92000,,,,,,,,,,1000,6710.9936,101.8923
92500,,,0.0388,-466.6651,6.8038,0.0388,6.6628,255.6597,11.2999,,,
93000,,,0.0384,-465.8871,10.8303,0.0384,6.1781,284.7183,8.7932,,,
93000,,,,,,,,,,1000,6751.6742,103.2165
93500,,,0.0395,-471.4736,7.5561,0.0395,6.1906,439.0272,6.6745,,,
94000,,,0.0383,-474.9003,7.0883,0.0383,6.946,460.6629,6.5018,,,
94000,,,,,,,,,,1000,6920.0307,104.6474
94500,,,0.0395,-478.134,6.4231,0.0395,6.3112,309.7386,8.1083,,,
95000,,,0.0395,-475.1482,9.4296,0.0395,6.3465,356.0323,10.9071,,,
95000,7735.3809,1000.0,,,,,,,,,,
95000,,,,,,,,,,1000,6909.4404,89.26
95500,,,0.0362,-485.3709,7.234,0.0362,7.9045,501.208,10.2863,,,
96000,,,0.0398,-486.7853,7.7759,0.0398,6.3947,371.5726,8.5294,,,
96000,,,,,,,,,,1000,7302.4432,104.4147
96500,,,0.0385,-493.6531,5.7589,0.0385,6.3579,374.6518,4.7316,,,
97000,,,0.0379,-495.62,7.2606,0.0379,6.1596,246.4878,7.1703,,,
97000,,,,,,,,,,1000,7136.0963,105.3658
97500,,,0.0367,-500.1277,6.9106,0.0367,6.0437,254.6982,6.7911,,,
98000,,,0.0381,-504.7593,6.2897,0.0381,6.3648,371.203,8.4764,,,
98000,,,,,,,,,,1000,7297.8975,104.1398
98500,,,0.0392,-502.9352,5.8192,0.0392,5.8002,325.9052,7.1073,,,
99000,,,0.0359,-511.2571,8.4259,0.0359,6.4023,288.5299,6.1203,,,
99000,,,,,,,,,,1000,7466.0133,102.4449
99500,,,0.038,-514.5936,5.7772,0.038,6.0427,345.2782,7.56,,,
100000,,,0.0372,-517.6826,8.3852,0.0372,6.7492,486.5206,13.582,,,
100000,7909.3388,1000.0,,,,,,,,,,
100000,,,,,,,,,,1000,7452.5589,91.3131
100500,,,0.0403,-512.9249,6.3065,0.0403,9.1959,915.166,7.8828,,,
101000,,,0.0361,-525.6797,6.0658,0.0361,8.4535,759.5153,7.343,,,
101000,,,,,,,,,,1000,7560.8881,103.2029
101500,,,0.0365,-532.0384,9.1562,0.0365,6.9921,409.8195,8.3577,,,
102000,,,0.0365,-537.4721,8.322,0.0365,7.3923,292.3583,11.1743,,,
102000,,,,,,,,,,1000,7603.537,104.1144
102500,,,0.0349,-541.7174,7.5094,0.0349,7.1352,498.6449,9.8852,,,
103000,,,0.0365,-544.9306,6.9877,0.0365,7.4843,642.6357,9.7076,,,
103000,,,,,,,,,,1000,7606.1661,104.6645
103500,,,0.0364,-549.045,10.9785,0.0364,8.4567,685.6883,15.9186,,,
104000,,,0.0352,-548.9495,7.6776,0.0352,7.5785,421.3665,7.689,,,
