env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
19500,,,,,,50,50,44,14.2758,17.1919,-474.1058,79.8577,17.1919,659.4229,2154.9868,4.3942
19518,,,48,256.486,34.383,,,,,,,,,,,
19542,,,24,118.0199,31.6814,,,,,,,,,,,
19562,,,20,96.1164,25.5192,,,,,,,,,,,
19583,,,21,102.9361,26.3608,,,,,,,,,,,
19613,,,30,154.5567,27.1714,,,,,,,,,,,
19639,,,26,127.7138,27.1772,,,,,,,,,,,
19672,,,33,165.7705,29.2907,,,,,,,,,,,
19719,,,47,211.7663,28.5105,,,,,,,,,,,
19825,,,106,519.6032,26.3033,,,,,,,,,,,
19844,,,19,92.3776,28.8564,,,,,,,,,,,
19864,,,20,97.0311,32.2421,,,,,,,,,,,
19902,,,38,205.4501,32.6773,,,,,,,,,,,
19932,,,30,142.0235,26.4131,,,,,,,,,,,
19964,,,32,160.8445,26.6688,,,,,,,,,,,
19990,,,26,127.7843,27.8488,,,,,,,,,,,
20000,,,,,,50,50,45,13.0028,17.0531,-474.8593,87.5871,17.0531,525.2544,1723.1138,5.4315
20000,214.8585,50.5,,,,,,,,,,,,,,
20011,,,21,103.2191,16.2404,,,,,,,,,,,
20034,,,23,113.8551,27.6919,,,,,,,,,,,
