env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
15500,,,,,,9,3,1,2751.0371,235.5609,151.3535,170.5993,7.6557,3472.5193,0.0
16000,,,,,,9,3,1,2826.9358,218.4144,123.2211,154.8679,5.2277,2596.3516,0.0174
16208,,,778,-178.0205,25.4966,,,,,,,,,,
16258,,,50,-112.3473,24.9657,,,,,,,,,,
16312,,,54,-111.6713,23.4275,,,,,,,,,,
16377,,,65,-114.3259,24.1848,,,,,,,,,,
16450,,,73,-113.886,24.9611,,,,,,,,,,
16500,,,,,,7,3,1,2940.5081,166.3877,68.293,102.7248,6.9993,2207.8242,0.0012
16519,,,69,-116.0291,25.9775,,,,,,,,,,
16588,,,69,-114.8552,25.7517,,,,,,,,,,
16665,,,77,-115.8269,27.7099,,,,,,,,,,
16742,,,77,-116.5115,26.8022,,,,,,,,,,
16803,,,61,-113.3664,24.3929,,,,,,,,,,
16867,,,64,-114.5958,23.7272,,,,,,,,,,
16949,,,82,-107.0085,25.8116,,,,,,,,,,
17000,,,,,,7,3,1,2790.9497,185.5366,233.3001,123.4568,7.8059,2990.6252,0.0151
17035,,,86,-117.5427,25.5885,,,,,,,,,,
17099,,,64,-113.2596,25.2794,,,,,,,,,,
17159,,,60,-112.9012,31.1342,,,,,,,,,,
17228,,,69,-115.0688,29.9638,,,,,,,,,,
17299,,,71,-115.371,25.895,,,,,,,,,,
17373,,,74,-115.4558,25.09,,,,,,,,,,
17440,,,67,-115.5066,25.2057,,,,,,,,,,
17500,,,,,,9,3,1,2810.3354,128.1732,81.9858,67.5738,8.3313,1422.9829,0.0226
17505,,,65,-114.2909,27.3552,,,,,,,,,,
17618,,,113,-118.5566,25.3297,,,,,,,,,,
17685,,,67,-114.4892,25.6974,,,,,,,,,,
17768,,,83,-117.2851,24.8119,,,,,,,,,,
17818,,,50,-110.178,26.9889,,,,,,,,,,
17882,,,64,-114.5396,24.7823,,,,,,,,,,
17952,,,70,-115.2742,31.6852,,,,,,,,,,
18000,,,,,,8,3,1,2697.8931,178.9117,89.4065,115.3586,10.4725,5561.4282,0.0804
18026,,,74,-115.4632,28.7419,,,,,,,,,,
18155,,,129,-111.9532,23.6789,,,,,,,,,,
18239,,,84,-117.0288,26.8906,,,,,,,,,,
18339,,,100,-108.746,25.0417,,,,,,,,,,
18410,,,71,-116.071,24.0689,,,,,,,,,,
18479,,,69,-115.2715,27.5081,,,,,,,,,,
18500,,,,,,7,3,1,2828.0996,115.3812,206.1536,54.2017,7.2179,1010.2856,0.1007
18588,,,109,-112.2824,28.1827,,,,,,,,,,
18741,,,153,-123.5235,26.2342,,,,,,,,,,
18814,,,73,-116.6813,25.634,,,,,,,,,,
18888,,,74,-116.5916,23.9099,,,,,,,,,,
18961,,,73,-114.3152,25.5534,,,,,,,,,,
19000,,,,,,7,3,1,2819.6116,163.8006,203.7426,103.4552,10.2774,4174.7275,0.0148
19156,,,195,-115.8421,25.8272,,,,,,,,,,
19209,,,53,-113.4221,24.4257,,,,,,,,,,
19279,,,70,-115.9415,25.1639,,,,,,,,,,
19336,,,57,-113.668,24.3674,,,,,,,,,,
19401,,,65,-109.0322,24.8431,,,,,,,,,,
