env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
43000,,,0.8816,0.7742,0.0788,-67.6747,9.3584,0.6886,3.3736,21.7049,1.0924,,,
43000,,,,,,,,,,,,1000,1576.8778,38.7998
43500,,,0.9118,0.7651,0.0827,-69.167,11.6556,0.7382,4.6834,50.1733,0.9307,,,
44000,,,0.9037,0.7699,0.0817,-72.8371,9.2078,0.7295,2.9153,11.8825,1.4696,,,
44000,,,,,,,,,,,,1000,1492.0293,41.3418
44500,,,0.9137,0.7722,0.0833,-74.0942,12.2434,0.7452,4.2644,18.3314,1.6546,,,
45000,,,0.8886,0.7682,0.0805,-75.8313,11.4151,0.6983,4.102,19.5432,1.1658,,,
45000,2348.6011,1000.0,,,,,,,,,,,,
45000,,,,,,,,,,,,1000,1682.1763,33.7975
45500,,,0.9338,0.7789,0.0847,-76.7328,11.1694,0.7829,3.2472,14.0871,1.1058,,,
46000,,,0.9226,0.7738,0.0836,-77.9867,10.6212,0.7585,3.1963,20.6531,0.8033,,,
46000,,,,,,,,,,,,1000,1629.6863,41.1227
46500,,,0.8991,0.7771,0.082,-75.1178,11.3197,0.7169,3.4985,14.716,1.5951,,,
47000,,,0.9115,0.7743,0.0833,-78.9163,11.4564,0.7399,4.3306,40.4379,1.3829,,,
47000,,,,,,,,,,,,1000,1822.5941,40.9967
47500,,,0.8963,0.7872,0.0812,-85.0713,10.0491,0.7098,4.2087,18.4056,0.9808,,,
48000,,,0.9429,0.786,0.0864,-85.5445,11.1732,0.7897,3.9277,27.3507,1.2384,,,
48000,,,,,,,,,,,,1000,1731.8832,39.4221
48500,,,0.9291,0.7785,0.0853,-84.2739,10.5638,0.7662,5.4767,40.5103,0.8284,,,
49000,,,0.9267,0.7925,0.0845,-89.2489,11.3184,0.7622,4.7102,15.4623,1.2187,,,
49000,,,,,,,,,,,,1000,1844.2512,39.6634
49500,,,0.9167,0.7968,0.0838,-88.5142,10.3592,0.7434,3.5242,21.0745,1.506,,,
50000,,,0.922,0.7851,0.0851,-93.1443,11.9617,0.7552,3.913,16.9714,1.7985,,,
50000,2358.6318,1000.0,,,,,,,,,,,,
50000,,,,,,,,,,,,1000,1723.9767,33.2587
50500,,,0.9134,0.7796,0.084,-91.6799,8.8796,0.7414,4.3304,32.9997,1.0082,,,
51000,,,0.9321,0.793,0.0861,-95.5237,11.228,0.7751,3.524,24.3527,1.2127,,,
51000,,,,,,,,,,,,1000,1786.6631,41.2525
51500,,,0.9235,0.7919,0.0839,-93.713,11.0028,0.7564,6.8825,48.561,1.361,,,
52000,,,0.9281,0.8001,0.0854,-99.3502,12.769,0.7588,4.9143,28.1939,1.1602,,,
52000,,,,,,,,,,,,1000,1872.9027,34.7419
52500,,,0.9274,0.7966,0.0869,-99.0162,10.5743,0.7591,5.2615,71.4436,1.133,,,
53000,,,0.9236,0.7926,0.0849,-98.6736,10.2263,0.755,5.8883,23.372,0.9776,,,
53000,,,,,,,,,,,,1000,974.5702,39.9977
53500,,,0.9225,0.8011,0.0851,-103.6382,11.9694,0.7494,5.7971,25.5437,1.0336,,,
54000,,,0.9394,0.8074,0.0874,-102.8166,10.2258,0.7761,5.0651,30.1973,1.0081,,,
54000,,,,,,,,,,,,1000,1972.5164,42.5851
54500,,,0.9563,0.7903,0.089,-108.6656,13.4131,0.8144,4.6952,15.9267,0.8107,,,
55000,,,0.9383,0.8044,0.0865,-109.4434,10.4802,0.7769,10.224,42.138,1.1296,,,
55000,2640.3886,1000.0,,,,,,,,,,,,
55000,,,,,,,,,,,,1000,1948.1076,34.5425
55500,,,0.952,0.7984,0.088,-109.6708,11.6394,0.8073,4.7918,43.012,1.266,,,
56000,,,0.9413,0.8028,0.0868,-106.3699,11.5956,0.7867,5.5199,63.1344,1.06,,,
56000,,,,,,,,,,,,1000,2045.7405,42.5856
56500,,,0.9452,0.8058,0.0875,-109.7213,11.4462,0.7872,5.8811,42.264,1.3854,,,
57000,,,0.9218,0.8017,0.0845,-112.7916,10.4093,0.7549,5.6909,77.3103,1.1243,,,
57000,,,,,,,,,,,,1000,1932.0443,42.5737
57500,,,0.9506,0.8097,0.0899,-117.3099,11.7264,0.7958,6.4453,43.1757,1.3551,,,
58000,,,0.9473,0.8103,0.0898,-118.2593,11.3228,0.7834,5.0286,18.0392,1.6656,,,
58000,,,,,,,,,,,,1000,2242.6168,42.2506
58500,,,0.943,0.8067,0.0884,-120.1384,11.4092,0.7821,5.1777,35.5824,1.3426,,,
59000,,,0.9611,0.814,0.0903,-122.4067,12.2503,0.8117,5.7664,46.6131,1.1973,,,
59000,,,,,,,,,,,,1000,2376.4923,41.3988
59500,,,0.9404,0.8103,0.0876,-122.3798,10.9202,0.7754,5.1816,66.4145,1.3484,,,
60000,,,0.9385,0.8125,0.0872,-125.7787,14.5094,0.7777,5.507,39.4746,1.3635,,,
60000,2621.4258,1000.0,,,,,,,,,,,,
60000,,,,,,,,,,,,1000,2301.0871,33.6094
60500,,,0.9717,0.8121,0.0913,-129.8355,12.1156,0.8337,8.3198,49.2179,1.1624,,,
61000,,,0.9525,0.8048,0.089,-126.6264,11.1383,0.8011,6.5394,35.3197,1.6338,,,
61000,,,,,,,,,,,,1000,1424.4985,38.2853
61500,,,0.9591,0.8193,0.0909,-130.1514,12.5332,0.8089,7.096,59.8701,1.7397,,,
62000,,,0.9691,0.8092,0.0917,-130.3101,12.3666,0.8263,11.01,44.797,1.384,,,
62000,,,,,,,,,,,,1000,736.9224,38.0096
62500,,,0.9568,0.8124,0.0896,-128.996,14.2883,0.8041,5.3312,37.2121,1.8438,,,
63000,,,0.95,0.815,0.089,-132.2133,14.7104,0.7934,5.8763,39.0439,1.5679,,,
63000,,,,,,,,,,,,1000,2487.1338,40.3904
63500,,,0.9436,0.8176,0.0889,-135.8567,9.7335,0.7922,7.737,65.4305,1.9502,,,
64000,,,0.9469,0.8101,0.0876,-134.2641,12.2758,0.7917,5.1536,47.1915,2.1686,,,
64000,,,,,,,,,,,,1000,2549.0105,41.7137
64500,,,0.9272,0.8219,0.0856,-140.4567,12.9202,0.7517,5.6672,47.6985,1.3608,,,
65000,,,0.9575,0.8256,0.09,-140.8354,13.3538,0.8027,10.2614,36.6368,1.723,,,
65000,3229.5207,1000.0,,,,,,,,,,,,
65000,,,,,,,,,,,,1000,2420.1508,33.8518
65500,,,0.9467,0.8131,0.0891,-138.3797,11.7615,0.788,8.0639,48.4303,2.3971,,,
66000,,,0.9211,0.8169,0.0854,-135.9347,15.1058,0.748,7.562,84.7099,1.7664,,,
66000,,,,,,,,,,,,1000,2433.7637,41.6489
66500,,,0.9429,0.8234,0.089,-147.4983,11.5639,0.7761,6.9333,24.4359,1.564,,,
67000,,,0.9506,0.8216,0.0881,-140.7105,14.2841,0.7914,7.8175,55.7764,1.2854,,,
67000,,,,,,,,,,,,1000,2514.3122,39.0386
67500,,,0.9536,0.8196,0.0894,-151.3491,14.8725,0.8043,5.9035,70.2901,2.483,,,
68000,,,0.953,0.8154,0.0903,-148.2689,12.0404,0.7957,6.7114,28.6573,1.2305,,,
68000,,,,,,,,,,,,1000,2737.3915,40.6901
68500,,,0.95,0.8243,0.0896,-148.0437,13.7329,0.796,7.3473,36.6001,1.779,,,
69000,,,0.9547,0.8242,0.0904,-153.8048,14.0373,0.7996,8.2224,48.111,2.1921,,,
69000,,,,,,,,,,,,1000,2560.5311,41.2129
69500,,,0.9302,0.8284,0.0874,-155.3494,13.9147,0.7625,7.1569,59.6351,1.6614,,,
