env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
39000,,,1.233,1.088,0.4578,-111.457,2.8454,2.2975,-0.4506,1.7578,40.4142,1.9332,,,
39000,,,,,,,,,,,,,1000,1597.0536,36.7093
39500,,,1.2345,1.0786,0.4585,-110.7151,2.8588,2.2372,-0.4528,2.308,62.0641,2.7928,,,
40000,,,1.2403,1.063,0.4653,-111.463,3.3296,2.2436,-0.4641,1.9684,61.9264,1.7067,,,
40000,2689.3495,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,1606.4658,33.6895
40500,,,1.2224,1.0575,0.4653,-109.7991,2.749,2.3733,-0.4597,1.675,62.02,2.0804,,,
41000,,,1.2058,1.0685,0.4508,-112.5189,3.6651,2.2661,-0.4701,2.1922,108.2427,3.3598,,,
41000,,,,,,,,,,,,,1000,581.2007,37.084
41500,,,1.2138,1.098,0.448,-114.6921,3.513,2.3588,-0.4624,2.3296,75.8763,3.0991,,,
42000,,,1.234,1.114,0.4631,-115.3673,3.0234,2.4411,-0.4618,1.9802,61.2426,2.9197,,,
42000,,,,,,,,,,,,,1000,1591.317,37.0087
42500,,,1.2188,1.0777,0.4568,-114.9316,2.3511,2.3085,-0.469,2.1818,58.4191,2.1145,,,
43000,,,1.2223,1.1215,0.454,-117.1418,3.3371,2.4626,-0.4698,2.2182,102.1116,2.5788,,,
43000,,,,,,,,,,,,,1000,1840.4007,37.4185
43500,,,1.2224,1.1269,0.4554,-121.8518,2.5555,2.5511,-0.4733,1.9181,52.436,1.9939,,,
44000,,,1.2241,1.1665,0.4562,-122.1102,3.0447,2.6551,-0.4559,2.063,60.3793,3.5232,,,
44000,,,,,,,,,,,,,1000,1761.8453,37.237
44500,,,1.2197,1.1703,0.4509,-125.9647,3.2136,2.641,-0.4554,2.0996,64.9837,2.8921,,,
45000,,,1.2172,1.1375,0.4484,-127.0919,3.8618,2.5358,-0.4577,2.1752,73.8796,2.6348,,,
45000,3235.4848,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,1986.5191,34.3506
45500,,,1.2284,1.1572,0.4581,-129.128,3.1292,2.6372,-0.4693,1.9016,66.6276,3.2027,,,
46000,,,1.2196,1.1435,0.4505,-128.0584,3.6379,2.5052,-0.4691,2.1405,72.581,2.3185,,,
46000,,,,,,,,,,,,,1000,2057.5825,37.8896
46500,,,1.2243,1.1476,0.4563,-131.3961,2.8198,2.6508,-0.4687,2.2278,71.1266,2.5289,,,
47000,,,1.2374,1.1865,0.4619,-133.4304,3.8576,2.8232,-0.4661,1.9011,40.5807,2.3732,,,
47000,,,,,,,,,,,,,1000,1779.3106,38.5929
47500,,,1.2339,1.2298,0.4643,-136.8074,3.3931,2.9541,-0.4736,1.8963,72.5762,4.0907,,,
48000,,,1.2297,1.3221,0.4536,-136.4507,3.1802,3.3017,-0.4624,2.1526,67.7485,2.8409,,,
48000,,,,,,,,,,,,,1000,1952.0613,37.6875
48500,,,1.2224,1.2351,0.4526,-137.966,3.4172,2.9591,-0.4645,4.173,157.9987,3.0577,,,
49000,,,1.2234,1.2777,0.4553,-141.9525,2.8183,3.1042,-0.4597,2.1582,91.0668,1.8792,,,
49000,,,,,,,,,,,,,1000,1948.4025,38.2413
49500,,,1.2197,1.2516,0.4463,-146.4103,3.1895,2.9821,-0.4516,2.2807,55.9953,3.0591,,,
50000,,,1.2442,1.3154,0.4599,-144.5822,3.3396,3.2175,-0.4497,2.534,84.4238,2.8358,,,
50000,3278.8577,1000.0,,,,,,,,,,,,,
50000,,,,,,,,,,,,,1000,2285.955,33.514
50500,,,1.2503,1.244,0.4715,-143.998,3.0653,3.0873,-0.472,2.4523,92.4952,3.1516,,,
51000,,,1.2373,1.2548,0.4631,-147.1694,4.1678,2.9865,-0.4753,2.4466,111.1891,3.3236,,,
51000,,,,,,,,,,,,,1000,1993.9259,37.5353
51500,,,1.2232,1.287,0.4505,-147.6973,3.2388,3.126,-0.4612,2.2304,71.1458,4.1269,,,
52000,,,1.2244,1.2469,0.4552,-149.1217,3.228,3.0308,-0.4569,2.6465,166.9319,2.9386,,,
52000,,,,,,,,,,,,,1000,1476.4723,37.3707
52500,,,1.2396,1.2655,0.4667,-152.0469,3.0787,3.0939,-0.466,2.4486,70.6677,3.7153,,,
53000,,,1.2491,1.2908,0.4722,-149.5175,3.077,3.2295,-0.4674,2.4101,61.9886,4.5539,,,
53000,,,,,,,,,,,,,1000,2128.8735,37.4034
53500,,,1.2543,1.322,0.4687,-157.1627,3.2662,3.3723,-0.4652,2.4175,82.7316,3.7421,,,
54000,,,1.2354,1.3785,0.4661,-152.7537,3.0203,3.6504,-0.4612,2.2423,70.2796,2.9025,,,
54000,,,,,,,,,,,,,1000,2364.8723,37.6597
54500,,,1.2361,1.3094,0.4615,-155.9972,3.2016,3.2817,-0.4567,2.7908,54.2518,2.8377,,,
55000,,,1.2357,1.2644,0.4562,-161.319,3.2611,3.039,-0.4584,2.5877,79.2138,2.8887,,,
55000,3338.3023,1000.0,,,,,,,,,,,,,
55000,,,,,,,,,,,,,1000,2391.3125,34.9646
55500,,,1.2551,1.3881,0.4661,-162.4046,2.8857,3.5052,-0.4504,2.4662,92.9434,3.0487,,,
56000,,,1.2509,1.44,0.4695,-165.3044,4.0898,3.8471,-0.4664,2.834,106.146,4.3154,,,
56000,,,,,,,,,,,,,1000,1701.5346,37.7654
56500,,,1.2311,1.3708,0.462,-166.38,3.894,3.6913,-0.4554,2.758,73.3334,3.5571,,,
57000,,,1.2468,1.3541,0.47,-165.1159,3.2208,3.5333,-0.4738,2.5225,133.326,3.2083,,,
57000,,,,,,,,,,,,,1000,2675.4523,37.6114
57500,,,1.2289,1.3529,0.4573,-167.8203,3.8694,3.5064,-0.467,3.2842,122.1981,4.2005,,,
58000,,,1.248,1.3758,0.465,-170.6436,3.6755,3.6405,-0.4649,2.2882,59.301,2.9389,,,
58000,,,,,,,,,,,,,1000,2533.1941,36.6199
58500,,,1.2507,1.3643,0.4723,-171.1053,3.7176,3.6476,-0.4578,2.7959,72.8308,2.9259,,,
59000,,,1.2385,1.4342,0.4662,-173.3416,3.5685,3.8428,-0.4581,2.7283,114.61,4.3637,,,
59000,,,,,,,,,,,,,1000,2848.8156,36.9952
59500,,,1.2624,1.4751,0.4723,-176.1073,3.3549,4.0835,-0.4652,2.4879,140.6816,4.6173,,,
60000,,,1.2437,1.4799,0.4602,-178.29,3.6189,4.1424,-0.4593,2.5245,103.6512,2.8953,,,
60000,3613.2391,1000.0,,,,,,,,,,,,,
60000,,,,,,,,,,,,,1000,2652.7344,33.0111
