env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
40000,2340.1222,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,1096.0563,31.5976
40500,,,2.4971,1.1775,0.823,-85.7753,7.1926,0.9416,-0.7875,3.1503,37.9063,1.8803,,,
41000,,,2.5095,1.1728,0.8257,-86.9419,7.6646,0.9453,-0.8356,3.1116,35.7391,1.3643,,,
41000,,,,,,,,,,,,,1000,1472.9528,33.707
41500,,,2.5559,1.2542,0.8927,-90.1557,6.1606,0.8958,-0.8593,3.931,21.2635,1.2583,,,
42000,,,2.5484,1.2154,0.8601,-90.8361,7.2317,0.9246,-0.8686,4.1044,55.1372,1.8018,,,
42000,,,,,,,,,,,,,1000,1079.0238,33.727
42500,,,2.5276,1.2042,0.8749,-91.4391,7.9237,0.9376,-0.8226,3.4453,30.9189,2.5923,,,
43000,,,2.4679,1.16,0.8286,-91.8675,8.6509,0.9327,-0.8342,3.3132,31.4974,2.119,,,
43000,,,,,,,,,,,,,1000,792.1011,33.7607
43500,,,2.5644,1.1862,0.8771,-93.9245,7.9125,0.935,-0.8207,4.074,29.3202,2.2921,,,
44000,,,2.5068,1.2399,0.8523,-95.0887,7.9795,0.8853,-0.8518,3.1584,43.7891,2.1536,,,
44000,,,,,,,,,,,,,1000,1474.0391,33.7632
44500,,,2.491,1.1948,0.8451,-96.3497,6.8632,0.8588,-0.8584,3.5551,26.6209,1.9377,,,
45000,,,2.54,1.1747,0.8614,-99.0928,7.5582,0.888,-0.8454,3.481,31.476,1.5958,,,
45000,2214.5948,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,1407.0154,31.5333
45500,,,2.5534,1.1432,0.8397,-101.4933,9.7374,1.0269,-0.8637,6.0186,46.902,2.1994,,,
46000,,,2.5671,1.2768,0.8647,-98.1807,7.3236,0.9189,-0.8582,3.5478,70.2344,1.8521,,,
46000,,,,,,,,,,,,,1000,1541.4393,33.3231
46500,,,2.5541,1.2243,0.8538,-103.9972,7.813,0.9076,-0.8602,4.3769,29.9088,2.1353,,,
47000,,,2.5822,1.1947,0.8949,-103.1393,6.777,0.9144,-0.8905,7.1031,38.8103,2.0487,,,
47000,,,,,,,,,,,,,1000,1529.3053,33.6882
47500,,,2.5946,1.2365,0.8866,-104.3866,7.6758,0.9487,-0.8734,4.8489,38.75,1.9806,,,
48000,,,2.5619,1.2263,0.8754,-101.9504,7.9801,0.8828,-0.8695,3.7189,21.1847,1.4071,,,
48000,,,,,,,,,,,,,1000,1077.9212,33.4969
48500,,,2.5645,1.243,0.8703,-108.7282,6.8115,0.8544,-0.8583,3.0936,23.6076,2.735,,,
49000,,,2.5138,1.1906,0.8447,-107.3712,8.3633,0.8232,-0.8849,3.9759,26.4463,1.4124,,,
49000,,,,,,,,,,,,,1000,1167.6876,33.691
49500,,,2.5161,1.1984,0.8625,-110.793,7.2497,0.8438,-0.8542,5.3507,29.9746,1.5985,,,
50000,,,2.6128,1.2019,0.8928,-108.4321,9.0821,0.9378,-0.8963,5.3389,53.3288,1.7608,,,
50000,2477.9783,1000.0,,,,,,,,,,,,,
50000,,,,,,,,,,,,,1000,1337.1871,31.5395
50500,,,2.6166,1.2124,0.8911,-113.8059,7.8307,0.9177,-0.8827,4.8341,69.9084,1.6605,,,
51000,,,2.6233,1.279,0.8962,-118.9353,6.8085,0.8137,-0.8959,3.792,17.404,1.7437,,,
51000,,,,,,,,,,,,,1000,1887.3456,33.7737
51500,,,2.5438,1.2633,0.8952,-112.3861,6.2419,0.8284,-0.9049,4.1465,21.0021,1.5205,,,
52000,,,2.6539,1.2881,0.9214,-117.5985,6.7755,0.8889,-0.8879,6.3426,32.1697,1.3694,,,
52000,,,,,,,,,,,,,1000,533.0237,33.8322
52500,,,2.6169,1.2339,0.8865,-117.1656,9.3906,0.9577,-0.8809,5.0248,40.8202,2.4065,,,
53000,,,2.6324,1.2349,0.9192,-120.7948,8.753,0.799,-0.9145,4.0283,27.1637,1.8639,,,
53000,,,,,,,,,,,,,1000,2004.9596,33.7094
53500,,,2.677,1.3079,0.9301,-120.2701,7.7888,0.8487,-0.9244,4.1027,36.5179,1.4007,,,
54000,,,2.634,1.2875,0.9609,-121.7596,8.0448,0.7677,-0.9398,3.6822,28.1986,1.6754,,,
54000,,,,,,,,,,,,,1000,1417.1982,33.8207
