env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
26175,,,16,-7.5876,97.6593,,,,,,,
26201,,,26,0.9665,97.5103,,,,,,,
26235,,,34,8.4877,97.8432,,,,,,,
26254,,,19,-5.0913,97.8899,,,,,,,
26381,,,127,230.0155,98.4882,,,,,,,
26391,,,10,-2.8799,98.5993,,,,,,,
26413,,,22,0.5168,97.966,,,,,,,
26443,,,30,12.5269,98.9838,,,,,,,
26451,,,8,-4.9741,104.2857,,,,,,,
26485,,,34,9.5787,104.6066,,,,,,,
26500,,,,,,0.0915,-1108.464,49.2102,0.0915,7602.6084,69508.2812,34.7746
26519,,,34,20.8178,104.23,,,,,,,
26561,,,42,19.3259,104.3674,,,,,,,
26599,,,38,15.7044,104.0753,,,,,,,
26644,,,45,17.8476,104.5132,,,,,,,
26667,,,23,-1.1805,104.5031,,,,,,,
26693,,,26,0.7735,104.0616,,,,,,,
26711,,,18,-8.1813,104.5046,,,,,,,
26736,,,25,2.1473,104.2765,,,,,,,
26766,,,30,7.9146,99.8521,,,,,,,
26794,,,28,5.1686,98.6326,,,,,,,
26844,,,50,36.4454,98.6098,,,,,,,
26886,,,42,25.7779,97.8386,,,,,,,
26946,,,60,36.6907,98.0242,,,,,,,
26983,,,37,13.9817,98.2511,,,,,,,
27000,,,,,,0.0999,-1116.3326,74.2021,0.0999,7872.5303,59759.0898,26.0235
27005,,,22,-5.656,97.4665,,,,,,,
27045,,,40,21.6003,98.0831,,,,,,,
27080,,,35,13.1787,98.3518,,,,,,,
27124,,,44,29.1388,98.2952,,,,,,,
27149,,,25,1.4761,98.4044,,,,,,,
27172,,,23,-7.1107,98.4978,,,,,,,
27240,,,68,41.7772,98.1271,,,,,,,
27276,,,36,10.2761,98.031,,,,,,,
27301,,,25,0.9885,98.364,,,,,,,
27340,,,39,17.2768,98.112,,,,,,,
27389,,,49,30.823,98.2072,,,,,,,
27404,,,15,-4.7127,97.7315,,,,,,,
27440,,,36,7.3812,97.9661,,,,,,,
27476,,,36,9.8041,98.1577,,,,,,,
27500,,,,,,0.0965,-1183.6637,40.7321,0.0965,4724.5825,50268.2148,41.5922
27518,,,42,9.5259,98.3191,,,,,,,
27528,,,10,-5.2833,98.133,,,,,,,
27615,,,87,69.4374,99.33,,,,,,,
27623,,,8,-3.1372,105.0125,,,,,,,
27643,,,20,-3.2325,104.7581,,,,,,,
27651,,,8,-4.9547,103.9316,,,,,,,
27676,,,25,0.5129,104.3736,,,,,,,
27708,,,32,12.3741,104.1353,,,,,,,
27723,,,15,-6.1904,103.9415,,,,,,,
27739,,,16,-5.2833,101.635,,,,,,,
27774,,,35,12.0315,97.8005,,,,,,,
27800,,,26,3.7989,96.4607,,,,,,,
27878,,,78,45.4654,97.9762,,,,,,,
27898,,,20,-3.2436,98.5792,,,,,,,
27952,,,54,33.4215,97.936,,,,,,,
27985,,,33,7.5926,98.1667,,,,,,,
28000,,,,,,0.0882,-1213.4108,58.714,0.0882,4714.0068,34648.0664,35.4049
28010,,,25,0.1115,97.7516,,,,,,,
28044,,,34,7.749,98.0188,,,,,,,
28057,,,13,-5.798,98.117,,,,,,,
28096,,,39,24.1893,97.833,,,,,,,
28105,,,9,-5.3407,97.9779,,,,,,,
28113,,,8,-2.8442,98.3064,,,,,,,
28151,,,38,17.8131,97.9322,,,,,,,
28160,,,9,-5.6158,98.0372,,,,,,,
28180,,,20,-2.1256,97.9216,,,,,,,
28192,,,12,-4.0256,98.1805,,,,,,,
28200,,,8,-4.1228,98.1571,,,,,,,
28227,,,27,3.2347,98.3046,,,,,,,
28267,,,40,18.6179,98.2384,,,,,,,
28277,,,10,-3.7929,98.5775,,,,,,,
28296,,,19,-4.9036,98.1426,,,,,,,
28306,,,10,-5.94,98.0197,,,,,,,
28316,,,10,-4.5331,97.9355,,,,,,,
28340,,,24,-1.6907,97.6959,,,,,,,
28369,,,29,2.2793,98.5015,,,,,,,
28402,,,33,11.7695,97.9232,,,,,,,
28500,,,,,,0.0878,-1264.9275,46.9571,0.0878,9137.7119,118555.5859,29.2959
28525,,,123,120.5079,98.1223,,,,,,,
28532,,,7,-6.6684,97.4989,,,,,,,
28631,,,99,88.2777,97.9395,,,,,,,
