env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
45500,,,1.5283,0.8023,0.1612,-135.6205,6.2353,0.4411,3.5359,29.8594,2.3615,,,
46000,,,1.537,0.7931,0.1641,-136.1316,6.1221,0.4684,4.4155,29.0277,1.4172,,,
46000,,,,,,,,,,,,1000,781.5373,99.7484
46500,,,1.524,0.799,0.1628,-137.5458,5.9923,0.4516,3.5073,144.7272,1.9152,,,
47000,,,1.5298,0.7935,0.1617,-136.1902,6.2368,0.4693,3.1973,41.2334,1.6144,,,
47000,,,,,,,,,,,,1000,1893.2511,100.0103
47500,,,1.5557,0.7979,0.1673,-140.4032,6.0201,0.4856,3.3821,37.1134,1.8928,,,
48000,,,1.5621,0.8062,0.1652,-144.9308,7.6123,0.4724,3.1692,19.8429,1.5102,,,
48000,,,,,,,,,,,,1000,2077.7265,99.7136
48500,,,1.5214,0.8028,0.1614,-145.3008,6.3508,0.4347,3.7326,40.158,2.4889,,,
49000,,,1.5369,0.799,0.1629,-145.0444,6.5313,0.4579,3.2265,40.3315,1.9564,,,
49000,,,,,,,,,,,,1000,1039.6521,101.7098
49500,,,1.5608,0.8108,0.1672,-144.2736,6.6598,0.4793,3.22,22.8218,1.3271,,,
50000,,,1.5311,0.8024,0.1632,-148.7558,6.5737,0.4401,3.3599,33.0393,2.608,,,
50000,2855.2145,1000.0,,,,,,,,,,,,
50000,,,,,,,,,,,,1000,2097.1766,83.4087
50500,,,1.5475,0.7988,0.1643,-148.5767,7.5561,0.4702,3.7082,64.5833,2.7348,,,
51000,,,1.567,0.8083,0.1652,-153.4446,6.1466,0.4816,3.6584,77.9951,1.7667,,,
51000,,,,,,,,,,,,1000,2133.5544,99.6871
51500,,,1.5326,0.8049,0.1641,-154.443,6.9792,0.4387,3.9424,40.0773,1.4809,,,
52000,,,1.5356,0.8045,0.1622,-156.132,5.8872,0.4401,3.9749,30.2621,1.7284,,,
52000,,,,,,,,,,,,1000,2155.9603,99.7934
52500,,,1.562,0.815,0.1663,-153.6242,6.4286,0.4741,3.1507,23.1778,2.5997,,,
53000,,,1.525,0.8041,0.161,-156.8433,6.6116,0.4358,3.2855,38.4736,1.5816,,,
53000,,,,,,,,,,,,1000,2244.1789,101.599
53500,,,1.5557,0.8065,0.1659,-159.9207,7.1665,0.4813,4.0243,58.8002,2.3871,,,
54000,,,1.5374,0.8128,0.1642,-164.1298,6.7585,0.4401,3.497,53.7144,1.2642,,,
54000,,,,,,,,,,,,1000,2146.8691,102.6965
54500,,,1.5383,0.8041,0.1651,-163.8949,6.2238,0.4568,3.8214,43.8961,1.906,,,
55000,,,1.5614,0.8187,0.1662,-168.8392,6.5558,0.457,3.6959,23.8338,1.8888,,,
55000,3091.3082,1000.0,,,,,,,,,,,,
55000,,,,,,,,,,,,1000,2200.9051,82.1547
55500,,,1.5633,0.8056,0.1663,-166.0966,10.0121,0.4825,3.4017,26.5375,1.9984,,,
56000,,,1.5498,0.8067,0.1656,-167.1612,6.1036,0.469,2.9192,67.7196,2.0541,,,
56000,,,,,,,,,,,,1000,2420.5546,100.5568
