env_steps,return,length,train/length,train/return,FPS,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
53000,,,,,,3904.9121,-44.1823,-44.1823,3910.5271,22839.8047,1.4119,81.8511,0.8809
53500,,,,,,3692.1697,-44.1823,-44.1823,3698.2703,19783.3965,2.1443,68.2476,1.3242
54000,,,,,,3765.6865,-44.1823,-44.1823,3771.8965,21987.0059,1.8781,100.0012,1.2818
54406,,,1600,-116.266,81.5784,,,,,,,,
54500,,,,,,3905.1982,-44.1823,-44.1823,3908.9617,25497.3887,1.6491,57.555,0.8537
55000,,,,,,4034.5354,-44.1823,-44.1823,4040.3989,22506.0391,1.49,76.3178,0.6438
55000,-147.6325,1150.4,,,,,,,,,,,
55500,,,,,,4076.5254,-44.1823,-44.1823,4082.4668,27135.9922,1.5354,100.8799,1.0624
56000,,,,,,3963.5422,-44.1823,-44.1823,3972.0388,27225.8047,1.1732,72.647,1.0178
56006,,,1600,-139.4099,54.4046,,,,,,,,
56500,,,,,,3892.7126,-44.1823,-44.1823,3896.5903,29777.0039,2.6322,73.4953,0.758
57000,,,,,,4343.2305,-44.1823,-44.1823,4349.5913,41850.5391,2.1088,110.1369,0.8519
57500,,,,,,4368.0312,-44.1823,-44.1823,4372.585,29567.668,1.5185,91.2884,0.7909
57606,,,1600,-126.7262,82.668,,,,,,,,
58000,,,,,,4573.6885,-44.1823,-44.1823,4578.8887,22287.4648,1.9698,134.9025,0.9796
58500,,,,,,4095.0637,-44.1823,-44.1823,4100.397,29990.0801,1.1298,64.0215,0.7886
59000,,,,,,4064.0271,-44.1823,-44.1823,4069.2395,22009.1445,1.5601,105.8222,1.0022
59206,,,1600,-117.1655,81.8075,,,,,,,,
59500,,,,,,4177.0356,-44.1823,-44.1823,4183.604,24195.877,1.9904,77.7585,0.9743
59976,,,770,-141.9192,82.1956,,,,,,,,
60000,,,,,,4218.3125,-44.1823,-44.1823,4225.4575,32447.373,1.8187,144.6367,1.2769
60000,-127.3357,589.3,,,,,,,,,,,
60083,,,107,-115.9256,17.1363,,,,,,,,
60466,,,383,-111.7732,81.6262,,,,,,,,
60500,,,,,,4115.5322,-44.1823,-44.1823,4121.8447,22129.2207,1.6596,110.368,1.0019
61000,,,,,,4184.2666,-44.1823,-44.1823,4190.6191,24399.5586,2.0576,91.0769,1.24
61500,,,,,,4041.0591,-44.1823,-44.1823,4047.7029,27387.3984,1.3426,95.6831,1.1252
62000,,,,,,4399.4517,-44.1823,-44.1823,4406.8535,31598.1816,2.7339,135.5225,0.8152
62066,,,1600,-82.3549,81.9377,,,,,,,,
62158,,,92,-114.0148,82.5358,,,,,,,,
62500,,,,,,4378.249,-44.1823,-44.1823,4383.8555,28802.9492,1.8518,87.4886,1.1066
63000,,,,,,4431.936,-44.1823,-44.1823,4438.437,28582.4375,1.327,99.2624,1.243
63243,,,1085,-158.2278,82.4577,,,,,,,,
63500,,,,,,4244.6382,-44.1823,-44.1823,4251.5005,37093.2148,2.2506,140.7598,0.8927
