env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
51000,,,1.211,0.6241,0.5125,135.1518,20.7374,1.4869,-0.5128,1.0119,60.6823,0.645,,,
51000,,,,,,,,,,,,,1000,48.9458,48.7923
51500,,,1.2273,0.6518,0.5039,140.8868,29.6316,1.5408,-0.4913,1.1742,49.4478,0.7021,,,
52000,,,1.1922,0.631,0.498,136.3497,43.033,1.4916,-0.4959,1.2819,60.9522,0.5335,,,
52000,,,,,,,,,,,,,1000,-18.9528,47.3687
52500,,,1.1933,0.6097,0.4902,130.1655,47.7443,1.4106,-0.4849,2.5925,90.7701,1.4983,,,
53000,,,1.2301,0.6294,0.5067,139.3656,43.6194,1.5073,-0.4668,1.2281,42.1978,0.6724,,,
53000,,,,,,,,,,,,,1000,-104.0454,48.7892
53500,,,1.2452,0.6011,0.5034,128.0643,46.8202,1.3998,-0.5142,1.0529,38.6652,0.8254,,,
54000,,,1.2099,0.6298,0.4988,141.9135,94.1168,1.5332,-0.4897,0.9143,34.2222,1.08,,,
54000,,,,,,,,,,,,,1000,-230.7099,47.7225
54500,,,1.2114,0.6189,0.4972,137.2073,126.0731,1.4853,-0.4841,0.9235,39.1744,0.9545,,,
55000,,,1.2317,0.6183,0.5006,140.4377,127.5922,1.5144,-0.4674,1.0806,20.7092,0.7361,,,
55000,-375.4203,1000.0,,,,,,,,,,,,,
55000,,,,,,,,,,,,,1000,-150.1265,45.4044
55500,,,1.1952,0.6301,0.4771,131.7657,26.5036,1.426,-0.4798,0.8634,34.9445,0.7079,,,
56000,,,1.1718,0.6393,0.4659,133.5602,75.0053,1.4422,-0.4995,0.9759,20.1417,0.6065,,,
56000,,,,,,,,,,,,,1000,-224.5621,47.7177
56500,,,1.186,0.6185,0.4548,128.1539,163.6799,1.3881,-0.4634,1.2052,41.16,0.6018,,,
57000,,,1.176,0.6088,0.3481,110.045,64.913,1.2109,-0.2775,1.7486,24.2416,1.2112,,,
57000,,,,,,,,,,,,,1000,-206.634,48.0477
57500,,,1.3298,0.6394,0.3864,59.8278,9.4893,0.7043,-0.3614,2.2763,31.7612,0.7225,,,
58000,,,1.2698,0.6025,0.4667,91.4244,8.2156,1.023,-0.4489,1.1458,22.6625,0.2854,,,
58000,,,,,,,,,,,,,1000,-335.0089,48.292
58500,,,1.2326,0.6317,0.4896,119.2955,7.6023,1.2976,-0.4762,0.9736,23.3119,0.6184,,,
59000,,,1.1743,0.6553,0.4745,130.3311,5.511,1.4107,-0.4526,0.8462,13.0676,0.5403,,,
59000,,,,,,,,,,,,,1000,-252.9701,48.0163
59500,,,1.1717,0.628,0.4723,124.8774,5.6316,1.3572,-0.4593,0.6064,18.0007,0.2579,,,
60000,,,1.1549,0.5957,0.4703,119.0516,5.3859,1.2982,-0.4991,0.6186,14.4715,0.6887,,,
60000,-110.8865,1000.0,,,,,,,,,,,,,
60000,,,,,,,,,,,,,1000,39.0872,44.4713
60500,,,1.1626,0.5948,0.4701,116.1802,6.8857,1.2665,-0.4753,0.6497,25.2848,0.6676,,,
61000,,,1.1322,0.6166,0.4543,122.1629,5.5011,1.3255,-0.4851,0.5968,18.0538,0.7169,,,
61000,,,,,,,,,,,,,1000,53.9497,47.7339
