env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
73500,,,7053.3535,7435.188,260163.9531,7053.3535,654.1308,5793.1016,5.8919,,,
73500,,,,,,,,,,500,-1618.4912,76.3235
74000,,,8102.8096,8491.0898,401015.5312,8102.8096,219.279,5785.1401,4.4998,,,
74000,,,,,,,,,,500,-1811.7056,77.3043
74500,,,7616.9248,7991.4629,419315.0312,7616.9248,105.0112,4585.6621,4.3488,,,
74500,,,,,,,,,,500,-685.488,78.1684
75000,,,7765.874,8146.8135,212778.1406,7765.874,91.8234,10059.3721,5.9657,,,
75000,-10187.9098,500.0,,,,,,,,,,
75000,,,,,,,,,,500,-2342.034,57.1605
75500,,,8324.1953,8695.6787,449744.4062,8324.1953,123.1901,5506.2305,4.2499,,,
75500,,,,,,,,,,500,-1789.7577,74.3499
76000,,,7251.8857,7621.209,504155.625,7251.8857,101.5995,10566.9102,4.839,,,
76000,,,,,,,,,,500,-1229.8919,75.8729
76500,,,8570.2031,8951.9834,434567.4688,8570.2031,191.8851,8161.4688,5.1144,,,
76500,,,,,,,,,,500,-2919.3576,81.861
77000,,,8190.75,8556.5029,378335.3125,8190.75,234.2126,8902.543,6.6888,,,
77000,,,,,,,,,,500,-1318.1081,74.491
77500,,,6790.4849,7160.6094,271245.4688,6790.4849,208.1394,4719.2974,4.5175,,,
77500,,,,,,,,,,500,-2185.5503,76.0585
78000,,,7338.7627,7711.9575,219141.2656,7338.7627,139.2946,4944.8164,5.0249,,,
78000,,,,,,,,,,500,-2970.6292,76.4531
78500,,,7970.6475,8350.4014,242088.3125,7970.6475,86.8142,7957.4355,5.412,,,
78500,,,,,,,,,,500,-1179.5863,80.8061
79000,,,7426.2881,7796.585,304937.25,7426.2881,167.076,5543.4761,6.5786,,,
79000,,,,,,,,,,500,-4520.5301,75.8383
79500,,,7068.2847,7435.1216,345256.4375,7068.2847,142.8176,7420.6924,3.9873,,,
79500,,,,,,,,,,500,-5038.3281,77.4604
80000,,,6750.0503,7112.4175,377953.625,6750.0503,156.256,6154.0571,6.6439,,,
80000,-10716.379,500.0,,,,,,,,,,
80000,,,,,,,,,,500,-745.3245,55.9178
80500,,,9603.9238,9971.1152,470289.2812,9603.9238,203.0456,6312.6562,4.7989,,,
80500,,,,,,,,,,500,-1898.7928,76.258
81000,,,7385.8936,7746.3716,278753.4062,7385.8936,160.792,6491.6104,4.8729,,,
81000,,,,,,,,,,500,-1433.3244,78.6611
81500,,,8523.1768,8885.2207,681247.9375,8523.1768,164.5773,6322.4009,4.4819,,,
81500,,,,,,,,,,500,-2491.4146,76.6317
82000,,,6701.4844,7054.6035,308124.5,6701.4844,176.8763,8091.9478,6.1744,,,
82000,,,,,,,,,,500,-825.7007,75.0281
82500,,,8730.2969,9090.0137,561984.75,8730.2969,82.1443,9495.7344,4.3893,,,
82500,,,,,,,,,,500,-1122.1919,76.9881
83000,,,8243.4463,8594.8574,513827.2188,8243.4463,147.9441,8530.5381,5.1518,,,
83000,,,,,,,,,,500,-1415.9117,76.2643
83500,,,7432.7363,7791.8179,310716.5312,7432.7363,194.8003,7495.9526,7.0971,,,
83500,,,,,,,,,,500,-4734.2668,79.6633
84000,,,7164.3379,7523.6055,425845.7188,7164.3379,80.1767,3892.9563,4.4335,,,
