env_steps,return,length,success,train/return,train/length,train/success,zp_loss,rp_loss,critic_loss,FPS
3740000,0.9519,7.7,1.0,0.8619,7.5815,0.9538,0.0009,0.0,0.0012,620.7128
3750000,0.94,9.6,1.0,0.8555,7.5188,0.9504,0.0009,0.0,0.0012,613.3945
3760000,0.9688,5.0,1.0,0.8644,7.6278,0.955,0.0009,0.0,0.0012,618.9423
3770000,0.9394,9.7,1.0,0.866,7.6104,0.9559,0.0009,0.0,0.0012,622.1986
3780000,0.9587,6.6,1.0,0.8564,7.4019,0.9504,0.0009,0.0,0.0012,622.0861
3790000,0.9575,6.8,1.0,0.851,7.4627,0.9478,0.0009,0.0,0.0012,621.7327
3800000,0.9594,6.5,1.0,0.855,7.4738,0.9499,0.0009,0.0,0.0012,620.4933
3810000,0.9688,5.0,1.0,0.8656,7.4516,0.9553,0.0009,0.0,0.0012,622.0228
3820000,0.9594,6.5,1.0,0.8566,7.5586,0.9509,0.0009,0.0,0.0012,620.9097
3830000,0.9612,6.2,1.0,0.8405,7.4019,0.9423,0.0009,0.0,0.0012,618.6093
3840000,0.9494,8.1,1.0,0.8572,7.4516,0.9508,0.0009,0.0,0.0012,616.099
3850000,0.96,6.4,1.0,0.8656,7.4683,0.9552,0.0009,0.0,0.0012,615.5809
3860000,0.9744,4.1,1.0,0.865,7.2516,0.9543,0.0009,0.0,0.0012,619.4217
3870000,0.9412,9.4,1.0,0.8604,7.5019,0.9527,0.0009,0.0,0.0012,609.5762
3880000,0.9512,7.8,1.0,0.857,7.4349,0.9509,0.0009,0.0,0.0012,611.816
3890000,0.9344,10.5,1.0,0.8573,7.4294,0.951,0.0009,0.0,0.0012,622.6781
3900000,0.9644,5.7,1.0,0.8475,7.6394,0.9465,0.0009,0.0,0.0012,622.7717
3910000,0.9456,8.7,1.0,0.8685,7.3692,0.9565,0.0009,0.0,0.0012,620.2483
3920000,0.9625,6.0,1.0,0.8619,7.4184,0.9533,0.0009,0.0,0.0012,612.2456
3930000,0.9537,7.4,1.0,0.86,7.593,0.9529,0.0009,0.0,0.0012,615.1804
3940000,0.9575,6.8,1.0,0.864,7.2569,0.9536,0.0009,0.0,0.0012,616.0932
3950000,0.9475,8.4,1.0,0.8591,7.3421,0.9515,0.0009,0.0,0.0012,618.835
3960000,0.9419,9.3,1.0,0.8618,7.3584,0.9529,0.0009,0.0,0.0012,613.7224
3970000,0.9631,5.9,1.0,0.8403,7.4738,0.9425,0.0009,0.0,0.0012,617.0865
3980000,0.9569,6.9,1.0,0.8642,7.3584,0.9544,0.0009,0.0,0.0012,617.863
3990000,0.9537,7.4,1.0,0.8653,7.5643,0.9554,0.0009,0.0,0.0012,618.1918
4000000,0.9519,7.7,1.0,0.8603,7.2727,0.952,0.0009,0.0,0.0012,613.4229
