env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
10051,,,54,268.0547,15.946,,,,,,,,,,,,,
10093,,,42,205.225,22.8908,,,,,,,,,,,,,
10132,,,39,198.5352,23.5334,,,,,,,,,,,,,
10187,,,55,289.3619,25.5316,,,,,,,,,,,,,
10229,,,42,211.0293,22.3262,,,,,,,,,,,,,
10254,,,25,119.4572,21.2183,,,,,,,,,,,,,
10308,,,54,253.8131,23.2748,,,,,,,,,,,,,
10362,,,54,261.9656,24.9607,,,,,,,,,,,,,
10416,,,54,278.7935,22.4821,,,,,,,,,,,,,
10459,,,43,207.542,26.0642,,,,,,,,,,,,,
10500,,,,,,50,50,31,21.2227,98.6971,54.6106,-44.177,-178.2162,72.867,98.6971,166.2298,415.8242,1.5243
10507,,,48,251.7348,22.6986,,,,,,,,,,,,,
10552,,,45,219.0954,24.9096,,,,,,,,,,,,,
10608,,,56,281.8048,23.0615,,,,,,,,,,,,,
10665,,,57,284.2807,22.9764,,,,,,,,,,,,,
10713,,,48,222.2668,23.02,,,,,,,,,,,,,
10755,,,42,211.9335,22.2673,,,,,,,,,,,,,
10801,,,46,234.2442,28.2293,,,,,,,,,,,,,
10857,,,56,263.2254,26.7672,,,,,,,,,,,,,
10914,,,57,255.8728,24.8849,,,,,,,,,,,,,
10969,,,55,266.4126,29.6004,,,,,,,,,,,,,
11000,,,,,,50,50,32,19.2778,97.9481,52.946,-44.1796,-179.412,91.209,97.9481,181.9484,414.7677,1.0284
11020,,,51,239.2881,25.386,,,,,,,,,,,,,
11083,,,63,326.3873,23.6362,,,,,,,,,,,,,
11146,,,63,325.2854,23.0672,,,,,,,,,,,,,
11210,,,64,308.5619,23.5853,,,,,,,,,,,,,
11263,,,53,282.9028,23.2268,,,,,,,,,,,,,
11312,,,49,257.9565,22.0012,,,,,,,,,,,,,
11365,,,53,287.5275,25.1297,,,,,,,,,,,,,
11411,,,46,214.9539,25.6964,,,,,,,,,,,,,
11432,,,21,101.7339,26.4377,,,,,,,,,,,,,
11488,,,56,268.5261,23.4777,,,,,,,,,,,,,
11500,,,,,,50,50,34,18.8947,99.306,54.3504,-44.1784,-196.9863,84.3375,99.306,232.4864,640.2399,1.2097
11538,,,50,268.7649,23.8596,,,,,,,,,,,,,
11588,,,50,265.7528,22.8969,,,,,,,,,,,,,
11607,,,19,93.8285,24.1884,,,,,,,,,,,,,
11664,,,57,316.8975,25.2024,,,,,,,,,,,,,
11712,,,48,252.7128,25.1633,,,,,,,,,,,,,
11767,,,55,280.131,24.8173,,,,,,,,,,,,,
11809,,,42,227.2108,25.3414,,,,,,,,,,,,,
11870,,,61,333.6237,29.226,,,,,,,,,,,,,
11892,,,22,109.1988,29.6275,,,,,,,,,,,,,
11940,,,48,260.5617,22.8348,,,,,,,,,,,,,
12000,,,,,,50,50,32,20.4488,98.3175,54.373,-44.1796,-196.931,88.4264,98.3175,265.8326,693.5824,0.9719
12020,,,80,409.466,23.7274,,,,,,,,,,,,,
12052,,,32,151.9655,26.2348,,,,,,,,,,,,,
12097,,,45,237.0003,22.7234,,,,,,,,,,,,,
12145,,,48,262.4743,22.3829,,,,,,,,,,,,,
12222,,,77,391.8225,28.1053,,,,,,,,,,,,,
12273,,,51,273.9815,26.8608,,,,,,,,,,,,,
12322,,,49,265.2956,23.1644,,,,,,,,,,,,,
12372,,,50,267.9647,24.4087,,,,,,,,,,,,,
12422,,,50,261.9905,29.0445,,,,,,,,,,,,,
12471,,,49,259.9033,29.3987,,,,,,,,,,,,,
12500,,,,,,50,50,32,20.3517,100.2343,55.6748,-44.1811,-202.9093,103.382,100.2343,397.1003,1428.5215,1.1549
12522,,,51,269.1572,30.0702,,,,,,,,,,,,,
12584,,,62,326.4449,26.9992,,,,,,,,,,,,,
12636,,,52,280.237,26.8347,,,,,,,,,,,,,
12656,,,20,99.1744,30.0951,,,,,,,,,,,,,
12697,,,41,211.496,29.9191,,,,,,,,,,,,,
12722,,,25,125.7127,29.3582,,,,,,,,,,,,,
12771,,,49,265.5204,29.9242,,,,,,,,,,,,,
12816,,,45,237.4412,29.2283,,,,,,,,,,,,,
12874,,,58,302.1786,23.6532,,,,,,,,,,,,,
12919,,,45,237.43,24.8986,,,,,,,,,,,,,
12975,,,56,296.9188,24.3096,,,,,,,,,,,,,
13000,,,,,,50,50,34,17.3062,99.3724,53.7475,-44.1807,-221.1479,99.2448,99.3724,236.3649,638.5557,1.4024
13031,,,56,287.5069,23.305,,,,,,,,,,,,,
13057,,,26,131.304,23.499,,,,,,,,,,,,,
13095,,,38,206.6393,27.0293,,,,,,,,,,,,,
13133,,,38,190.026,21.7311,,,,,,,,,,,,,
13183,,,50,263.5372,24.0568,,,,,,,,,,,,,
13239,,,56,300.3084,23.2968,,,,,,,,,,,,,
13289,,,50,258.7789,24.0447,,,,,,,,,,,,,
13329,,,40,209.2278,22.2368,,,,,,,,,,,,,
13375,,,46,226.6999,23.2202,,,,,,,,,,,,,
13419,,,44,226.1875,23.7416,,,,,,,,,,,,,
13481,,,62,299.7478,22.6311,,,,,,,,,,,,,
13500,,,,,,50,50,32,20.1601,99.9054,55.1621,-44.1812,-208.049,78.6251,99.9054,251.7079,997.006,1.7491
13538,,,57,288.1237,22.4348,,,,,,,,,,,,,
13597,,,59,312.0402,28.535,,,,,,,,,,,,,
13642,,,45,234.965,24.2719,,,,,,,,,,,,,
13665,,,23,115.5665,22.9931,,,,,,,,,,,,,
13719,,,54,285.4821,23.7046,,,,,,,,,,,,,
13771,,,52,273.0951,23.1165,,,,,,,,,,,,,
13833,,,62,313.7639,25.9761,,,,,,,,,,,,,
13887,,,54,267.4223,27.9119,,,,,,,,,,,,,
13938,,,51,253.2104,22.9333,,,,,,,,,,,,,
13982,,,44,193.9261,25.7363,,,,,,,,,,,,,
14000,,,,,,50,50,35,18.3431,100.3464,56.4269,-44.1813,-229.983,92.9754,100.3464,310.3926,1320.6917,1.625
14037,,,55,284.3632,26.6163,,,,,,,,,,,,,
14063,,,26,125.9953,27.1659,,,,,,,,,,,,,
14105,,,42,224.3073,21.9743,,,,,,,,,,,,,
14158,,,53,271.5645,21.8538,,,,,,,,,,,,,
14203,,,45,206.7035,25.4761,,,,,,,,,,,,,
