env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
5813,,,9,9.0,84.0119,,,,,,,
5817,,,4,4.0,84.6962,,,,,,,
5834,,,17,17.0,84.2314,,,,,,,
5838,,,4,4.0,83.1481,,,,,,,
5849,,,11,11.0,84.4446,,,,,,,
5864,,,15,15.0,83.6689,,,,,,,
5878,,,14,14.0,83.8718,,,,,,,
5897,,,19,19.0,84.0353,,,,,,,
5902,,,5,5.0,84.3826,,,,,,,
5908,,,6,6.0,83.9275,,,,,,,
5914,,,6,6.0,83.6496,,,,,,,
5918,,,4,4.0,84.4753,,,,,,,
5923,,,5,5.0,83.8609,,,,,,,
5951,,,28,28.0,84.3135,,,,,,,
5958,,,7,7.0,79.9409,,,,,,,
5961,,,3,3.0,84.5336,,,,,,,
5978,,,17,17.0,83.849,,,,,,,
5982,,,4,4.0,83.322,,,,,,,
5987,,,5,5.0,84.288,,,,,,,
6000,,,,,,-22.4467,0.728,0.001,-0.0205,5.0974,48.6065,0.6202
6008,,,21,21.0,84.0408,,,,,,,
6021,,,13,13.0,81.8955,,,,,,,
6056,,,35,35.0,84.426,,,,,,,
6064,,,8,8.0,83.438,,,,,,,
6071,,,7,7.0,81.1962,,,,,,,
6078,,,7,7.0,82.4764,,,,,,,
6082,,,4,4.0,83.3249,,,,,,,
6088,,,6,6.0,84.2704,,,,,,,
6110,,,22,22.0,84.3931,,,,,,,
6116,,,6,6.0,84.2568,,,,,,,
6124,,,8,8.0,83.571,,,,,,,
6132,,,8,8.0,84.0702,,,,,,,
6148,,,16,16.0,81.9347,,,,,,,
6162,,,14,14.0,84.4581,,,,,,,
6182,,,20,20.0,84.1689,,,,,,,
6207,,,25,25.0,82.8347,,,,,,,
6220,,,13,13.0,80.8593,,,,,,,
6223,,,3,3.0,72.1009,,,,,,,
6228,,,5,5.0,84.2149,,,,,,,
6259,,,31,31.0,83.8561,,,,,,,
6267,,,8,8.0,84.0866,,,,,,,
6282,,,15,15.0,84.263,,,,,,,
6290,,,8,8.0,84.4037,,,,,,,
6298,,,8,8.0,84.1991,,,,,,,
6302,,,4,4.0,83.551,,,,,,,
6318,,,16,16.0,84.4928,,,,,,,
6323,,,5,5.0,84.3999,,,,,,,
6332,,,9,9.0,84.6193,,,,,,,
6336,,,4,4.0,83.028,,,,,,,
6340,,,4,4.0,85.151,,,,,,,
6350,,,10,10.0,81.846,,,,,,,
6359,,,9,9.0,84.0475,,,,,,,
6365,,,6,6.0,84.9542,,,,,,,
6378,,,13,13.0,82.0625,,,,,,,
6382,,,4,4.0,79.7745,,,,,,,
6399,,,17,17.0,84.2344,,,,,,,
6403,,,4,4.0,83.4754,,,,,,,
6407,,,4,4.0,84.5852,,,,,,,
6418,,,11,11.0,83.8099,,,,,,,
6421,,,3,3.0,78.7929,,,,,,,
6454,,,33,33.0,80.8088,,,,,,,
6465,,,11,11.0,83.984,,,,,,,
6470,,,5,5.0,83.8499,,,,,,,
6476,,,6,6.0,84.1292,,,,,,,
6490,,,14,14.0,84.4689,,,,,,,
6495,,,5,5.0,83.6615,,,,,,,
6500,,,,,,-23.8933,3.2398,0.0007,-0.0137,4.4872,24.7729,1.9601
6511,,,16,16.0,82.2607,,,,,,,
6517,,,6,6.0,79.5659,,,,,,,
6524,,,7,7.0,83.2397,,,,,,,
6533,,,9,9.0,84.5478,,,,,,,
6539,,,6,6.0,83.8056,,,,,,,
6551,,,12,12.0,83.9366,,,,,,,
6555,,,4,4.0,85.0047,,,,,,,
6564,,,9,9.0,84.4151,,,,,,,
6572,,,8,8.0,84.5368,,,,,,,
6608,,,36,36.0,84.1295,,,,,,,
6618,,,10,10.0,84.7002,,,,,,,
6622,,,4,4.0,82.6065,,,,,,,
