env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
110000,,,478.0741,330.6808,79413.0,478.0741,7.9985,558.4411,5.5573,,,
110000,8550.3688,1000.0,,,,,,,,,,
110000,,,,,,,,,,1000,8187.3066,33.1255
110500,,,476.5756,327.3418,42561.8711,476.5756,7.4971,854.5808,5.3188,,,
111000,,,570.5248,510.8885,106317.6094,570.5248,8.7996,255.9845,3.8989,,,
111000,,,,,,,,,,1000,8146.5979,40.7591
111500,,,504.1352,374.887,49335.4219,504.1352,6.8841,366.493,5.3073,,,
112000,,,510.242,384.5615,65015.9219,510.242,7.3771,713.6427,6.9092,,,
112000,,,,,,,,,,1000,8113.6139,41.0582
112500,,,519.3025,402.8818,56656.5391,519.3025,6.9898,389.661,6.9124,,,
113000,,,468.8981,295.1808,54843.0469,468.8981,6.6512,512.4069,8.4433,,,
113000,,,,,,,,,,1000,8166.3798,41.9543
113500,,,513.0338,386.4536,64843.3242,513.0338,8.4887,974.9163,3.7355,,,
114000,,,457.7843,266.6304,71781.5234,457.7843,6.7954,518.879,6.6008,,,
114000,,,,,,,,,,1000,8077.826,41.547
114500,,,528.4331,407.714,64976.2109,528.4331,6.7881,206.8842,11.3575,,,
115000,,,494.4044,337.9832,56808.3242,494.4044,7.7467,375.5489,4.6089,,,
115000,8673.2369,1000.0,,,,,,,,,,
115000,,,,,,,,,,1000,8121.495,33.4418
115500,,,561.6028,467.136,82611.0938,561.6028,8.0078,389.2513,5.4362,,,
116000,,,441.6066,224.8193,31399.4434,441.6066,7.8839,530.5029,7.0265,,,
116000,,,,,,,,,,1000,8313.4779,41.1878
116500,,,471.8932,279.6552,70123.9531,471.8932,7.4566,585.2049,5.9323,,,
