env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
99000,,,-313.7749,3.9494,0.002,-0.0351,3.1441,224.1028,3.456,,,
99000,,,,,,,,,,1000,5061.7195,35.8075
99500,,,-321.7755,4.8126,0.0022,-0.0366,2.9525,210.0526,6.9493,,,
100000,,,-317.37,4.5243,0.0025,-0.0396,3.1351,174.3936,7.9384,,,
100000,5296.3738,1000.0,,,,,,,,,,
100000,,,,,,,,,,1000,5153.3028,31.4112
100500,,,-322.1234,4.0751,0.0023,-0.0377,2.8525,144.41,4.014,,,
101000,,,-325.0895,4.2155,0.003,-0.0405,3.4179,256.3025,3.9882,,,
101000,,,,,,,,,,1000,5182.3896,28.1678
101500,,,-330.5146,4.5582,0.0021,-0.0358,2.8174,211.5412,7.5417,,,
102000,,,-333.2802,4.6281,0.0022,-0.0364,2.9041,92.7855,4.1133,,,
102000,,,,,,,,,,1000,5156.3748,34.051
102500,,,-335.8519,4.8788,0.002,-0.0352,2.8353,127.4111,4.7366,,,
103000,,,-339.5804,5.0402,0.0028,-0.0434,3.0053,155.0491,6.948,,,
103000,,,,,,,,,,1000,5268.2988,32.2139
103500,,,-342.8604,3.7488,0.0024,-0.0379,2.7872,143.5221,5.2252,,,
104000,,,-347.245,3.7741,0.0026,-0.0397,3.0312,151.9603,6.6878,,,
104000,,,,,,,,,,1000,5278.3176,36.1551
104500,,,-341.8569,3.775,0.0021,-0.0355,3.2026,226.5569,6.0722,,,
105000,,,-343.2726,4.0888,0.0022,-0.0377,3.0589,101.1585,6.1424,,,
105000,5525.9231,1000.0,,,,,,,,,,
105000,,,,,,,,,,1000,5292.902,30.7301
105500,,,-342.5796,5.5283,0.0023,-0.0382,3.0849,130.1592,9.6611,,,
106000,,,-351.4465,3.4389,0.0023,-0.0387,2.7066,112.0642,7.938,,,
106000,,,,,,,,,,1000,5273.233,35.414
106500,,,-358.5361,4.5782,0.0021,-0.0362,3.267,142.6213,5.2839,,,
107000,,,-353.143,5.7656,0.002,-0.034,3.2138,157.9745,7.9182,,,
107000,,,,,,,,,,1000,5233.7239,35.4121
107500,,,-354.8487,4.1806,0.0022,-0.0379,2.7039,74.546,6.0425,,,
108000,,,-362.6307,5.9595,0.0024,-0.0389,2.6447,125.9617,5.8466,,,
108000,,,,,,,,,,1000,5294.7054,35.4553
108500,,,-356.0823,3.9546,0.0021,-0.0351,2.7988,115.5789,4.9912,,,
109000,,,-362.6978,4.8304,0.002,-0.0353,2.717,106.5787,7.553,,,
109000,,,,,,,,,,1000,5413.557,35.433
109500,,,-376.2466,5.1978,0.0023,-0.0385,2.8044,124.6576,8.5691,,,
110000,,,-371.5299,6.398,0.0018,-0.0333,2.9869,161.0437,8.8273,,,
110000,5639.7792,1000.0,,,,,,,,,,
110000,,,,,,,,,,1000,5402.2902,30.6706
110500,,,-366.9874,4.5533,0.0022,-0.0359,2.7486,117.7974,4.9798,,,
111000,,,-370.3015,3.9506,0.0023,-0.0374,2.881,114.6382,5.6458,,,
111000,,,,,,,,,,1000,5403.4738,34.8332
111500,,,-373.2986,3.7472,0.002,-0.0342,2.9723,331.0832,7.433,,,
112000,,,-379.2097,4.6472,0.0021,-0.0358,3.0152,125.3073,5.9271,,,
112000,,,,,,,,,,1000,5523.7996,36.0506
112500,,,-380.4042,4.0907,0.0019,-0.0326,3.1601,156.0181,9.8778,,,
113000,,,-393.7867,4.7084,0.0021,-0.0371,3.2259,271.4472,8.4793,,,
113000,,,,,,,,,,1000,5477.8742,35.6954
113500,,,-382.6274,5.4233,0.0019,-0.0337,2.8537,113.0782,9.8282,,,
114000,,,-393.4419,4.8148,0.0019,-0.0335,3.0631,132.4104,4.35,,,
114000,,,,,,,,,,1000,5599.6602,36.0604
114500,,,-397.4491,6.4658,0.0023,-0.0374,2.9794,171.3195,12.0112,,,
115000,,,-395.7632,4.4007,0.0021,-0.0354,3.3274,224.8399,5.7622,,,
115000,5909.6267,1000.0,,,,,,,,,,
