env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
54000,,,0.3781,0.8372,0.096,-210.8244,7.2368,0.0853,-0.1839,4.9865,155.991,4.502,,,
54000,,,,,,,,,,,,,1000,2838.2422,17.0283
54500,,,0.3854,0.8334,0.1194,-215.2628,5.3044,0.0771,-0.2375,3.5669,183.4796,2.6914,,,
55000,,,0.3794,0.8475,0.1227,-217.5323,8.3813,0.0719,-0.2505,3.6514,169.9666,3.119,,,
55000,4443.715,1000.0,,,,,,,,,,,,,
55000,,,,,,,,,,,,,1000,3021.5277,15.9417
55500,,,0.3795,0.8407,0.1181,-225.8475,7.1531,0.0741,-0.2404,3.0357,159.1284,2.6338,,,
56000,,,0.3738,0.842,0.1184,-222.8638,4.7724,0.0709,-0.2296,3.1916,138.629,2.7073,,,
56000,,,,,,,,,,,,,1000,3253.2467,17.1606
56500,,,0.3758,0.8454,0.1154,-224.0055,7.3152,0.0735,-0.2367,3.213,166.3589,4.8136,,,
57000,,,0.3763,0.8511,0.118,-227.4214,5.35,0.0727,-0.2351,3.4637,180.1079,2.2071,,,
57000,,,,,,,,,,,,,1000,3139.2108,16.4255
57500,,,0.3788,0.8509,0.1199,-228.102,5.564,0.0729,-0.2327,3.6168,185.2166,2.0913,,,
58000,,,0.3771,0.8401,0.3696,-225.1751,5.2134,0.0102,-0.6846,3.4698,100.1082,1.4802,,,
58000,,,,,,,,,,,,,1000,3040.6409,16.3337
58500,,,0.3718,0.8546,0.1029,-233.9228,8.4462,0.079,-0.2322,3.6613,174.2893,4.1858,,,
59000,,,0.3799,0.8484,0.1188,-238.283,6.514,0.0743,-0.2381,3.0579,215.46,2.4146,,,
59000,,,,,,,,,,,,,1000,3126.6278,16.9313
59500,,,0.3789,0.8475,0.1182,-237.1424,5.5482,0.0737,-0.2377,3.0622,247.6873,2.5641,,,
60000,,,0.3705,0.8557,0.1147,-241.8944,5.7588,0.0717,-0.224,3.3905,171.4159,3.475,,,
60000,4797.4742,1000.0,,,,,,,,,,,,,
60000,,,,,,,,,,,,,1000,3288.6633,15.5288
60500,,,0.37,0.8592,0.1156,-239.5821,6.3007,0.0703,-0.2295,3.3727,105.9549,3.991,,,
61000,,,0.3715,0.8586,0.113,-248.559,6.5193,0.0724,-0.2199,3.053,105.6902,3.4131,,,
61000,,,,,,,,,,,,,1000,3115.433,17.0052
61500,,,0.3728,0.8581,0.1152,-243.0373,6.1422,0.0723,-0.2283,3.6487,154.9362,3.3348,,,
62000,,,0.3716,0.858,0.1137,-252.8076,4.7332,0.072,-0.2228,3.9262,188.5337,2.8454,,,
62000,,,,,,,,,,,,,1000,3188.8105,17.0246
62500,,,0.368,0.8452,0.1119,-252.5537,6.1415,0.0713,-0.2246,3.5479,249.8552,3.052,,,
63000,,,0.3767,0.8719,0.1181,-251.0019,7.9475,0.0728,-0.2265,3.561,332.1148,4.3853,,,
63000,,,,,,,,,,,,,1000,3582.1237,16.767
63500,,,0.3736,0.8703,0.1172,-254.5688,5.3606,0.0717,-0.226,3.5153,239.805,2.8439,,,
64000,,,0.3649,0.8674,0.1113,-259.8527,6.9684,0.0697,-0.2229,3.3473,170.8137,3.4297,,,
64000,,,,,,,,,,,,,1000,3606.8525,17.2221
64500,,,0.3743,0.8674,0.1167,-258.0547,5.6089,0.0722,-0.2355,3.389,223.6313,2.708,,,
65000,,,0.3708,0.8658,0.1162,-259.9412,5.328,0.0713,-0.2402,3.7053,218.4545,2.9278,,,
65000,4972.8948,1000.0,,,,,,,,,,,,,
65000,,,,,,,,,,,,,1000,3623.7435,15.9936
65500,,,0.3689,0.8589,0.1133,-266.6135,4.6741,0.0709,-0.2253,4.0979,194.5954,2.3803,,,
66000,,,0.3703,0.8646,0.1139,-266.5999,8.7815,0.0717,-0.2221,3.7601,171.2207,4.2218,,,
66000,,,,,,,,,,,,,1000,3823.6331,16.9634
66500,,,0.3676,0.8639,0.1135,-265.6802,5.9753,0.0704,-0.2292,3.32,98.6274,3.4523,,,
67000,,,0.372,0.8702,0.1169,-266.178,5.758,0.0707,-0.2295,3.7784,222.2935,2.4277,,,
67000,,,,,,,,,,,,,1000,3738.5348,17.4012
67500,,,0.361,0.8542,0.109,-275.0444,6.0688,0.069,-0.226,3.1981,151.142,4.8469,,,
68000,,,0.378,0.8785,0.1193,-272.2527,7.4488,0.0724,-0.2318,3.5044,211.2169,2.3103,,,
68000,,,,,,,,,,,,,1000,3951.2101,16.9888
68500,,,0.3654,0.8672,0.1119,-279.7173,7.0802,0.0701,-0.2285,3.9746,368.223,2.5323,,,
69000,,,0.3713,0.8715,0.1161,-278.2966,6.3315,0.0707,-0.2297,3.7405,151.3304,2.8694,,,
69000,,,,,,,,,,,,,1000,4012.4579,16.7546
69500,,,0.3695,0.8744,0.1119,-280.9619,6.3455,0.0721,-0.2229,3.9111,196.8386,3.3275,,,
70000,,,0.3583,0.8746,0.1087,-287.1929,6.1212,0.0681,-0.2177,3.9396,164.4112,3.098,,,
70000,5475.244,1000.0,,,,,,,,,,,,,
70000,,,,,,,,,,,,,1000,4210.6793,15.8153
70500,,,0.3681,0.8727,0.1169,-284.0163,5.9053,0.0692,-0.235,3.7724,205.4131,3.3819,,,
71000,,,0.3635,0.8731,0.1116,-294.465,6.966,0.0697,-0.2238,3.8029,214.4124,4.6007,,,
71000,,,,,,,,,,,,,1000,4185.8585,18.2304
71500,,,0.3696,0.8703,0.1163,-290.3365,7.5504,0.0701,-0.2252,4.1707,362.8299,4.3988,,,
72000,,,0.37,0.8868,0.1155,-292.5128,6.0842,0.0705,-0.2266,4.2023,333.2945,2.9518,,,
72000,,,,,,,,,,,,,1000,4031.369,17.0861
72500,,,0.3644,0.884,0.113,-294.8311,6.6466,0.0685,-0.2324,3.9564,331.3535,4.7765,,,
73000,,,0.3599,0.8793,0.1106,-299.4929,7.2703,0.0675,-0.221,3.7807,175.8176,4.9574,,,
73000,,,,,,,,,,,,,1000,4351.125,16.9512
73500,,,0.3623,0.8832,0.1106,-297.8337,5.3387,0.0691,-0.2242,4.9555,403.2778,1.3716,,,
74000,,,0.3749,0.8912,0.1157,-300.9951,5.4168,0.0733,-0.2399,3.9122,288.4117,1.9196,,,
74000,,,,,,,,,,,,,1000,4510.9619,17.4536
74500,,,0.3593,0.8807,0.1083,-301.0342,7.347,0.0686,-0.2224,4.0244,227.525,4.9287,,,
75000,,,0.367,0.8789,0.1172,-305.2084,4.7937,0.0678,-0.2372,6.3809,434.6112,3.1874,,,
75000,5663.7357,1000.0,,,,,,,,,,,,,
75000,,,,,,,,,,,,,1000,4619.5516,15.5787
75500,,,0.3599,0.8734,0.1117,-312.4646,5.8632,0.0676,-0.2218,4.8511,223.6287,3.4228,,,
76000,,,0.3624,0.8849,0.113,-311.8474,6.5485,0.0684,-0.2264,7.6524,278.4454,4.4788,,,
76000,,,,,,,,,,,,,1000,4650.8893,17.1045
76500,,,0.3614,0.8863,0.1097,-313.2822,5.7617,0.069,-0.2225,4.8476,317.9019,3.5469,,,
77000,,,0.365,0.8876,0.1119,-320.8956,4.994,0.0697,-0.23,4.2659,337.314,3.7639,,,
77000,,,,,,,,,,,,,1000,4950.461,17.6924
77500,,,0.3674,0.8737,0.1125,-313.9709,7.1972,0.0708,-0.227,4.9714,225.3324,6.3834,,,
78000,,,0.3677,0.8948,0.1152,-318.5456,5.3627,0.0695,-0.2305,4.6065,313.0892,2.9902,,,
78000,,,,,,,,,,,,,1000,4934.7239,17.2409
78500,,,0.3742,0.8995,0.1175,-322.3678,6.4534,0.0719,-0.2319,3.4918,204.7509,3.8245,,,
79000,,,0.3605,0.8956,0.11,-325.6543,7.6211,0.0682,-0.2222,4.9256,209.061,3.8086,,,
79000,,,,,,,,,,,,,1000,5177.6178,18.0962
79500,,,0.3677,0.9008,0.1134,-328.8011,6.769,0.0706,-0.2233,4.7475,170.2013,4.2825,,,
80000,,,0.3562,0.9001,0.1098,-332.2317,6.9103,0.0665,-0.2227,5.0538,158.4969,2.4447,,,
80000,6068.3069,1000.0,,,,,,,,,,,,,
80000,,,,,,,,,,,,,1000,5163.7793,15.2659
80500,,,0.3661,0.8902,0.1129,-334.2729,8.2523,0.0696,-0.2271,4.9403,397.5714,7.3335,,,
81000,,,0.3626,0.8861,0.1115,-336.4132,4.9869,0.069,-0.2242,4.289,280.1236,3.2992,,,
81000,,,,,,,,,,,,,1000,5323.9045,17.2801
