env_steps,return,length,success,train/return,train/length,train/success,zp_loss,rp_loss,critic_loss,FPS
2070000,0.8894,17.7,1.0,0.6714,13.3869,0.8742,0.0012,0.0,0.0013,659.7643
2080000,0.8912,17.4,1.0,0.6775,13.6799,0.8782,0.0012,0.0,0.0013,667.2496
2090000,0.9144,13.7,1.0,0.6902,13.6054,0.8844,0.0012,0.0001,0.0014,664.9983
2100000,0.9344,10.5,1.0,0.6831,13.5501,0.8808,0.0012,0.0,0.0012,657.5149
2110000,0.9106,14.3,1.0,0.7263,13.624,0.9033,0.0011,0.0,0.0013,663.3131
2120000,0.9119,14.1,1.0,0.7301,13.5685,0.905,0.0012,0.0,0.0013,662.8753
2130000,0.9269,11.7,1.0,0.669,13.1926,0.872,0.0012,0.0,0.0013,660.0606
2140000,0.9119,14.1,1.0,0.7209,13.7741,0.9008,0.0011,0.0,0.0013,661.5165
2150000,0.9056,15.1,1.0,0.7134,13.7552,0.8968,0.0011,0.0,0.0013,660.1947
2160000,0.91,14.4,1.0,0.7303,13.5685,0.905,0.0011,0.0,0.0013,659.7727
2170000,0.9094,14.5,1.0,0.6834,13.3511,0.8798,0.0012,0.0,0.0013,655.4253
2180000,0.9056,15.1,1.0,0.7452,13.3333,0.912,0.0012,0.0,0.0013,662.6702
2190000,0.9206,12.7,1.0,0.7573,13.7174,0.9191,0.0012,0.0,0.0013,659.5502
2200000,0.9025,15.6,1.0,0.7289,13.6612,0.9044,0.0012,0.0,0.0013,655.5316
2210000,0.9244,12.1,1.0,0.7177,13.5501,0.8984,0.0012,0.0,0.0013,654.475
2220000,0.9069,14.9,1.0,0.6788,13.5318,0.8782,0.0012,0.0,0.0013,649.4459
2230000,0.9244,12.1,1.0,0.6889,13.4048,0.8834,0.0011,0.0,0.0013,651.7048
2240000,0.9244,12.1,1.0,0.6841,13.7552,0.8817,0.0011,0.0,0.0013,656.9288
2250000,0.925,12.0,1.0,0.7157,13.624,0.8978,0.0011,0.0,0.0013,652.5957
2260000,0.9075,14.8,1.0,0.7204,13.5318,0.8999,0.0012,0.0,0.0013,655.0175
2270000,0.9075,14.8,1.0,0.7301,13.459,0.9044,0.0012,0.0,0.0013,650.2023
2280000,0.9125,14.0,1.0,0.7251,13.5501,0.9024,0.0012,0.0,0.0013,649.2349
2290000,0.8919,17.3,1.0,0.6855,13.7931,0.8828,0.0012,0.0,0.0013,647.9206
2300000,0.9,16.0,1.0,0.7446,13.1926,0.9116,0.0012,0.0,0.0013,650.8871
2310000,0.9131,13.9,1.0,0.6812,13.4953,0.8799,0.0012,0.0,0.0013,650.7398
2320000,0.9,16.0,1.0,0.7053,13.7174,0.893,0.0012,0.0,0.0013,653.9242
2330000,0.9,16.0,1.0,0.7078,13.3869,0.8929,0.0012,0.0,0.0013,650.161
2340000,0.93,11.2,1.0,0.7028,13.8313,0.8921,0.0012,0.0,0.0013,640.4419
2350000,0.8969,16.5,1.0,0.6917,13.369,0.885,0.0012,0.0,0.0013,641.1535
2360000,0.9156,13.5,1.0,0.7123,13.6799,0.896,0.0012,0.0,0.0013,642.1787
2370000,0.9106,14.3,1.0,0.6604,12.7065,0.8666,0.0012,0.0,0.0013,647.2518
2380000,0.9056,15.1,1.0,0.7305,13.7174,0.9053,0.0012,0.0,0.0013,648.982
2390000,0.8994,16.1,1.0,0.7399,13.3333,0.9093,0.0012,0.0,0.0013,646.2071
2400000,0.9137,13.8,1.0,0.7002,13.4953,0.8893,0.0012,0.0,0.0013,641.5174
2410000,0.9056,15.1,1.0,0.7525,13.7931,0.9172,0.0011,0.0,0.0013,644.9675
2420000,0.9187,13.0,1.0,0.727,13.587,0.9035,0.0012,0.0,0.0013,648.4246
2430000,0.9137,13.8,1.0,0.7054,13.6054,0.8925,0.0012,0.0,0.0013,649.1416
2440000,0.915,13.6,1.0,0.7148,13.4228,0.8966,0.0012,0.0,0.0013,647.6711
2450000,0.9269,11.7,1.0,0.7177,13.6799,0.8988,0.0012,0.0,0.0013,644.8336
2460000,0.9131,13.9,1.0,0.6684,13.2979,0.8723,0.0012,0.0,0.0013,646.8978
2470000,0.9162,13.4,1.0,0.7379,13.5685,0.9091,0.0012,0.0,0.0013,640.876
2480000,0.9206,12.7,1.0,0.6961,13.8122,0.8881,0.0012,0.0,0.0013,635.1067
2490000,0.9056,15.1,1.0,0.7063,13.8504,0.8934,0.0012,0.0,0.0013,634.9891
2500000,0.9219,12.5,1.0,0.6562,13.3333,0.8667,0.0012,0.0,0.0013,633.996
2510000,0.8881,17.9,1.0,0.6946,13.624,0.8869,0.0012,0.0,0.0013,638.3354
2520000,0.9188,13.0,1.0,0.7082,13.4409,0.8938,0.0012,0.0,0.0013,632.7899
2530000,0.93,11.2,1.0,0.7301,13.3156,0.9041,0.0012,0.0,0.0013,628.8049
2540000,0.9069,14.9,1.0,0.7416,13.7931,0.9117,0.0012,0.0,0.0013,638.1663
2550000,0.8988,16.2,1.0,0.7058,13.3333,0.892,0.0012,0.0,0.0013,628.2556
2560000,0.9231,12.3,1.0,0.6441,13.4409,0.8602,0.0012,0.0,0.0013,632.643
2570000,0.9144,13.7,1.0,0.7132,13.3869,0.8956,0.0012,0.0,0.0013,639.7068
2580000,0.9113,14.2,1.0,0.7107,13.7552,0.8955,0.0012,0.0,0.0013,637.1071
2590000,0.9056,15.1,1.0,0.7445,13.7552,0.9133,0.0012,0.0,0.0013,637.6592
2600000,0.9344,10.5,1.0,0.7464,13.2802,0.9124,0.0012,0.0,0.0013,629.1336
2610000,0.8975,16.4,1.0,0.6858,13.4228,0.8819,0.0012,0.0,0.0013,635.4002
2620000,0.9069,14.9,1.0,0.7387,13.8122,0.9102,0.0012,0.0,0.0013,628.9907
2630000,0.88,19.2,1.0,0.7311,13.8122,0.9061,0.0012,0.0,0.0013,629.0137
2640000,0.9213,12.6,1.0,0.6529,13.6054,0.8653,0.0012,0.0,0.0013,626.7545
2650000,0.9081,14.7,1.0,0.7198,13.1752,0.8986,0.0012,0.0,0.0013,631.5172
2660000,0.9275,11.6,1.0,0.7244,13.7174,0.9026,0.0012,0.0,0.0013,625.4835
2670000,0.9238,12.2,1.0,0.7116,13.4228,0.8953,0.0012,0.0,0.0013,623.9403
2680000,0.9006,15.9,1.0,0.7419,13.7552,0.912,0.0012,0.0,0.0013,626.535
2690000,0.9175,13.2,1.0,0.7018,13.2979,0.8896,0.0012,0.0,0.0013,626.5754
2700000,0.8912,17.4,1.0,0.7215,13.7363,0.9011,0.0012,0.0,0.0013,623.6842
2710000,0.9069,14.9,1.0,0.7322,13.7363,0.9066,0.0012,0.0,0.0013,625.8012
2720000,0.9169,13.3,1.0,0.6988,13.8122,0.8895,0.0012,0.0,0.0013,620.2925
2730000,0.91,14.4,1.0,0.7241,13.7363,0.9025,0.0012,0.0,0.0013,622.2088
2740000,0.9181,13.1,1.0,0.6698,13.3511,0.8732,0.0012,0.0,0.0013,617.7657
2750000,0.9206,12.7,1.0,0.7303,13.2979,0.9043,0.0012,0.0,0.0013,624.5408
2760000,0.9287,11.4,1.0,0.7377,12.9199,0.907,0.0012,0.0,0.0013,622.8427
2770000,0.9056,15.1,1.0,0.6839,13.2802,0.8805,0.0012,0.0,0.0013,617.8263
2780000,0.8925,17.2,1.0,0.7666,13.5685,0.924,0.0012,0.0,0.0013,622.8751
2790000,0.91,14.4,1.0,0.7281,13.5501,0.9038,0.0012,0.0,0.0013,620.9989
2800000,0.9212,12.6,1.0,0.7504,13.9082,0.9166,0.0012,0.0,0.0013,623.6941
2810000,0.9138,13.8,1.0,0.7469,13.5135,0.9135,0.0012,0.0,0.0013,614.8209
2820000,0.915,13.6,1.0,0.6946,13.6986,0.8863,0.0012,0.0,0.0014,616.1027
2830000,0.9194,12.9,1.0,0.7282,13.2626,0.9032,0.0012,0.0,0.0012,620.8237
2840000,0.9038,15.4,1.0,0.6839,13.5318,0.8809,0.0011,0.0,0.0013,617.6626
2850000,0.9194,12.9,1.0,0.7397,13.7552,0.9106,0.0012,0.0,0.0013,609.9738
2860000,0.9194,12.9,1.0,0.7175,13.4048,0.8981,0.0012,0.0,0.0013,619.4454
2870000,0.9062,15.0,1.0,0.7543,13.5685,0.9172,0.0012,0.0,0.0013,619.6565
2880000,0.9125,14.0,1.0,0.7111,13.3511,0.8945,0.0012,0.0,0.0013,611.1922
2890000,0.8906,17.5,1.0,0.7045,13.5318,0.8917,0.0012,0.0,0.0013,617.4639
2900000,0.905,15.2,1.0,0.7184,13.4953,0.8988,0.0012,0.0,0.0013,611.7209
2910000,0.9088,14.6,1.0,0.7068,13.5501,0.893,0.0012,0.0,0.0013,617.8539
2920000,0.9194,12.9,1.0,0.7092,13.2979,0.8936,0.0012,0.0,0.0013,616.4265
2930000,0.9081,14.7,1.0,0.741,13.5501,0.9106,0.0012,0.0,0.0013,614.3038
2940000,0.905,15.2,1.0,0.7083,13.6054,0.8939,0.0012,0.0,0.0013,613.9209
