env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
25000,,,,,,2639.302,2650.6902,19748.291,2639.302,2.1158,99.2962,0.4506
25000,-116.8671,56.5,,,,,,,,,,
25082,,,1600,-117.4583,83.7606,,,,,,,
25151,,,69,-118.565,88.107,,,,,,,
25500,,,,,,2643.6685,2655.3669,14624.4287,2643.6685,2.154,109.2651,0.4698
26000,,,,,,2723.4668,2734.0925,18620.0684,2723.4668,1.8566,117.48,0.3807
26337,,,1186,-194.8481,85.2865,,,,,,,
26500,,,,,,2741.3706,2752.729,14776.3662,2741.3706,2.9325,62.4803,0.6987
26542,,,205,-139.078,85.0921,,,,,,,
26603,,,61,-113.3407,86.2013,,,,,,,
26704,,,101,-114.6279,84.6988,,,,,,,
26782,,,78,-114.8074,84.6367,,,,,,,
26888,,,106,-113.0747,80.7153,,,,,,,
26970,,,82,-112.752,84.709,,,,,,,
27000,,,,,,2617.6184,2628.9165,14545.999,2617.6184,2.7228,233.5993,0.5227
27165,,,195,-122.9494,86.9294,,,,,,,
27292,,,127,-105.1396,86.0863,,,,,,,
27500,,,,,,2761.4614,2773.3921,23999.0059,2761.4614,2.2042,72.2177,0.4395
28000,,,,,,2836.1362,2848.7791,26492.7344,2836.1362,2.6149,177.2825,0.3885
28500,,,,,,2805.8479,2818.4426,25991.5137,2805.8479,2.0956,127.7075,0.5036
28892,,,1600,-114.1404,85.4009,,,,,,,
28968,,,76,-113.6134,85.147,,,,,,,
29000,,,,,,2842.2715,2854.9802,33347.2031,2842.2715,2.302,89.6764,0.4419
29057,,,89,-114.1235,82.2806,,,,,,,
29155,,,98,-115.2038,83.1293,,,,,,,
29297,,,142,-113.2844,83.153,,,,,,,
29360,,,63,-115.0542,85.311,,,,,,,
29500,,,,,,2707.98,2719.9827,18123.5996,2707.98,2.7283,152.8636,0.575
30000,,,,,,2941.832,2954.1721,20324.6289,2941.832,3.6309,224.3043,0.6731
30000,-129.4911,639.1,,,,,,,,,,
30171,,,811,-187.0668,66.3936,,,,,,,
30274,,,103,-114.5621,83.6783,,,,,,,
30377,,,103,-96.4238,83.7208,,,,,,,
30500,,,,,,2995.0234,3008.512,38069.875,2995.0234,3.1573,163.2637,0.838
31000,,,,,,2859.3489,2873.3733,20810.3477,2859.3489,3.2441,113.5705,0.5127
31500,,,,,,3018.5977,3029.8501,29361.2461,3018.5977,2.7845,95.3992,0.6156
31977,,,1600,-148.11,85.1061,,,,,,,
32000,,,,,,2877.0486,2887.9883,19674.8496,2877.0486,2.9352,126.0459,0.5633
32500,,,,,,2824.5073,2837.6416,16596.5918,2824.5073,2.5611,156.036,0.5832
32736,,,759,-185.9888,84.7913,,,,,,,
32884,,,148,-141.0697,83.2521,,,,,,,
33000,,,,,,2771.5908,2784.4702,15781.041,2771.5908,3.1583,206.8671,0.576
