env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
74500,,,-368.7335,4.7107,0.0019,-0.0353,2.9412,178.5621,5.2167,,,
75000,,,-368.619,5.0716,0.0026,-0.0404,2.8648,191.2307,4.908,,,
75000,5290.1172,1000.0,,,,,,,,,,
75000,,,,,,,,,,1000,4624.416,73.5552
75500,,,-375.4485,4.8525,0.0028,-0.043,2.9254,224.3864,4.4362,,,
76000,,,-373.8782,6.0102,0.0027,-0.0408,3.3566,99.9101,6.9379,,,
76000,,,,,,,,,,1000,4460.6049,85.9509
76500,,,-376.9375,5.5811,0.0034,-0.0407,2.7871,273.9728,7.2656,,,
77000,,,-378.3877,3.9888,0.0025,-0.0387,3.3108,199.6891,4.7664,,,
77000,,,,,,,,,,1000,4778.8809,82.0884
77500,,,-373.9146,5.6372,0.0026,-0.0413,2.8038,150.5226,7.3808,,,
78000,,,-376.5704,5.8924,0.0026,-0.0396,2.736,166.4745,6.8398,,,
78000,,,,,,,,,,1000,4531.847,82.5856
78500,,,-377.8201,3.8936,0.0024,-0.0397,2.8477,244.1531,5.7992,,,
79000,,,-382.7522,4.0401,0.003,-0.0434,2.7792,172.456,3.2496,,,
79000,,,,,,,,,,1000,4741.2155,83.051
79500,,,-386.4611,4.0145,0.0024,-0.0384,3.0126,314.6693,6.144,,,
80000,,,-388.028,4.0426,0.0026,-0.041,2.9737,190.9671,4.2703,,,
80000,5240.392,1000.0,,,,,,,,,,
80000,,,,,,,,,,1000,4807.2053,73.8594
80500,,,-387.4507,4.2531,0.0026,-0.0399,2.8174,132.4141,5.5875,,,
81000,,,-389.8711,4.8144,0.0026,-0.0403,3.1982,303.7573,7.7575,,,
81000,,,,,,,,,,1000,4766.8493,82.1519
81500,,,-393.0923,4.0075,0.0027,-0.0419,2.7577,276.1095,4.7963,,,
82000,,,-394.1743,5.0441,0.0019,-0.0333,2.8301,276.6573,4.966,,,
82000,,,,,,,,,,1000,4859.9649,82.0338
82500,,,-397.0579,4.5084,0.0028,-0.042,2.7597,123.3641,8.4481,,,
83000,,,-392.0455,3.7523,0.0022,-0.0367,2.6082,130.8722,3.5486,,,
83000,,,,,,,,,,1000,4819.9116,82.2695
83500,,,-389.5931,4.4818,0.0021,-0.0351,2.9268,219.9815,4.7473,,,
84000,,,-398.9165,4.7779,0.0029,-0.0433,2.9497,324.5862,5.3403,,,
84000,,,,,,,,,,1000,4815.4337,82.0692
84500,,,-398.4968,4.2255,0.0027,-0.0394,2.6436,191.9751,5.4451,,,
85000,,,-398.9123,4.3408,0.0021,-0.0354,2.8017,275.3408,4.7665,,,
85000,5333.1851,1000.0,,,,,,,,,,
85000,,,,,,,,,,1000,4908.6565,74.8428
85500,,,-403.776,3.8158,0.0022,-0.0367,2.7765,283.3891,6.4293,,,
86000,,,-402.6358,4.2882,0.0024,-0.0389,2.6642,116.5912,3.5123,,,
86000,,,,,,,,,,1000,4943.0652,82.3504
86500,,,-400.5205,5.478,0.0024,-0.0401,2.5005,138.2859,7.3085,,,
87000,,,-409.1105,4.5303,0.0021,-0.0353,2.6065,119.1574,6.2686,,,
87000,,,,,,,,,,1000,5026.6109,82.3944
87500,,,-404.9612,4.0721,0.0022,-0.0367,2.4613,84.3427,5.5239,,,
88000,,,-412.1133,4.5929,0.0031,-0.0417,2.5732,258.119,8.2294,,,
88000,,,,,,,,,,1000,5093.5679,82.0523
88500,,,-410.2832,4.2318,0.0025,-0.038,2.4199,197.662,5.0329,,,
89000,,,-413.9982,3.41,0.0022,-0.0369,2.4697,168.7008,4.6633,,,
89000,,,,,,,,,,1000,5176.2647,81.8907
89500,,,-413.8357,3.6221,0.0023,-0.037,2.4842,172.1595,4.2023,,,
90000,,,-413.6792,3.9568,0.0021,-0.035,2.7095,275.034,4.3046,,,
90000,5534.5851,1000.0,,,,,,,,,,
90000,,,,,,,,,,1000,5009.4874,74.7316
90500,,,-415.6608,3.9954,0.0023,-0.0387,2.9202,293.2321,4.7597,,,
91000,,,-419.3816,3.7995,0.0019,-0.0338,2.5979,153.3238,4.3136,,,
91000,,,,,,,,,,1000,5241.1048,84.314
91500,,,-419.484,5.0736,0.0023,-0.0379,2.4559,135.6049,5.2469,,,
92000,,,-420.0976,4.4017,0.0026,-0.0393,3.177,254.6772,5.6246,,,
92000,,,,,,,,,,1000,5240.1743,82.1997
92500,,,-422.5479,5.2437,0.0019,-0.034,2.9888,298.8804,9.3404,,,
93000,,,-424.9684,4.5611,0.002,-0.0348,2.1828,131.4194,5.5455,,,
93000,,,,,,,,,,1000,5189.1898,82.0088
93500,,,-425.8608,4.1219,0.0023,-0.0378,2.5869,187.273,5.5719,,,
94000,,,-425.9629,4.4199,0.0021,-0.037,2.2306,108.7462,5.7668,,,
94000,,,,,,,,,,1000,5290.7273,81.6986
94500,,,-428.6115,4.2627,0.002,-0.0364,2.4375,190.0,6.1732,,,
95000,,,-426.6707,6.7052,0.0021,-0.0358,2.4244,103.9157,6.6112,,,
95000,5493.8278,1000.0,,,,,,,,,,
95000,,,,,,,,,,1000,5262.9228,74.573
95500,,,-437.1526,4.2766,0.0019,-0.0346,2.3758,166.9904,7.2679,,,
96000,,,-433.0612,4.6121,0.0021,-0.036,2.4849,117.4131,6.0757,,,
96000,,,,,,,,,,1000,5379.6246,82.6033
96500,,,-437.1398,3.688,0.0021,-0.0366,2.7401,314.7057,5.6504,,,
