env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
22000,,,,,,25,4,1,1451.3397,1.2335,1.1891,9.9083,1.2386,118.2819,139.4389,62.086,-7.4414,2.5436,447.4739,0.0
22089,,,101,-102.6781,18.5924,,,,,,,,,,,,,,,
22500,,,,,,26,4,1,1505.2736,1.1624,1.1899,8.0398,1.2301,120.5988,137.8071,62.9622,-8.8986,2.1022,235.8224,0.0392
22770,,,681,-165.1652,18.927,,,,,,,,,,,,,,,
22912,,,142,-117.1179,18.0918,,,,,,,,,,,,,,,
22977,,,65,-108.9294,19.6751,,,,,,,,,,,,,,,
23000,,,,,,26,4,1,1454.3894,1.1386,1.1889,26.5484,1.3217,148.3737,90.9111,90.1801,-18.4879,4.804,919.3251,0.7597
23051,,,74,-104.3604,18.7595,,,,,,,,,,,,,,,
23112,,,61,-110.0173,18.982,,,,,,,,,,,,,,,
23171,,,59,-109.0607,19.1616,,,,,,,,,,,,,,,
23237,,,66,-110.0066,19.0344,,,,,,,,,,,,,,,
23382,,,145,-115.0024,20.0459,,,,,,,,,,,,,,,
23450,,,68,-99.9615,19.0959,,,,,,,,,,,,,,,
23500,,,,,,28,4,1,1451.467,1.0888,1.1886,24.0216,1.3087,133.3893,98.9683,73.8821,-24.6146,2.7776,599.9027,0.0
24000,,,,,,28,4,1,1465.8428,1.1555,0.8015,10.0856,0.852,102.2937,89.3491,44.3507,-5.4333,2.0205,375.3448,0.2365
24122,,,672,-162.9862,19.0485,,,,,,,,,,,,,,,
24199,,,77,-123.7586,20.6216,,,,,,,,,,,,,,,
24500,,,,,,27,4,1,1467.1012,1.299,1.1873,12.8835,1.2517,134.7815,59.9793,79.4087,-14.9169,2.4364,297.9594,0.0866
25000,,,,,,27,4,1,1451.4515,0.8145,0.7999,19.5098,0.8974,108.7312,185.0487,50.8847,-10.3848,1.6283,408.2307,0.3161
25000,-110.1498,67.0,,,,,,,,,,,,,,,,,,
25093,,,894,-183.4682,19.9873,,,,,,,,,,,,,,,
25500,,,,,,27,4,1,1501.3892,1.3186,2.3542,8.7506,2.3979,178.6662,32.2283,125.7716,-14.8439,2.9692,698.2365,0.0021
26000,,,,,,28,5,1,1586.0751,1.1167,1.9628,9.2523,2.0091,180.6182,18.2041,126.05,-13.0431,3.2254,326.6244,0.4356
26500,,,,,,29,5,1,1418.4895,1.876,2.7407,11.7032,2.7992,172.7374,113.4189,122.7303,-8.0224,4.3852,498.3724,0.0909
26693,,,1600,-137.3352,18.8052,,,,,,,,,,,,,,,
27000,,,,,,31,4,1,1416.6865,0.8845,0.7989,9.2148,0.845,108.1635,49.0783,61.715,-6.7573,7.4042,1390.02,0.1979
27500,,,,,,29,4,1,1433.0713,1.0741,1.1853,11.7123,1.2439,137.7964,81.6394,92.4194,-16.845,4.4528,861.7135,0.0094
28000,,,,,,31,4,1,1337.0314,1.7834,2.3482,37.4967,2.5357,125.049,48.3942,84.627,-20.5062,4.7583,527.2974,0.0546
28293,,,1600,-138.3276,18.7694,,,,,,,,,,,,,,,
28500,,,,,,30,4,1,1397.177,1.009,1.5707,19.8198,1.6698,130.9399,50.5965,90.2163,-22.9076,4.9694,946.715,0.1619
29000,,,,,,30,4,1,1381.3164,1.5041,1.5761,32.1837,1.737,131.9939,64.1293,90.0929,-26.9955,4.7649,588.4297,0.1471
29500,,,,,,28,4,1,1426.683,1.0102,1.1836,13.0922,1.249,83.2703,111.8688,48.3453,-11.5176,6.2484,1481.6605,0.0967
29893,,,1600,-139.067,14.7232,,,,,,,,,,,,,,,
30000,,,,,,28,4,1,1441.9856,1.0609,0.7943,27.1335,0.9299,75.3606,65.5423,39.6904,-29.3063,6.4053,782.1044,0.0667
30000,-181.806,1600.0,,,,,,,,,,,,,,,,,,
30500,,,,,,29,4,1,1409.8207,1.0286,1.5698,31.1413,1.7255,93.3067,131.4143,60.2676,-25.6191,4.1325,251.0907,0.0178
31000,,,,,,29,4,1,1447.1923,1.1675,1.5734,23.7047,1.6919,120.0843,113.9726,85.837,-27.0697,4.5209,348.4109,0.0106
31493,,,1600,-130.6567,9.4744,,,,,,,,,,,,,,,
31500,,,,,,29,4,1,1415.7877,1.0072,1.188,19.3854,1.285,90.4749,56.855,58.1596,-16.7505,3.3635,323.4739,0.0148
32000,,,,,,28,4,1,1442.7485,0.8847,1.1815,27.158,1.3172,106.9468,9.7802,75.2214,-10.8499,3.767,175.4831,0.2849
32500,,,,,,27,4,1,1448.2169,0.5944,0.4065,14.9072,0.481,67.7757,26.8003,35.8215,-29.7791,3.9462,468.1959,0.0059
33000,,,,,,29,4,1,1411.7053,1.0164,1.57,6.7805,1.6039,109.6077,339.8334,79.1595,-8.5999,4.6856,340.1305,0.0891
33093,,,1600,-139.4635,10.5756,,,,,,,,,,,,,,,
33500,,,,,,29,4,1,1445.922,1.1257,1.5735,15.2789,1.6499,121.421,48.2781,92.2931,-21.0746,4.9865,959.4437,0.0
34000,,,,,,30,4,1,1442.5753,1.0243,1.1815,16.5624,1.2643,91.6713,63.9079,59.3909,-15.0897,3.0431,545.3286,0.0
34500,,,,,,29,4,1,1458.2645,1.1952,1.1836,13.6049,1.2517,96.5974,36.8556,65.7841,-23.394,3.3822,634.6552,0.0
34693,,,1600,-137.2904,10.486,,,,,,,,,,,,,,,
35000,,,,,,30,3,1,1462.5165,1.574,1.5771,36.6624,1.7605,169.1859,119.2975,138.4871,-17.803,4.3229,310.6801,0.4004
35000,-181.8339,1600.0,,,,,,,,,,,,,,,,,,
35500,,,,,,28,3,1,1417.619,0.9483,1.1802,15.8045,1.2592,93.9401,94.8553,64.278,-9.401,4.3904,499.2952,0.0
36000,,,,,,30,3,1,1412.5037,0.7639,0.0171,25.8203,0.1462,44.6822,62.8016,14.504,-29.1174,6.3808,1201.2705,0.1897
36293,,,1600,-139.0467,9.6329,,,,,,,,,,,,,,,
36500,,,,,,29,4,1,1442.5269,1.292,1.1832,18.0162,1.2733,109.1674,91.8457,79.5145,-25.1516,6.4465,1352.2828,0.2019
37000,,,,,,30,4,1,1426.3156,1.2834,1.9633,46.2375,2.1945,146.2164,28.1685,114.8995,-46.8401,2.6293,507.5254,0.1267
37500,,,,,,31,4,1,1376.0555,1.5681,1.5699,61.5516,1.8776,112.0635,88.2771,83.5472,-48.4084,6.3913,569.2036,0.0526
37893,,,1600,-140.3119,10.489,,,,,,,,,,,,,,,
38000,,,,,,30,3,1,1401.1267,0.5433,0.4044,37.9038,0.5939,50.214,129.2286,20.6525,-38.29,8.5125,912.9678,0.0295
38500,,,,,,31,4,1,1447.4042,0.9979,1.1801,13.3307,1.2468,109.1148,39.9091,81.1346,-33.7438,4.549,445.1917,0.0126
39000,,,,,,27,2,1,1420.8407,0.3716,0.0153,36.6621,0.1986,28.6209,5.6886,0.8602,-41.6758,4.6386,481.3959,0.0
39493,,,1600,-140.5267,10.6923,,,,,,,,,,,,,,,
39500,,,,,,27,3,1,1463.7284,0.9914,0.7915,35.333,0.9681,65.0781,41.4332,36.8135,-34.6946,6.7617,1206.6377,0.1964
40000,,,,,,29,3,1,1437.6342,1.0614,1.5695,31.7816,1.7284,82.3543,97.4118,53.8454,-21.6254,4.8129,597.918,0.0396
