env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
17729,,,12,11.1371,92.5777,,,,,,,,,
17750,,,21,28.8336,93.2684,,,,,,,,,
17894,,,144,263.204,95.0201,,,,,,,,,
18000,,,,,,0.8584,0.7393,0.0816,-142.7796,7.5337,0.2624,84.1648,348.2991,1.7753
18028,,,134,328.6747,93.2201,,,,,,,,,
18155,,,127,275.3468,96.2898,,,,,,,,,
18174,,,19,21.9812,98.7936,,,,,,,,,
18260,,,86,158.0955,95.9079,,,,,,,,,
18320,,,60,105.894,93.3375,,,,,,,,,
18409,,,89,185.3804,93.1289,,,,,,,,,
18447,,,38,49.0885,93.1881,,,,,,,,,
18500,,,,,,0.8635,0.7481,0.0825,-143.5702,11.4727,0.258,119.7635,237.462,0.9015
18520,,,73,120.7777,93.1707,,,,,,,,,
18538,,,18,18.5164,92.4589,,,,,,,,,
18613,,,75,161.9274,92.74,,,,,,,,,
18621,,,8,6.9419,92.938,,,,,,,,,
18722,,,101,201.4343,95.0783,,,,,,,,,
18771,,,49,71.2434,97.4386,,,,,,,,,
18782,,,11,12.3794,92.969,,,,,,,,,
18794,,,12,12.289,93.0013,,,,,,,,,
18805,,,11,10.6281,99.1593,,,,,,,,,
18814,,,9,8.1007,98.8567,,,,,,,,,
18853,,,39,61.1083,98.9821,,,,,,,,,
18904,,,51,79.15,97.577,,,,,,,,,
18921,,,17,23.6574,92.5891,,,,,,,,,
18948,,,27,41.4008,92.3907,,,,,,,,,
18957,,,9,7.4394,90.1607,,,,,,,,,
19000,,,,,,0.8337,0.7316,0.0766,-149.1548,6.0466,0.2324,136.2313,446.8735,2.0279
19027,,,70,127.8041,92.3252,,,,,,,,,
19035,,,8,6.7445,92.5359,,,,,,,,,
19056,,,21,21.8062,92.4503,,,,,,,,,
19091,,,35,56.9437,98.8586,,,,,,,,,
19107,,,16,19.6938,98.7637,,,,,,,,,
19185,,,78,137.1212,98.8535,,,,,,,,,
19216,,,31,47.981,99.0661,,,,,,,,,
19227,,,11,10.4889,99.0333,,,,,,,,,
19319,,,92,212.7717,99.1296,,,,,,,,,
19330,,,11,10.515,98.983,,,,,,,,,
19378,,,48,80.9973,99.0396,,,,,,,,,
19490,,,112,246.6189,98.2148,,,,,,,,,
19500,,,,,,0.8375,0.7441,0.0781,-150.0059,6.4416,0.2384,91.9718,188.6745,2.7351
19555,,,65,104.1942,93.12,,,,,,,,,
19652,,,97,224.7163,93.2836,,,,,,,,,
19691,,,39,60.2136,92.6714,,,,,,,,,
19716,,,25,37.693,93.2033,,,,,,,,,
19739,,,23,31.5421,90.7166,,,,,,,,,
