env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
5859,,,18,18.0,82.3548,,,,,,,,,,
5869,,,10,10.0,82.4934,,,,,,,,,,
5889,,,20,20.0,82.1506,,,,,,,,,,
5895,,,6,6.0,82.6475,,,,,,,,,,
5930,,,35,35.0,82.0778,,,,,,,,,,
5947,,,17,17.0,82.0599,,,,,,,,,,
5954,,,7,7.0,80.3192,,,,,,,,,,
5968,,,14,14.0,82.0359,,,,,,,,,,
5973,,,5,5.0,81.4732,,,,,,,,,,
5978,,,5,5.0,82.6627,,,,,,,,,,
5988,,,10,10.0,81.8885,,,,,,,,,,
5999,,,11,11.0,82.0346,,,,,,,,,,
6000,,,,,,0.215,0.5,0.114,-24.1986,0.9577,0.0197,-0.2286,4.8969,45.2095,0.637
6010,,,11,11.0,82.2545,,,,,,,,,,
6018,,,8,8.0,81.8968,,,,,,,,,,
6027,,,9,9.0,81.9513,,,,,,,,,,
6034,,,7,7.0,81.8401,,,,,,,,,,
6041,,,7,7.0,81.7519,,,,,,,,,,
6059,,,18,18.0,82.2087,,,,,,,,,,
6064,,,5,5.0,81.5153,,,,,,,,,,
6072,,,8,8.0,76.0259,,,,,,,,,,
6081,,,9,9.0,81.8672,,,,,,,,,,
6094,,,13,13.0,82.6135,,,,,,,,,,
6100,,,6,6.0,81.7949,,,,,,,,,,
6113,,,13,13.0,81.5483,,,,,,,,,,
6122,,,9,9.0,81.6203,,,,,,,,,,
6132,,,10,10.0,82.1297,,,,,,,,,,
6156,,,24,24.0,82.1233,,,,,,,,,,
6173,,,17,17.0,82.2365,,,,,,,,,,
6196,,,23,23.0,81.8765,,,,,,,,,,
6209,,,13,13.0,82.1084,,,,,,,,,,
6215,,,6,6.0,81.1424,,,,,,,,,,
6222,,,7,7.0,81.9742,,,,,,,,,,
6259,,,37,37.0,82.3316,,,,,,,,,,
6269,,,10,10.0,81.6468,,,,,,,,,,
6286,,,17,17.0,81.6977,,,,,,,,,,
6301,,,15,15.0,82.0536,,,,,,,,,,
6312,,,11,11.0,81.9768,,,,,,,,,,
6322,,,10,10.0,82.4412,,,,,,,,,,
6327,,,5,5.0,82.7139,,,,,,,,,,
6332,,,5,5.0,81.8375,,,,,,,,,,
6347,,,15,15.0,81.4323,,,,,,,,,,
6353,,,6,6.0,82.3551,,,,,,,,,,
6365,,,12,12.0,81.8244,,,,,,,,,,
6369,,,4,4.0,82.24,,,,,,,,,,
6388,,,19,19.0,82.2461,,,,,,,,,,
6394,,,6,6.0,82.7083,,,,,,,,,,
6398,,,4,4.0,81.6727,,,,,,,,,,
6414,,,16,16.0,82.0019,,,,,,,,,,
6418,,,4,4.0,82.8096,,,,,,,,,,
6422,,,4,4.0,81.9748,,,,,,,,,,
6450,,,28,28.0,81.9435,,,,,,,,,,
6457,,,7,7.0,82.2221,,,,,,,,,,
6475,,,18,18.0,82.2785,,,,,,,,,,
6483,,,8,8.0,81.8219,,,,,,,,,,
6491,,,8,8.0,81.5729,,,,,,,,,,
6500,,,,,,0.2207,0.5,0.1168,-24.7801,0.2462,0.0186,-0.228,4.4827,68.0269,0.2333
6502,,,11,11.0,82.2922,,,,,,,,,,
6521,,,19,19.0,81.7751,,,,,,,,,,
6529,,,8,8.0,81.8772,,,,,,,,,,
6538,,,9,9.0,81.7952,,,,,,,,,,
6542,,,4,4.0,82.4944,,,,,,,,,,
6553,,,11,11.0,81.5731,,,,,,,,,,
6560,,,7,7.0,82.9005,,,,,,,,,,
6564,,,4,4.0,81.8844,,,,,,,,,,
6568,,,4,4.0,83.2352,,,,,,,,,,
6574,,,6,6.0,81.3677,,,,,,,,,,
6579,,,5,5.0,81.1174,,,,,,,,,,
6594,,,15,15.0,82.4211,,,,,,,,,,
6602,,,8,8.0,81.7458,,,,,,,,,,
6615,,,13,13.0,81.7948,,,,,,,,,,
6619,,,4,4.0,82.5277,,,,,,,,,,
6632,,,13,13.0,81.6447,,,,,,,,,,
6638,,,6,6.0,81.5766,,,,,,,,,,
6642,,,4,4.0,82.6953,,,,,,,,,,
6654,,,12,12.0,81.6415,,,,,,,,,,
6662,,,8,8.0,82.4208,,,,,,,,,,
6671,,,9,9.0,81.8046,,,,,,,,,,
6682,,,11,11.0,82.0578,,,,,,,,,,
6696,,,14,14.0,79.8577,,,,,,,,,,
6713,,,17,17.0,82.1409,,,,,,,,,,
6717,,,4,4.0,81.6386,,,,,,,,,,
6729,,,12,12.0,79.4494,,,,,,,,,,
6766,,,37,37.0,81.8746,,,,,,,,,,
6772,,,6,6.0,81.5381,,,,,,,,,,
6792,,,20,20.0,81.9797,,,,,,,,,,
6800,,,8,8.0,82.1996,,,,,,,,,,
6805,,,5,5.0,78.0661,,,,,,,,,,
6811,,,6,6.0,79.3792,,,,,,,,,,
6816,,,5,5.0,82.6435,,,,,,,,,,
6825,,,9,9.0,82.3852,,,,,,,,,,
6832,,,7,7.0,82.3104,,,,,,,,,,
6835,,,3,3.0,80.1996,,,,,,,,,,
6841,,,6,6.0,82.3478,,,,,,,,,,
6845,,,4,4.0,81.4812,,,,,,,,,,
6848,,,3,3.0,83.2357,,,,,,,,,,
6860,,,12,12.0,81.5404,,,,,,,,,,
6865,,,5,5.0,82.6894,,,,,,,,,,
6874,,,9,9.0,82.1205,,,,,,,,,,
6897,,,23,23.0,82.2041,,,,,,,,,,
6916,,,19,19.0,82.1813,,,,,,,,,,
6922,,,6,6.0,81.8683,,,,,,,,,,
6929,,,7,7.0,81.7938,,,,,,,,,,
6943,,,14,14.0,81.9163,,,,,,,,,,
6959,,,16,16.0,82.4729,,,,,,,,,,
6975,,,16,16.0,81.8796,,,,,,,,,,
6988,,,13,13.0,82.1997,,,,,,,,,,
