env_steps,return,length,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
60500,,,4.9812,-394.298,115.859,4.9812,7.0029,401.3738,5.4253,,,
61000,,,5.1658,-396.8245,145.4321,5.1658,5.3331,208.6426,7.1098,,,
61000,,,,,,,,,,1000,4570.137,108.2391
61500,,,5.2352,-398.1246,120.3164,5.2352,5.2633,198.3162,6.1348,,,
62000,,,5.1787,-396.4878,153.092,5.1787,5.1162,291.5804,7.1938,,,
62000,,,,,,,,,,1000,4738.6697,107.0028
62500,,,5.6321,-406.997,141.0777,5.6321,6.1826,351.9691,12.9433,,,
63000,,,4.807,-400.5353,127.0065,4.807,5.3374,132.6291,6.6989,,,
63000,,,,,,,,,,1000,4913.1538,107.7123
63500,,,5.0029,-409.1601,104.2869,5.0029,6.956,160.1633,10.2003,,,
64000,,,4.5035,-412.3698,109.0691,4.5035,5.8739,301.9658,12.0292,,,
64000,,,,,,,,,,1000,5095.6759,109.5265
64500,,,5.3682,-415.4901,182.2681,5.3682,5.9981,382.2286,6.333,,,
65000,,,5.1439,-418.0161,185.8466,5.1439,5.728,242.9727,6.9683,,,
65000,6556.0079,1000.0,,,,,,,,,,
65000,,,,,,,,,,1000,5046.8359,94.4383
65500,,,5.2036,-414.3831,225.7461,5.2036,5.6989,260.7795,6.1966,,,
66000,,,5.1976,-425.931,168.6971,5.1976,5.067,208.2606,8.9888,,,
66000,,,,,,,,,,1000,5255.5863,106.7682
66500,,,4.9306,-426.6585,147.6779,4.9306,6.3228,214.1447,4.5633,,,
67000,,,5.3041,-421.4151,193.8643,5.3041,5.2363,230.7238,10.5354,,,
67000,,,,,,,,,,1000,5241.4933,106.6854
67500,,,4.7337,-426.3228,167.5595,4.7337,4.8336,230.3682,7.9357,,,
68000,,,5.2207,-429.8698,176.8616,5.2207,5.4167,248.5335,5.4335,,,
68000,,,,,,,,,,1000,5523.43,109.3073
68500,,,5.1246,-433.3707,157.3999,5.1246,5.2741,290.2707,8.12,,,
69000,,,4.6162,-431.3483,182.076,4.6162,4.9944,278.7591,6.7494,,,
69000,,,,,,,,,,1000,5335.806,106.8652
69500,,,4.888,-428.7057,159.6856,4.888,5.3207,217.1633,7.1304,,,
70000,,,4.3875,-434.6369,126.6285,4.3875,5.4578,223.2621,10.6272,,,
70000,6217.9742,1000.0,,,,,,,,,,
70000,,,,,,,,,,1000,5423.2473,95.0632
70500,,,5.1205,-440.3731,162.5464,5.1205,5.0313,281.5479,4.2891,,,
71000,,,4.1826,-440.5638,136.4261,4.1826,5.1938,207.4273,10.3139,,,
71000,,,,,,,,,,1000,5539.372,108.9796
71500,,,4.3246,-443.9577,187.4169,4.3246,5.4638,256.8338,5.4598,,,
72000,,,4.4286,-451.8154,101.7613,4.4286,5.8492,197.8802,7.1676,,,
72000,,,,,,,,,,1000,5666.1051,106.8529
72500,,,4.2272,-448.4582,125.4544,4.2272,5.5,235.5714,6.5051,,,
73000,,,4.7579,-447.3386,133.9567,4.7579,5.7547,250.5527,7.7113,,,
73000,,,,,,,,,,1000,5584.1732,107.5839
73500,,,4.7588,-453.9112,169.6201,4.7588,4.9032,305.152,5.1153,,,
74000,,,4.4268,-456.6203,161.8128,4.4268,4.9627,388.9916,7.9281,,,
74000,,,,,,,,,,1000,5823.4597,107.845
74500,,,5.0867,-454.8899,189.9115,5.0867,6.0409,403.99,5.3071,,,
75000,,,4.345,-455.5033,111.6925,4.345,4.8529,190.314,6.9581,,,
75000,6676.7456,1000.0,,,,,,,,,,
75000,,,,,,,,,,1000,5747.2788,95.559
