env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
21679,,,20,-7.2964,106.3516,,,,,,,
21699,,,20,-6.7085,106.2339,,,,,,,
21725,,,26,0.483,106.3413,,,,,,,
21749,,,24,-1.7705,106.7193,,,,,,,
21950,,,201,10.6798,106.5924,,,,,,,
22000,,,,,,20.9296,-294.4799,190.6775,20.9296,230.0004,8014.5068,14.3445
22111,,,161,210.5246,106.9286,,,,,,,
22250,,,139,314.3589,106.9767,,,,,,,
22400,,,150,108.7974,106.7283,,,,,,,
22422,,,22,-2.9521,106.6155,,,,,,,
22433,,,11,-3.3258,106.7821,,,,,,,
22441,,,8,-4.5898,106.3185,,,,,,,
22476,,,35,10.6277,106.9176,,,,,,,
22485,,,9,-4.9989,107.0479,,,,,,,
22495,,,10,-4.7373,106.7451,,,,,,,
22500,,,,,,19.2637,-313.2389,208.7724,19.2637,173.0679,4561.7427,8.9132
22586,,,91,48.0984,106.6542,,,,,,,
22714,,,128,261.0856,106.9371,,,,,,,
22723,,,9,-5.7108,106.7325,,,,,,,
22744,,,21,-2.3525,106.3444,,,,,,,
22891,,,147,185.7377,107.0001,,,,,,,
23000,,,,,,19.1586,-313.156,127.0458,19.1586,205.3838,5503.3301,10.8338
23136,,,245,519.4771,109.5406,,,,,,,
23181,,,45,32.2122,106.5345,,,,,,,
23212,,,31,5.0863,107.0478,,,,,,,
23233,,,21,-5.3259,106.6667,,,,,,,
23258,,,25,-1.2416,106.9253,,,,,,,
23283,,,25,0.5891,107.1837,,,,,,,
23305,,,22,-4.8306,106.8937,,,,,,,
23451,,,146,306.8491,106.8395,,,,,,,
23474,,,23,-0.3161,106.8756,,,,,,,
23500,,,,,,19.4514,-321.924,222.066,19.4514,245.2602,4157.0806,13.4139
23503,,,29,5.6055,106.9213,,,,,,,
23731,,,228,377.4509,106.8693,,,,,,,
23753,,,22,-0.7952,106.5134,,,,,,,
23787,,,34,8.1514,106.5948,,,,,,,
23822,,,35,15.0914,106.4883,,,,,,,
23858,,,36,16.1626,106.4842,,,,,,,
23993,,,135,345.7032,106.8352,,,,,,,
24000,,,,,,20.0964,-325.1314,210.5993,20.0964,298.1665,5571.9189,16.2291
24052,,,59,31.4967,106.756,,,,,,,
24071,,,19,-6.3615,107.2308,,,,,,,
24082,,,11,-6.4729,106.8222,,,,,,,
24103,,,21,-3.6118,106.9934,,,,,,,
24114,,,11,-7.2676,106.0251,,,,,,,
24121,,,7,-4.3036,106.2168,,,,,,,
24142,,,21,-3.3715,106.7807,,,,,,,
24152,,,10,-2.953,106.9667,,,,,,,
24185,,,33,14.4696,107.0822,,,,,,,
24227,,,42,19.9689,106.9961,,,,,,,
24255,,,28,3.6681,106.7372,,,,,,,
24274,,,19,-4.4613,107.6014,,,,,,,
24283,,,9,-4.726,107.0349,,,,,,,
24311,,,28,6.9693,106.7591,,,,,,,
24344,,,33,10.0822,106.7837,,,,,,,
24500,,,,,,19.222,-336.8679,147.9359,19.222,240.3501,5424.377,10.2661
24525,,,181,398.8941,106.7395,,,,,,,
24535,,,10,-6.7291,106.8147,,,,,,,
24555,,,20,-5.2144,106.7919,,,,,,,
24593,,,38,16.5527,107.0937,,,,,,,
24730,,,137,46.1587,106.9816,,,,,,,
24740,,,10,-7.111,107.0377,,,,,,,
24757,,,17,-5.2315,107.3009,,,,,,,
24790,,,33,16.7773,106.9365,,,,,,,
24816,,,26,7.1627,107.191,,,,,,,
24826,,,10,-5.1872,107.1085,,,,,,,
24835,,,9,-4.3893,107.8076,,,,,,,
24849,,,14,-6.634,105.9233,,,,,,,
24881,,,32,10.9601,106.79,,,,,,,
24921,,,40,19.7127,106.7451,,,,,,,
24932,,,11,-6.5778,107.2874,,,,,,,
25000,,,,,,17.9739,-346.6775,160.9986,17.9739,221.5596,4506.6348,11.9336
25000,368.0463,189.3,,,,,,,,,,
25027,,,95,202.872,75.6816,,,,,,,
25064,,,37,14.1687,107.0773,,,,,,,
25151,,,87,113.9874,106.8828,,,,,,,
25263,,,112,109.6037,106.5731,,,,,,,
25272,,,9,-3.0436,106.4676,,,,,,,
25282,,,10,-5.4695,106.6797,,,,,,,
25303,,,21,-0.4951,106.6847,,,,,,,
25345,,,42,36.2412,106.7241,,,,,,,
25423,,,78,61.3772,106.9105,,,,,,,
25500,,,,,,18.9551,-353.8151,213.6199,18.9551,334.9988,5940.8228,14.6505
25531,,,108,208.4254,106.924,,,,,,,
25627,,,96,48.2105,107.0823,,,,,,,
25636,,,9,-4.6187,106.599,,,,,,,
25645,,,9,-4.9297,106.6475,,,,,,,
25665,,,20,-5.5221,106.8472,,,,,,,
25676,,,11,-6.1352,107.2007,,,,,,,
25688,,,12,-7.0769,106.5863,,,,,,,
25780,,,92,110.8901,107.0857,,,,,,,
