env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
19500,,,,,,1.7325,0.7508,0.1903,-196.85,23.2881,0.792,293.7961,998.8647,13.8028
19815,,,877,-921.3501,95.9217,,,,,,,,,
19857,,,42,-29.1409,96.1681,,,,,,,,,
19885,,,28,-28.2109,95.8528,,,,,,,,,
19901,,,16,-15.9366,95.5965,,,,,,,,,
20000,,,,,,1.6673,0.7445,0.1797,-201.8445,20.779,0.717,313.7966,2730.2666,14.6544
20000,-90.0295,559.6,,,,,,,,,,,,
20500,,,,,,1.687,0.7428,0.1826,-216.6401,19.4271,0.7399,431.2815,2510.887,16.394
20901,,,1000,-1031.6923,78.9524,,,,,,,,,
20956,,,55,-84.3556,95.9332,,,,,,,,,
20972,,,16,-24.0752,95.9398,,,,,,,,,
21000,,,,,,1.6977,0.7408,0.1849,-229.3213,25.5851,0.7565,298.3967,2461.1462,11.7006
21009,,,37,-62.9434,95.7709,,,,,,,,,
21500,,,,,,1.6954,0.7421,0.1815,-227.4366,21.7701,0.7631,288.051,1507.1434,11.4686
22000,,,,,,1.6863,0.7533,0.1831,-234.9856,20.967,0.7297,389.2202,1943.5592,11.5624
22009,,,1000,-1016.8341,96.7735,,,,,,,,,
22044,,,35,-22.9955,94.449,,,,,,,,,
22111,,,67,-60.81,95.8957,,,,,,,,,
22149,,,38,-59.0369,96.0721,,,,,,,,,
22166,,,17,-11.7326,95.9944,,,,,,,,,
22188,,,22,-37.8365,96.0427,,,,,,,,,
22224,,,36,-55.4141,95.8178,,,,,,,,,
22235,,,11,-1.7465,98.9392,,,,,,,,,
22321,,,86,-110.0683,99.2895,,,,,,,,,
22500,,,,,,1.7112,0.7439,0.185,-258.5306,26.1371,0.7856,449.5823,2671.1992,16.8414
23000,,,,,,1.7103,0.7365,0.1872,-259.1629,23.0514,0.7869,467.0258,2157.752,15.9153
23321,,,1000,-994.3827,96.5968,,,,,,,,,
23500,,,,,,1.6736,0.7495,0.1805,-247.8394,28.9147,0.7198,539.4564,3299.3311,14.9338
24000,,,,,,1.6702,0.7417,0.1824,-265.4131,23.4735,0.7285,396.8417,2936.5952,11.3605
24321,,,1000,-987.9098,95.5477,,,,,,,,,
24409,,,88,-121.6983,96.1046,,,,,,,,,
24479,,,70,-142.429,96.1121,,,,,,,,,
24500,,,,,,1.7126,0.7444,0.1852,-271.0836,27.4431,0.7856,524.5526,2668.2109,16.4526
25000,,,,,,1.7288,0.7476,0.1861,-294.2282,25.139,0.81,504.3599,2801.6624,11.3696
25000,-344.6275,331.3,,,,,,,,,,,,
25479,,,1000,-973.5752,85.1257,,,,,,,,,
25495,,,16,-26.4839,97.8318,,,,,,,,,
25500,,,,,,1.7405,0.7488,0.1876,-294.0782,31.2783,0.8325,715.2824,4572.2344,18.1116
25517,,,22,-14.9733,97.9508,,,,,,,,,
25537,,,20,-38.0922,98.2668,,,,,,,,,
25657,,,120,-142.6072,97.5361,,,,,,,,,
25763,,,106,-112.3279,95.8819,,,,,,,,,
25837,,,74,-75.9013,95.8751,,,,,,,,,
25861,,,24,-24.8791,95.2754,,,,,,,,,
25961,,,100,-137.402,95.6794,,,,,,,,,
26000,,,,,,1.7106,0.7438,0.1861,-326.4967,26.4735,0.7826,1013.9562,3667.9651,15.385
26088,,,127,-132.6188,95.6717,,,,,,,,,
26500,,,,,,1.7164,0.7443,0.185,-338.3413,28.1519,0.7964,848.4928,3922.1704,14.7778
27000,,,,,,1.7144,0.7478,0.1865,-364.7587,29.8697,0.7745,1058.645,4519.4136,18.2419
27088,,,1000,-1084.5264,96.0551,,,,,,,,,
27115,,,27,-55.6169,96.4119,,,,,,,,,
27129,,,14,-17.7705,96.0489,,,,,,,,,
27164,,,35,-35.3334,96.1103,,,,,,,,,
27500,,,,,,1.6799,0.7543,0.1811,-335.1566,26.3912,0.7179,2067.5527,5430.5376,20.5986
28000,,,,,,1.7058,0.7492,0.1846,-349.3281,27.9054,0.7695,1175.7556,4077.2529,15.9973
28164,,,1000,-1111.4057,95.3551,,,,,,,,,
28207,,,43,-53.2053,95.4353,,,,,,,,,
28228,,,21,-23.7076,94.9056,,,,,,,,,
28244,,,16,-29.6466,95.7306,,,,,,,,,
28315,,,71,-95.8274,95.5132,,,,,,,,,
28492,,,177,-177.4042,95.4202,,,,,,,,,
28500,,,,,,1.7191,0.7454,0.1867,-368.8093,30.3719,0.781,1802.5551,10604.4863,16.0769
28518,,,26,-33.6258,95.5191,,,,,,,,,
28542,,,24,-20.2473,94.2442,,,,,,,,,
28599,,,57,-70.1489,95.4765,,,,,,,,,
28662,,,63,-66.443,95.4795,,,,,,,,,
28682,,,20,-21.9392,95.5619,,,,,,,,,
29000,,,,,,1.7033,0.7482,0.1854,-394.3236,36.0599,0.7503,1428.4596,8217.9707,19.0106
29500,,,,,,1.747,0.7434,0.1877,-432.2112,38.4629,0.83,1612.9329,6500.1646,14.9017
29682,,,1000,-1191.22,95.094,,,,,,,,,
