env_steps,return,length,train/length,train/return,FPS,op-kl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
56581,,,162,-153.0148,96.5085,,,,,,,
56644,,,63,-71.4141,96.3692,,,,,,,
56723,,,79,-87.486,100.0927,,,,,,,
56809,,,86,-74.5796,100.145,,,,,,,
57000,,,,,,-121.5677,-460.2232,330.8493,-121.5677,550.2123,8923.0986,25.9043
57005,,,196,-112.0253,100.1378,,,,,,,
57177,,,172,-146.462,100.0572,,,,,,,
57252,,,75,-89.6348,99.8685,,,,,,,
57500,,,,,,-122.1464,-441.8511,294.2736,-122.1464,554.2075,10461.5498,28.0452
57586,,,334,-261.136,97.9661,,,,,,,
57727,,,141,-138.0015,97.9688,,,,,,,
57955,,,228,-190.1994,96.7392,,,,,,,
57986,,,31,-44.5079,96.805,,,,,,,
58000,,,,,,-121.9684,-442.6775,347.2241,-121.9684,507.6581,10400.165,27.201
58031,,,45,-29.855,96.7064,,,,,,,
58500,,,,,,-122.3162,-454.0504,342.099,-122.3162,545.2563,12564.1104,26.8184
59000,,,,,,-122.4441,-425.4515,326.3902,-122.4441,437.5402,8505.709,26.7763
59031,,,1000,-1789.7013,96.2354,,,,,,,
59095,,,64,-80.8832,95.4988,,,,,,,
59135,,,40,-40.7257,96.8,,,,,,,
59252,,,117,-89.4846,96.5176,,,,,,,
59500,,,,,,-122.2393,-451.8328,288.4467,-122.2393,423.8176,9761.0322,24.671
59560,,,308,-316.3302,96.6092,,,,,,,
59783,,,223,-161.8376,96.5972,,,,,,,
59827,,,44,-65.0909,96.7267,,,,,,,
59908,,,81,-82.1074,96.297,,,,,,,
60000,,,,,,-122.3713,-437.9573,287.2013,-122.3713,455.3207,9553.1611,25.2249
60000,-225.2584,244.4,,,,,,,,,,
60150,,,242,-237.1694,70.6586,,,,,,,
60251,,,101,-77.3778,96.3431,,,,,,,
60500,,,,,,-122.5091,-425.5952,301.8894,-122.5091,634.7445,14334.5498,22.703
61000,,,,,,-122.2107,-416.9333,366.9207,-122.2107,379.9149,8481.9551,26.5613
61251,,,1000,-1372.0886,96.2663,,,,,,,
61345,,,94,-81.8468,96.1615,,,,,,,
61429,,,84,-48.4776,97.458,,,,,,,
61483,,,54,-9.6586,99.8095,,,,,,,
61500,,,,,,-122.9097,-415.2059,308.3005,-122.9097,410.2377,10638.7051,24.0552
61791,,,308,-329.1341,99.8909,,,,,,,
61844,,,53,-33.7921,99.5696,,,,,,,
61873,,,29,-25.0807,100.2422,,,,,,,
61966,,,93,-73.0374,99.5864,,,,,,,
62000,,,,,,-122.5627,-433.9013,351.2215,-122.5627,430.6321,7714.6826,22.5949
62192,,,226,-141.4344,99.7686,,,,,,,
62323,,,131,-71.1753,99.9105,,,,,,,
62500,,,,,,-122.4754,-397.6896,401.9227,-122.4754,317.771,8290.6094,21.8218
63000,,,,,,-122.7145,-375.9805,328.4211,-122.7145,269.3877,5951.832,23.2572
63323,,,1000,-1546.3007,99.4327,,,,,,,
63500,,,,,,-122.614,-405.9442,339.1613,-122.614,288.3061,6881.5898,19.9535
63549,,,226,-168.9372,96.4861,,,,,,,
64000,,,,,,-123.0812,-395.3233,290.9971,-123.0812,254.1298,5260.4956,17.5826
64500,,,,,,-123.4213,-379.9448,341.7693,-123.4213,255.6919,5710.0493,16.6046
64549,,,1000,-1710.0372,97.3062,,,,,,,
64561,,,12,-11.619,96.6131,,,,,,,
64755,,,194,-106.908,96.611,,,,,,,
65000,,,,,,-122.8071,-380.2166,413.0785,-122.8071,257.343,6379.98,19.4585
65000,-318.9301,238.0,,,,,,,,,,
